symbol,name,holding_percent,etf
WELL,Welltower Inc,0.0985717,XLRE
PLD,Prologis Inc,0.0917554,XLRE
EQIX,Equinix Inc,0.0721986,XLRE
AMT,American Tower Corp,0.0602206,XLRE
SPG,Simon Property Group Inc,0.0467772,XLRE
DLR,Digital Realty Trust Inc,0.0455287,XLRE
PSA,Public Storage,0.043819398,XLRE
VTR,Ventas Inc,0.0423496,XLRE
CCI,Crown Castle Inc,0.0420857,XLRE
O,Realty Income Corp,0.0409809,XLRE
