symbol,name,holding_percent,etf
XOM,Exxon Mobil Corp,0.22117399,XLE
CVX,Chevron Corp,0.1660244,XLE
COP,ConocoPhillips,0.067785904,XLE
SLB,SLB Ltd,0.046940397,XLE
WMB,Williams Companies Inc,0.0433291,XLE
VLO,Valero Energy Corp,0.042971402,XLE
MPC,Marathon Petroleum Corp,0.0422303,XLE
EOG,EOG Resources Inc,0.0416467,XLE
PSX,Phillips 66,0.040780302,XLE
BKR,Baker Hughes Co Class A,0.036328003,XLE
