symbol,name,holding_percent,etf
AMZN,Amazon.com Inc,0.2755757,XLY
TSLA,Tesla Inc,0.20041719,XLY
HD,The Home Depot Inc,0.0516268,XLY
TJX,TJX Companies Inc,0.0385474,XLY
MCD,McDonald's Corp,0.036371,XLY
BKNG,Booking Holdings Inc,0.0302655,XLY
LOW,Lowe's Companies Inc,0.026973,XLY
SBUX,Starbucks Corp,0.025341699,XLY
MAR,Marriott International Inc Class A,0.018528499,XLY
GM,General Motors Co,0.0168792,XLY
