symbol,name,holding_percent,etf
NVDA,NVIDIA Corp,0.0669694,VTI
AAPL,Apple Inc,0.0629467,VTI
MSFT,Microsoft Corp,0.0459357,VTI
AMZN,Amazon.com Inc,0.035925902,VTI
GOOGL,Alphabet Inc Class A,0.030439502,VTI
AVGO,Broadcom Inc,0.0291042,VTI
GOOG,Alphabet Inc Class C,0.0238911,VTI
META,Meta Platforms Inc Class A,0.0190076,VTI
TSLA,Tesla Inc,0.016852401,VTI
MU,Micron Technology Inc,0.0150157,VTI
