symbol,name,holding_percent,etf
FLEX,Flex Ltd,0.0158062,MDY
TWLO,Twilio Inc Class A,0.0082408,MDY
FTI,TechnipFMC PLC,0.0078912005,MDY
CW,Curtiss-Wright Corp,0.0078592,MDY
NVT,nVent Electric PLC,0.0076826,MDY
STRL,Sterling Infrastructure Inc,0.0075395,MDY
XPO,XPO Inc,0.007156,MDY
P,Everpure Inc Class A,0.0071106,MDY
ILMN,Illumina Inc,0.0071041,MDY
UTHR,United Therapeutics Corp,0.0068357005,MDY
