symbol,name,holding_percent,etf
NVDA,NVIDIA Corp,0.1306857,XLK
AAPL,Apple Inc,0.116694205,XLK
MSFT,Microsoft Corp,0.0851587,XLK
MU,Micron Technology Inc,0.0678,XLK
AVGO,Broadcom Inc,0.053954802,XLK
AMD,Advanced Micro Devices Inc,0.0522025,XLK
INTC,Intel Corp,0.0334049,XLK
CSCO,Cisco Systems Inc,0.0295173,XLK
LRCX,Lam Research Corp,0.024650099,XLK
ORCL,Oracle Corp,0.0237519,XLK
