symbol,name,holding_percent,etf
WMT,Walmart Inc,0.1083307,XLP
COST,Costco Wholesale Corp,0.090626605,XLP
PG,Procter & Gamble Co,0.0712312,XLP
KO,Coca-Cola Co,0.0653063,XLP
PM,Philip Morris International Inc,0.0589532,XLP
MDLZ,Mondelez International Inc Class A,0.0499461,XLP
MO,Altria Group Inc,0.047409903,XLP
CL,Colgate-Palmolive Co,0.0454645,XLP
PEP,PepsiCo Inc,0.042072,XLP
MNST,Monster Beverage Corp,0.0416434,XLP
