ticker,market,n_events_with_signal,mean_events_coverage,pcr_stock,pcr_stock_sd
CNQ.TO,CA,1,1.0,0.0,
CP.TO,CA,1,1.0,0.0,
ENB.TO,CA,2,1.0,0.5,0.7071067811865476
ADS.DE,EU,2,3.5,0.8333333333333333,0.23570226039551587
ASML.AS,EU,1,1.0,0.0,
MBG.DE,EU,2,6.5,0.05555555555555555,0.07856742013183861
SAP.DE,EU,3,18.333333333333332,0.15476190476190474,0.10171433030139918
0700.HK,HK,2,3.5,0.3333333333333333,0.4714045207910317
INFY.NS,IN,3,14.0,0.6041666666666666,0.18042195912175804
TCS.NS,IN,3,6.0,0.5416666666666666,0.3145764348029479
6758.T,JP,2,30.5,0.36428571428571427,0.19192898346492004
7203.T,JP,2,17.5,0.26666666666666666,0.09428090415820632
7974.T,JP,2,1.5,1.0,0.0
000660.KS,KR,1,2.0,0.5,
005380.KS,KR,2,1.5,0.0,0.0
005930.KS,KR,2,1.5,0.5,0.7071067811865476
2303.TW,TW,1,2.0,0.5,
2317.TW,TW,2,1.5,0.5,0.7071067811865476
2330.TW,TW,3,9.666666666666666,0.4666666666666666,0.05773502691896257
2454.TW,TW,1,4.0,0.5,
AAPL,US,2,17.0,0.17647058823529413,0.0
AMZN,US,2,5.5,0.35,0.21213203435596426
META,US,2,205.5,0.24801242236024845,0.016952994878137107
NVDA,US,2,60.5,0.19173669467787113,0.08932917599863667
