ticker,market,n_events_with_signal,mean_events_coverage,pcr_stock,pcr_stock_sd
ADS.DE,EU,1,6.0,0.6666666666666666,
MBG.DE,EU,1,9.0,0.1111111111111111,
SAP.DE,EU,3,18.333333333333332,0.15476190476190474,0.10171433030139918
0700.HK,HK,1,6.0,0.6666666666666666,
INFY.NS,IN,2,19.0,0.65625,0.2209708691207961
TCS.NS,IN,2,8.0,0.5625,0.4419417382415922
6758.T,JP,2,30.5,0.36428571428571427,0.19192898346492004
7203.T,JP,2,17.5,0.26666666666666666,0.09428090415820632
2330.TW,TW,3,9.666666666666666,0.4666666666666666,0.05773502691896257
AAPL,US,2,17.0,0.17647058823529413,0.0
AMZN,US,2,5.5,0.35,0.21213203435596426
META,US,2,205.5,0.24801242236024845,0.016952994878137107
NVDA,US,2,60.5,0.19173669467787113,0.08932917599863667
