Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2020-01-02,SPY,,,-10.86213204340232,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,SPY,-0.007601289789115562,-9.758874673989316,-10.706836176004419,-8.777730158052735,0.0,,,,-10.86213204340232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,SPY,0.003807608708025434,-11.141507845156244,-10.139305050628865,-9.164852559755674,0.0,-9.758874673989316,,,-10.706836176004419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,SPY,-0.0028154692991009256,-11.745252635146171,-12.049645452124334,-8.89456078998699,0.0,-11.141507845156244,,,-10.139305050628865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,SPY,0.005315163227573194,-10.47438311384331,-10.313405549736837,-8.936239233967582,0.0,-11.745252635146171,,,-12.049645452124334,0.2678810608090008,-0.2678810608090008,0.0,0.0,1.0,0.2678810608090008,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,SPY,0.006758122191254046,-9.994020419749598,-12.213063595731864,-9.129867525229164,0.0,-10.47438311384331,,,-10.313405549736837,10.5,3.25,3.0,4.25,1.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,SPY,-0.002881995458116293,-11.698544714709188,-10.964880474783557,-8.937753684878977,0.0,-9.994020419749598,-10.622807737576927,,-12.213063595731864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,SPY,0.006853966356105801,-9.965855528385607,-11.173450228527141,-8.92753043139242,0.0,-11.698544714709188,-11.010741745720901,,-10.964880474783557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,SPY,-0.0015260584517813314,-12.970134085867668,-11.450931338244198,-9.320718182828767,0.0,-9.965855528385607,-10.775611282366775,,-11.173450228527141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,SPY,0.0022574585654862034,-12.187031254001017,-11.476053299256474,-9.346901193584394,0.0,-12.970134085867668,-11.020587572511074,,-11.450931338244198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,SPY,0.008284202092335491,-9.586809880489472,-11.84855795918514,-9.39123019037485,0.0,-12.187031254001017,-11.363117200542614,,-11.476053299256474,3.4416299559471364,-1.1013215859030836,0.6883259911894273,-1.6519823788546255,1.0,3.4416299559471364,0.0,0.0,0.0,0.0,0.0,0.0
