Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2020-01-02,QQQ,,,-10.203034393564044,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,QQQ,-0.009202225166389688,-9.376619916520127,-10.187412365323913,-8.281270487931097,0.0,,,,-10.203034393564044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,QQQ,0.006422231577403181,-10.095979247904017,-9.33298282729472,-8.650210208750188,0.0,-9.376619916520127,,,-10.187412365323913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,QQQ,-0.0001390593479371205,-17.761219504760373,-11.256376880814335,-8.23418571030696,0.0,-10.095979247904017,,,-9.33298282729472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,QQQ,0.007488384771861867,-9.788804311991782,-9.592472483933236,-8.17727039921716,0.0,-17.761219504760373,,,-11.256376880814335,0.2678810608090008,-0.2678810608090008,0.0,0.0,1.0,0.2678810608090008,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,QQQ,0.008437655964612212,-9.550101476519096,-10.732639645571144,-8.399147861788478,0.0,-9.788804311991782,,,-9.592472483933236,10.5,3.25,3.0,4.25,1.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,QQQ,-0.002560409776986461,-11.935175928330054,-10.58886826874086,-8.31492603188459,0.0,-9.550101476519096,-11.314544891539079,,-10.732639645571144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,QQQ,0.011470747038343276,-8.9359104404041,-10.420546530098894,-8.24469120322991,0.0,-11.935175928330054,-11.826256093901064,,-10.58886826874086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,QQQ,-0.0039451418041762665,-11.070540760076973,-11.040816243917602,-8.93824101296952,0.0,-8.9359104404041,-11.59424233240108,,-10.420546530098894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,QQQ,0.00040878601744864795,-15.604637447104972,-10.690746780154548,-9.005998255818778,0.0,-11.070540760076973,-10.256106583464401,,-11.040816243917602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,QQQ,0.009537820358102245,-9.304980587239152,-10.983734217965841,-8.92655256180327,0.0,-15.604637447104972,-11.419273210487038,,-10.690746780154548,3.4416299559471364,-1.1013215859030836,0.6883259911894273,-1.6519823788546255,1.0,3.4416299559471364,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,QQQ,0.004936588833733602,-10.62216141157564,-11.103392880255011,-9.085773772196482,0.0,-9.304980587239152,-11.370249032631051,,-10.983734217965841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,QQQ,-0.0004478461267067857,-15.422121703440002,-11.505344760927816,-7.553011175790812,0.0,-10.62216141157564,-11.107646129280166,,-11.103392880255011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,QQQ,0.002638972812690099,-11.87473104727957,-10.956997777319847,-7.186568206371842,0.0,-15.422121703440002,-12.404888381887348,,-11.505344760927816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,QQQ,0.0032109870622889503,-11.482353786134517,-10.46406048323076,-7.192301333657554,0.0,-11.87473104727957,-12.565726439327866,,-10.956997777319847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,QQQ,-0.008451074155494176,-9.546923453397191,-8.96607614081844,-7.189211281145579,0.0,-11.482353786134517,-11.741269707133776,,-10.46406048323076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,QQQ,-0.02087181026787288,-7.7387116429191725,-10.306984570509886,-6.970923751746164,0.0,-9.546923453397191,-11.789658280365384,,-8.96607614081844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,QQQ,0.015243152911661895,-8.367249732307716,-9.68221093564915,-7.225146870271568,0.0,-7.7387116429191725,-11.212968326634089,,-10.306984570509886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,QQQ,0.0016243270379012742,-12.845323358996913,-10.34017390631009,-6.899946719652392,0.0,-8.367249732307716,-9.801993932407633,,-9.68221093564915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,QQQ,0.003555116335545172,-11.278734983554173,-9.613963398023945,-6.891845404511485,0.0,-12.845323358996913,-9.996112394751103,,-10.34017390631009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,QQQ,-0.01598505037775766,-8.272202689821706,-8.491270763834128,-6.833325950545505,0.0,-11.278734983554173,-9.955388634235034,,-9.613963398023945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,QQQ,0.014996425114949474,-8.399886863908074,-9.690638957746032,-7.081725120308246,0.0,-8.272202689821706,-9.700444481519936,,-8.491270763834128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,QQQ,0.022630670192106628,-7.576898409138881,-9.530527173903035,-7.182539661115001,0.0,-8.399886863908074,-9.832679525717715,,-9.690638957746032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,QQQ,0.0032918722767174557,-11.432597590001892,-9.435707318590778,-8.303621608210074,0.0,-7.576898409138881,-9.67460926108395,-10.765966759242009,-9.530527173903035,0.851305334846765,0.5675368898978433,-0.28376844494892167,0.0,1.0,0.851305334846765,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,QQQ,0.008594821132228425,-9.513190902082382,-10.248649755824575,-8.014129488286338,0.0,-11.432597590001892,-9.392064107284945,-10.859420289854818,-9.435707318590778,2.636976267213595,0.732493407559332,-1.6114854966305303,0.2929973630237328,1.0,3.164371520656314,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,QQQ,-0.004309856996151495,-10.893701109928301,-10.607771499138488,-8.260507956717735,0.0,-9.513190902082382,-9.038955290990586,-10.832929910499288,-10.248649755824575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,QQQ,0.012012761720422205,-8.843571435166059,-9.335601292820632,-8.301557038104036,0.0,-10.893701109928301,-9.563254975011906,-10.520769983461467,-10.607771499138488,0.9030704394942806,-0.6020469596628537,0.0,-0.30102347983142685,1.0,0.9030704394942806,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,QQQ,0.00017245138386190462,-17.33079038779953,-9.992989836238024,-9.1714024573736,0.0,-8.843571435166059,-9.651991889263503,-10.47780485269666,-9.335601292820632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,QQQ,0.009694020863750374,-9.272491978655781,-11.012056720964921,-8.542752613745328,0.0,-17.33079038779953,-11.602770284995632,-10.831472530482136,-9.992989836238024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,QQQ,-0.0012816183317507779,-13.319263355903866,-10.039561362221333,-8.579239051943292,0.0,-9.272491978655781,-11.17074916272641,-10.710441441860578,-11.012056720964921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,QQQ,0.0028596168176688863,-11.714135285925058,-11.39211929517518,-7.483050704569485,0.0,-13.319263355903866,-11.931963653490708,-10.909684756201475,-10.039561362221333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,QQQ,0.00038322216825026345,-15.733791326401798,-10.627558064955139,-6.165366415910721,1.0,-11.714135285925058,-12.096050488690059,-10.938939052830934,-11.39211929517518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,QQQ,0.009540022917418511,-9.3045187825594,-10.988176415486274,-5.856644795554102,1.0,-15.733791326401798,-13.474094466937208,-10.944809683708064,-10.627558064955139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,QQQ,-0.00932679507996692,-9.349727660210474,-8.687211073149296,-5.8794789778741015,1.0,-9.3045187825594,-11.86884014588918,-10.944788692586256,-10.988176415486274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,QQQ,-0.019396217276594463,-7.8853544353351985,-8.819438163644492,-5.230989491581428,1.0,-9.349727660210474,-11.88428728220012,-10.88695079479693,-8.687211073149296,2.852030472371835,0.0,-0.8086069091957792,-0.6459948320413437,2.0,2.9917733454853064,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,QQQ,-0.03932667231044462,-6.471704611130248,-9.05979322669759,-5.303807979154944,1.0,-7.8853544353351985,-10.797505498086386,-10.54437046442853,-8.819438163644492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,QQQ,-0.02756854569128553,-7.182159610038165,-7.35171200380144,-5.123064913587318,0.0,-6.471704611130248,-9.749019363127424,-10.29877835369447,-9.05979322669759,10.5,3.25,3.0,4.25,1.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,QQQ,0.0051407763771527115,-10.541102329565446,-8.41952606159981,-5.073576389182813,0.0,-7.182159610038165,-8.038693019854698,-10.103314982053726,-7.35171200380144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,QQQ,-0.051370983652569535,-5.937363572601328,-6.941480206768732,-4.840338764346126,0.0,-10.541102329565446,-8.286009729255905,-10.148504930970464,-8.41952606159981,0.27151778441487917,0.0,-0.27151778441487917,0.0,1.0,0.27151778441487917,0.0,0.0,0.0,0.0,0.0,0.0
