date,source
2021-02-17,single_date
2021-04-07,single_date
2021-05-19,single_date
2021-07-07,single_date
2021-08-18,single_date
2021-10-13,single_date
2021-11-24,single_date
2022-01-05,single_date
2022-02-16,single_date
2022-04-06,single_date
2022-05-25,single_date
2022-07-06,single_date
2022-08-17,single_date
2022-10-12,single_date
2022-11-23,single_date
2023-01-04,single_date
2023-02-22,single_date
2023-04-12,single_date
2023-05-24,single_date
2023-07-05,single_date
2023-08-16,single_date
2023-10-11,single_date
2023-11-21,single_date
2024-01-03,single_date
2024-02-21,single_date
2024-04-10,single_date
2024-05-22,single_date
2024-07-03,single_date
2024-08-21,single_date
2024-10-09,single_date
2024-11-26,single_date
2025-01-08,single_date
2025-02-19,single_date
2025-04-09,single_date
2025-05-28,single_date
2025-07-09,single_date
2025-08-20,single_date
2025-10-08,single_date
2025-11-19,single_date
2025-12-30,single_date
2026-02-18,single_date
2026-04-08,single_date
2026-05-20,single_date
2026-06-17,single_date
