date,exchange,asset,quote,open,high,low,close,volume
2023-10-16,binance,BTC,USDT,27154.14,30000.0,27112.66,28500.78,78399.22445
2023-10-17,binance,BTC,USDT,28500.77,28613.65,28069.32,28395.91,38428.44532
2023-10-18,binance,BTC,USDT,28395.91,28982.36,28142.87,28320.0,32162.47591
2023-10-19,binance,BTC,USDT,28320.0,28916.89,28100.66,28713.71,35895.50179
2023-10-20,binance,BTC,USDT,28713.71,30207.55,28578.29,29669.04,59422.0992
2023-10-21,binance,BTC,USDT,29669.05,30379.99,29464.77,29909.8,27517.51897
2023-10-22,binance,BTC,USDT,29909.8,30248.0,29640.0,29992.46,22852.54563
2023-10-23,binance,BTC,USDT,29992.46,34741.91,29883.6,33069.99,93513.64246
2023-10-24,binance,BTC,USDT,33069.99,35280.0,32832.34,33922.73,115265.02418
2023-10-25,binance,BTC,USDT,33922.73,35132.85,33679.05,34496.05,54887.02529
2023-10-26,binance,BTC,USDT,34496.05,34824.13,33751.0,34151.66,39744.66255
2023-10-27,binance,BTC,USDT,34151.66,34245.0,33390.95,33892.02,32330.40106
2023-10-28,binance,BTC,USDT,33892.01,34493.33,33860.0,34081.0,16880.13144
2023-10-29,binance,BTC,USDT,34081.01,34750.11,33930.0,34525.89,20685.52176
2023-10-30,binance,BTC,USDT,34525.88,34856.0,34062.84,34474.73,33657.95976
2023-10-31,binance,BTC,USDT,34474.74,34720.49,34025.0,34639.77,32737.89822
2023-11-01,binance,BTC,USDT,34639.78,35582.0,34097.39,35421.43,53473.28165
2023-11-02,binance,BTC,USDT,35421.43,35984.99,34300.0,34941.59,48015.57732
2023-11-03,binance,BTC,USDT,34941.58,34946.5,34120.0,34716.78,39071.20644
2023-11-04,binance,BTC,USDT,34716.78,35255.0,34585.18,35062.07,18377.55545
2023-11-05,binance,BTC,USDT,35062.06,35380.0,34448.0,35011.88,24528.73376
2023-11-06,binance,BTC,USDT,35011.89,35276.33,34725.9,35046.09,22346.47086
2023-11-07,binance,BTC,USDT,35046.09,35888.0,34523.06,35399.12,38688.73692
2023-11-08,binance,BTC,USDT,35399.13,36106.0,35100.0,35624.72,33401.34137
2023-11-09,binance,BTC,USDT,35624.72,37972.24,35534.05,36701.09,82537.88885
2023-11-10,binance,BTC,USDT,36701.1,37526.0,36324.71,37301.63,43414.04898
2023-11-11,binance,BTC,USDT,37301.63,37408.26,36666.93,37130.0,22984.97235
2023-11-12,binance,BTC,USDT,37129.99,37222.22,36731.1,37064.13,17687.18874
2023-11-13,binance,BTC,USDT,37064.13,37417.99,36333.0,36462.93,32798.18252
2023-11-14,binance,BTC,USDT,36462.93,36744.0,34800.0,35551.19,45503.68416
2023-11-15,binance,BTC,USDT,35551.2,37980.0,35360.0,37858.2,53569.13385
2023-11-16,binance,BTC,USDT,37858.2,37929.54,35500.0,36163.51,47490.39566
2023-11-17,binance,BTC,USDT,36163.51,36800.0,35861.1,36613.92,38283.61112
2023-11-18,binance,BTC,USDT,36613.91,36845.49,36178.58,36568.1,17102.24186
2023-11-19,binance,BTC,USDT,36568.11,37500.0,36384.02,37359.86,21246.34648
2023-11-20,binance,BTC,USDT,37359.85,37750.0,36677.0,37448.78,36022.70291
2023-11-21,binance,BTC,USDT,37448.79,37649.44,35735.0,35741.65,47646.54804
2023-11-22,binance,BTC,USDT,35741.65,37861.1,35632.01,37408.34,45051.30697
2023-11-23,binance,BTC,USDT,37408.35,37653.44,36870.0,37294.28,23827.92882
2023-11-24,binance,BTC,USDT,37294.27,38414.0,37251.51,37713.57,44680.80646
2023-11-25,binance,BTC,USDT,37713.57,37888.0,37591.1,37780.67,11396.14464
2023-11-26,binance,BTC,USDT,37780.67,37814.63,37150.0,37447.43,21264.53723
2023-11-27,binance,BTC,USDT,37447.42,37569.23,36707.0,37242.7,30001.07376
2023-11-28,binance,BTC,USDT,37242.7,38377.0,36868.41,37818.87,37544.46667
2023-11-29,binance,BTC,USDT,37818.88,38450.0,37570.0,37854.64,32994.19107
2023-11-30,binance,BTC,USDT,37854.65,38145.85,37500.0,37723.96,24740.29147
2023-12-01,binance,BTC,USDT,37723.97,38999.0,37615.86,38682.52,43415.66324
2023-12-02,binance,BTC,USDT,38682.51,39717.14,38641.61,39450.35,26696.92161
2023-12-03,binance,BTC,USDT,39450.35,40250.0,39274.86,39972.26,26710.65335
2023-12-04,binance,BTC,USDT,39972.26,42420.0,39972.26,41991.1,79272.33059
2023-12-05,binance,BTC,USDT,41991.1,44488.0,41414.0,44073.32,67490.74644
2023-12-06,binance,BTC,USDT,44073.82,44297.21,43335.28,43762.69,51431.10492
2023-12-07,binance,BTC,USDT,43762.69,44047.33,42821.1,43273.14,47103.26845
2023-12-08,binance,BTC,USDT,43273.15,44700.0,43081.1,44170.99,42900.37556
2023-12-09,binance,BTC,USDT,44171.0,44358.02,43584.51,43713.6,24925.97008
2023-12-10,binance,BTC,USDT,43713.59,44049.0,43563.0,43789.51,18956.61758
2023-12-11,binance,BTC,USDT,43789.5,43804.5,40222.0,41253.4,76663.89804
2023-12-12,binance,BTC,USDT,41253.41,42104.12,40680.0,41492.39,42722.69773
2023-12-13,binance,BTC,USDT,41492.38,43475.2,40555.0,42869.03,45865.99773
