market,ticker,analyst_count,market_cap,median_daily_turnover,sigma2_i,theta_eav_shared,theta_rel_i
JP,7267.T,18.0,4881259692032.0,12236851059.667969,0.0003489188381088403,0.00014127865441754286,0.40490406073596114
JP,8031.T,13.0,17700365533184.0,9633450714.96582,0.0002952191179353503,0.00014127865441754286,0.4785552351947658
JP,4503.T,14.0,4586906583040.0,8158299767.578125,0.0002650289260005087,0.00014127865441754286,0.5330688108258481
JP,8002.T,13.0,9718970974208.0,4771364193.75,0.000344023786492163,0.00014127865441754286,0.4106653666541201
JP,6701.T,12.0,5166044020736.0,5263630329.437256,0.0004059705490351251,0.00014127865441754286,0.34800222516958795
EU,SAP.DE,27.0,166377160704.0,192074529.6210251,0.00024168328873946395,4.0718849779368176e-05,0.1684802039551164
EU,SIE.DE,23.0,174439399424.0,164721564.62395477,0.00028157851456999143,4.0718849779368176e-05,0.1446092214867721
EU,ALV.DE,18.0,144073768960.0,148356522.28107452,0.0001995738112017568,4.0718849779368176e-05,0.2040290233181143
EU,MRK.DE,15.0,49129902080.0,40241820.59623718,0.00025394959185650673,4.0718849779368176e-05,0.16034225328614116
EU,BMW.DE,23.0,50925916160.0,80940439.1092186,0.0003074218784057917,4.0718849779368176e-05,0.13245267379968312
EU,BAS.DE,21.0,48328376320.0,112886065.82661438,0.00027885600048433313,4.0718849779368176e-05,0.1460210635906896
EU,MBG.DE,24.0,47958372352.0,131338631.1262207,0.0003577015441346283,4.0718849779368176e-05,0.11383470506921492
EU,DTE.DE,18.0,140834848768.0,113909119.09803772,0.00017040710997372983,4.0718849779368176e-05,0.23895041577575868
EU,ADS.DE,28.0,24119453696.0,98493006.89506531,0.00038453233642208196,4.0718849779368176e-05,0.10589187416132703
EU,VOW3.DE,22.0,44023750656.0,99832943.2731247,0.0004352474851010709,4.0718849779368176e-05,0.0935533258047721
EU,TTE.PA,21.0,169971646464.0,174571319.8526001,0.0002833029374222016,4.0718849779368176e-05,0.143729006659347
EU,AIR.PA,22.0,134541516800.0,127003016.74156189,0.0004551628839694953,4.0718849779368176e-05,0.08945995205992482
EU,SAN.PA,23.0,95535751168.0,137330187.33794403,0.00019948172742157116,4.0718849779368176e-05,0.20412320619880997
EU,BNP.PA,19.0,98890686464.0,128862638.55361938,0.00037659087465241104,4.0718849779368176e-05,0.10812489765438739
EU,SHEL.L,16.0,194350202880.0,15895208481.773926,0.0003140269238215315,4.0718849779368176e-05,0.12966674730893332
EU,AZN.L,21.0,232438890496.0,14766055124.643555,0.0002393037150791382,4.0718849779368176e-05,0.1701555271129091
EU,HSBA.L,17.0,228482514944.0,14955960627.535583,0.00023183114813425906,4.0718849779368176e-05,0.17564011612359742
EU,BP.L,19.0,89479233536.0,15638234809.02475,0.00035288259691933167,4.0718849779368176e-05,0.11538922614729122
