market,ticker,analyst_count,market_cap,median_daily_turnover,sigma2_i,theta_eav_shared,theta_rel_i
TW,2330.TW,33.0,51605722365952.0,5083485395.53833,0.00025985349967299064,6.362165248598386e-05,0.2448366197339952
TW,2303.TW,20.0,756548173824.0,489784974.01189804,0.00036545948205307264,6.362165248598386e-05,0.1740867472601097
TW,6239.TW,8.0,161427144704.0,184921716.66378403,0.0003762484492164116,6.362165248598386e-05,0.16909478994128632
TW,2454.TW,24.0,2585698500608.0,1908644049.6425018,0.0005094605269575156,6.362165248598386e-05,0.12488043551858793
TW,2379.TW,16.0,270643806208.0,306153705.9650421,0.00048803182415695654,6.362165248598386e-05,0.13036373723350142
TW,3034.TW,18.0,240057991168.0,343262805.8129883,0.00047342042582531674,6.362165248598386e-05,0.13438721486313532
TW,3035.TW,7.0,38821998592.0,188723899.32849503,0.0008562467058674519,6.362165248598386e-05,0.07430294569312197
TW,3443.TW,16.0,371880525824.0,355540489.06256866,0.0008722185926539888,6.362165248598386e-05,0.07294232549250726
TW,2388.TW,,30790764544.0,70226069.69035244,0.0011474129039160802,6.362165248598386e-05,0.055447914407137464
TW,2881.TW,10.0,1214438440960.0,544284354.1551824,0.00021744049903159288,6.362165248598386e-05,0.2925933888550356
TW,2882.TW,9.0,1056183091200.0,578478305.317893,0.00022224093881812598,6.362165248598386e-05,0.28627332490729596
TW,2883.TW,2.0,357320523776.0,195176184.63979053,0.00022668611803987917,6.362165248598386e-05,0.2806596761906319
TW,2886.TW,8.0,584916729856.0,342089126.6033764,0.00015271525510473228,6.362165248598386e-05,0.4166031248309284
TW,2887.TW,4.0,600520523776.0,177892484.0479896,0.0001872141874359024,6.362165248598386e-05,0.33983349957260245
TW,2603.TW,8.0,433008574464.0,94793865.88936615,0.0006321126524062798,6.362165248598386e-05,0.1006492311833874
TW,2615.TW,4.0,214670196736.0,42512478.76411438,0.0006896123940087359,6.362165248598386e-05,0.0922571186926462
TW,2609.TW,5.0,176700473344.0,80090384.90998888,0.0007126496040877573,6.362165248598386e-05,0.08927480226053607
TW,1301.TW,5.0,327199096832.0,400564603.72372437,0.00022386927882334415,6.362165248598386e-05,0.2841910816007402
TW,1303.TW,5.0,679671431168.0,313919911.3669815,0.00026572003661310935,6.362165248598386e-05,0.23943114451176117
TW,1326.TW,6.0,292158373888.0,271773775.2117615,0.00023984655904376863,6.362165248598386e-05,0.2652598091864799
TW,2002.TW,9.0,309467807744.0,343698986.9151592,0.0001630834216153107,6.362165248598386e-05,0.39011722869083393
TW,2027.TW,2.0,90152017920.0,69117603.1404829,0.00040013273718554474,6.362165248598386e-05,0.1590013677298341
TW,2317.TW,17.0,2792547680256.0,2157076923.9395103,0.0002979237281833934,6.362165248598386e-05,0.21355013537834142
TW,3045.TW,7.0,332696125440.0,260099521.63817215,0.00010079491204528165,6.362165248598386e-05,0.6311990476007571
TW,2382.TW,18.0,1229591281664.0,320020863.90875244,0.0003663956939626926,6.362165248598386e-05,0.1736419219284329
TW,2912.TW,9.0,233915006976.0,212190831.68842316,0.00019233871104332623,6.362165248598386e-05,0.3307792390875097
TW,2637.TW,4.0,52621836288.0,21231116.70172119,0.000384261630684907,6.362165248598386e-05,0.1655685798568667
TW,1215.TW,1.0,42744553472.0,26789599.529556274,0.00023178610609304358,6.362165248598386e-05,0.2744843233202462
TW,2347.TW,3.0,136771657728.0,130530519.66755676,0.0002255620487499316,6.362165248598386e-05,0.2820583198218674
TW,1210.TW,1.0,46102573056.0,42592737.549856186,0.00019159348662834257,6.362165248598386e-05,0.3320658421410671
TW,2892.TW,2.0,409095897088.0,224375425.49151802,0.00011814713606737818,6.362165248598386e-05,0.5384950884437947
US,AAPL,40.0,3792822075392.0,7863868934.170532,0.0003176217749350137,0.00019089860360002893,0.6010249254450118
US,MSFT,54.0,2835080544256.0,4312635324.389648,0.0002743779445526462,0.00019089860360002893,0.6957505418712703
US,NVDA,56.0,4576631586816.0,3472350728.088379,0.0008716957246528164,0.00019089860360002893,0.21899683364405745
US,GOOGL,56.0,3862209232896.0,2432728695.907593,0.0003164708302059941,0.00019089860360002893,0.6032107397568713
US,AMZN,64.0,2563921149952.0,6446649419.574738,0.00042734735067161963,0.00019089860360002893,0.4467059484515639
US,META,60.0,1593771687936.0,4034833712.487793,0.0005623346171483443,0.00019089860360002893,0.3394751057085816
US,TSLA,41.0,1326447591424.0,6766300253.540039,0.0012818399373679648,0.00019089860360002893,0.14892546099944895
US,BRK-B,3.0,1034780409856.0,901211088.2324219,0.00014127971451866682,0.00019089860360002893,1.3512102869857239
US,UNH,26.0,282804584448.0,845752939.3066406,0.00031967194858607465,0.00019089860360002893,0.5971703317866431
US,V,35.0,592332324864.0,1131777220.8251953,0.00022846550594987842,0.00019089860360002893,0.8355686028240471
US,JPM,23.0,839289536512.0,1207532505.8128357,0.00027795867217297063,0.00019089860360002893,0.6867877231807857
US,WMT,41.0,994078883840.0,723304290.7722473,0.00017388347716050485,0.00019089860360002893,1.097853612760562
US,MA,35.0,449056800768.0,798959021.496582,0.0002715093940053405,0.00019089860360002893,0.7031012842092454
US,JNJ,24.0,567989108736.0,802777240.6768799,0.00012785087651674167,0.00019089860360002893,1.493134883396997
US,XOM,24.0,634187022336.0,911728323.897171,0.0002827838157093039,0.00019089860360002893,0.6750690562725444
US,PG,22.0,334737080320.0,714029297.9370117,0.00012912331285629502,0.00019089860360002893,1.4784208937737322
US,HD,33.0,336966123520.0,766734256.4163208,0.00022646123176509888,0.00019089860360002893,0.8429637254558522
US,CVX,24.0,379934769152.0,686311507.3013306,0.0003235692927823641,0.00019089860360002893,0.5899775036082586
US,ABBV,29.0,359677853696.0,515384737.3260498,0.00028087858120289015,0.00019089860360002893,0.6796481340175063
US,AVGO,43.0,1784093868032.0,667754581.6802979,0.0005864307099855753,0.00019089860360002893,0.3255262733507332
US,COST,32.0,437064892416.0,592922278.2592773,0.00017689346178435328,0.00019089860360002893,1.0791727499388812
US,PEP,21.0,213399994368.0,482119928.0548096,0.00013765665822451962,0.00019089860360002893,1.386773484568186
US,KO,23.0,327072579584.0,555160001.3111115,0.0001230540558593848,0.00019089860360002893,1.5513393871240688
US,MRK,27.0,295030521856.0,595772182.0953369,0.0001968373150594046,0.00019089860360002893,0.9698293412629441
US,ADBE,34.0,97017585664.0,819497078.0029297,0.00042141630141303654,0.00019089860360002893,0.4529929263769184
US,CSCO,22.0,323021733888.0,718158551.1779785,0.00023643388203693446,0.00019089860360002893,0.8074079821191099
US,TMO,25.0,188800385024.0,455945937.09106445,0.000247656818756751,0.00019089860360002893,0.7708190897321099
US,CRM,52.0,161698103296.0,842615770.0805664,0.0004752281859018555,0.00019089860360002893,0.40169882440317517
US,MCD,33.0,216091607040.0,555713938.885498,0.00015415330368212136,0.00019089860360002893,1.2383685528639714
US,ABT,25.0,173942063104.0,395618837.81433105,0.00020882556564186702,0.00019089860360002893,0.9141534132244009
JP,7203.T,17.0,43257803309056.0,41373556988.15918,0.00028683184199113223,0.00014127865441754286,0.49254871229363256
JP,6758.T,23.0,19312712613888.0,34247263562.86621,0.0004174773213602982,0.00014127865441754286,0.3384103691122762
JP,9984.T,18.0,21450146709504.0,63869901773.4375,0.0006997448677279386,0.00014127865441754286,0.2019002366909422
JP,8306.T,12.0,32282528186368.0,32710203343.945312,0.00034655607079776596,0.00014127865441754286,0.407664635890873
JP,6861.T,16.0,15405200441344.0,21970135441.40625,0.00036631098411306763,0.00014127865441754286,0.38567954701007545
JP,9432.T,14.0,12425244966912.0,14377317207.717896,0.00018924335166787228,0.00014127865441754286,0.746544875539359
JP,6098.T,16.0,9767910113280.0,15778106241.94336,0.0005124652480730323,0.00014127865441754286,0.2756843609372103
JP,7974.T,26.0,9565021143040.0,35699506131.44531,0.000538726524846005,0.00014127865441754286,0.2622455882563558
JP,6594.T,8.0,2566587940864.0,12757128851.953125,0.00044727473746752086,0.00014127865441754286,0.3158654906768614
JP,8035.T,22.0,19396458184704.0,25717377323.14453,0.0005923559625856054,0.00014127865441754286,0.23850296669736942
JP,4063.T,17.0,12366761689088.0,13179051721.801758,0.0003581989702600623,0.00014127865441754286,0.39441390441455115
JP,6501.T,14.0,21932229525504.0,14029099092.10205,0.0004454801912115949,0.00014127865441754286,0.31713790468056546
JP,9433.T,13.0,9974545645568.0,13856972831.323242,0.00022533798026583076,0.00014127865441754286,0.6269633474608972
JP,8316.T,13.0,21293005012992.0,22131407858.935547,0.0003001753381441469,0.00014127865441754286,0.4706537695301923
JP,8411.T,12.0,16476269445120.0,16205351134.21875,0.0002787115884190952,0.00014127865441754286,0.506899103904872
JP,6902.T,16.0,5155626418176.0,8260518134.765625,0.00034995241764210623,0.00014127865441754286,0.4037081822993076
JP,6367.T,16.0,5925391302656.0,11946896359.375,0.0003507961838554498,0.00014127865441754286,0.40273714743646866
JP,8001.T,13.0,14019017572352.0,8505487564.331055,0.000254842599087016,0.00014127865441754286,0.5543761322623431
JP,8058.T,14.0,19373743931392.0,10999268882.1167,0.0002761026005826795,0.00014127865441754286,0.5116889667804367
JP,4502.T,15.0,8902605275136.0,12352782963.720703,0.00020611291988981492,0.00014127865441754286,0.6854429819007389
JP,6273.T,15.0,4532121632768.0,9678964542.1875,0.0004344909776110879,0.00014127865441754286,0.3251590060496058
JP,7741.T,15.0,9824046678016.0,9352095026.953125,0.0003749418857031055,0.00014127865441754286,0.37680147192040625
JP,6981.T,17.0,7590635372544.0,14016591753.222656,0.00045877763185617237,0.00014127865441754286,0.3079458208237885
JP,8801.T,11.0,4708864884736.0,8315955017.39502,0.0003634327191757833,0.00014127865441754286,0.3887339993436582
JP,6178.T,8.0,5232046112768.0,6123608152.050781,0.00023468763020074247,0.00014127865441754286,0.6019859431734801
