[TW] fetching 31 tickers…
  [US 15/30]        XOM  analyst=24.0, mcap=634187022336.0, turnover=911728323.897171, err=None
  [US 16/30]         PG  analyst=22.0, mcap=334737080320.0, turnover=714029297.9370117, err=None
  [US 17/30]         HD  analyst=33.0, mcap=336966123520.0, turnover=766734256.4163208, err=None
  [US 18/30]        CVX  analyst=24.0, mcap=379934769152.0, turnover=686311507.3013306, err=None
  [US 19/30]       ABBV  analyst=29.0, mcap=359677853696.0, turnover=515384737.3260498, err=None
  [US 20/30]       AVGO  analyst=43.0, mcap=1784093868032.0, turnover=667754581.6802979, err=None
  [US 21/30]       COST  analyst=32.0, mcap=437064892416.0, turnover=592922278.2592773, err=None
  [US 22/30]        PEP  analyst=21.0, mcap=213399994368.0, turnover=482119928.0548096, err=None
  [US 23/30]         KO  analyst=23.0, mcap=327072579584.0, turnover=555160001.3111115, err=None
  [US 24/30]        MRK  analyst=27.0, mcap=295030521856.0, turnover=595772182.0953369, err=None
  [US 25/30]       ADBE  analyst=34.0, mcap=97017585664.0, turnover=819497078.0029297, err=None
  [US 26/30]       CSCO  analyst=22.0, mcap=323021733888.0, turnover=718158551.1779785, err=None
  [US 27/30]        TMO  analyst=25.0, mcap=188800385024.0, turnover=455945937.09106445, err=None
  [US 28/30]        CRM  analyst=52.0, mcap=161698103296.0, turnover=842615770.0805664, err=None
  [US 29/30]        MCD  analyst=33.0, mcap=216091607040.0, turnover=555713938.885498, err=None
  [US 30/30]        ABT  analyst=25.0, mcap=173942063104.0, turnover=395618837.81433105, err=None
[JP] fetching 30 tickers…
  [JP 1/30]     7203.T  analyst=17.0, mcap=43257803309056.0, turnover=41373556988.15918, err=None
  [JP 2/30]     6758.T  analyst=23.0, mcap=19312712613888.0, turnover=34247263562.86621, err=None
  [JP 3/30]     9984.T  analyst=18.0, mcap=21450146709504.0, turnover=63869901773.4375, err=None
  [JP 4/30]     8306.T  analyst=12.0, mcap=32282528186368.0, turnover=32710203343.945312, err=None
  [JP 5/30]     6861.T  analyst=16.0, mcap=15405200441344.0, turnover=21970135441.40625, err=None
  [JP 6/30]     9432.T  analyst=14.0, mcap=12425244966912.0, turnover=14377317207.717896, err=None
  [JP 7/30]     6098.T  analyst=16.0, mcap=9767910113280.0, turnover=15778106241.94336, err=None
  [JP 8/30]     7974.T  analyst=26.0, mcap=9565021143040.0, turnover=35699506131.44531, err=None
  [JP 9/30]     6594.T  analyst=8.0, mcap=2566587940864.0, turnover=12757128851.953125, err=None
  [JP 10/30]     8035.T  analyst=22.0, mcap=19396458184704.0, turnover=25717377323.14453, err=None
  [JP 11/30]     4063.T  analyst=17.0, mcap=12366761689088.0, turnover=13179051721.801758, err=None
  [JP 12/30]     6501.T  analyst=14.0, mcap=21932229525504.0, turnover=14029099092.10205, err=None
  [JP 13/30]     9433.T  analyst=13.0, mcap=9974545645568.0, turnover=13856972831.323242, err=None
  [JP 14/30]     8316.T  analyst=13.0, mcap=21293005012992.0, turnover=22131407858.935547, err=None
  [JP 15/30]     8411.T  analyst=12.0, mcap=16476269445120.0, turnover=16205351134.21875, err=None
  [JP 16/30]     6902.T  analyst=16.0, mcap=5155626418176.0, turnover=8260518134.765625, err=None
  [JP 17/30]     6367.T  analyst=16.0, mcap=5925391302656.0, turnover=11946896359.375, err=None
  [JP 18/30]     8001.T  analyst=13.0, mcap=14019017572352.0, turnover=8505487564.331055, err=None
  [JP 19/30]     8058.T  analyst=14.0, mcap=19373743931392.0, turnover=10999268882.1167, err=None
  [JP 20/30]     4502.T  analyst=15.0, mcap=8902605275136.0, turnover=12352782963.720703, err=None
  [JP 21/30]     6273.T  analyst=15.0, mcap=4532121632768.0, turnover=9678964542.1875, err=None
  [JP 22/30]     7741.T  analyst=15.0, mcap=9824046678016.0, turnover=9352095026.953125, err=None
  [JP 23/30]     6981.T  analyst=17.0, mcap=7590635372544.0, turnover=14016591753.222656, err=None
  [JP 24/30]     8801.T  analyst=11.0, mcap=4708864884736.0, turnover=8315955017.39502, err=None
  [JP 25/30]     6178.T  analyst=8.0, mcap=5232046112768.0, turnover=6123608152.050781, err=None
  [JP 26/30]     7267.T  analyst=18.0, mcap=4881259692032.0, turnover=12236851059.667969, err=None
  [JP 27/30]     8031.T  analyst=13.0, mcap=17700365533184.0, turnover=9633450714.96582, err=None
  [JP 28/30]     4503.T  analyst=14.0, mcap=4586906583040.0, turnover=8158299767.578125, err=None
  [JP 29/30]     8002.T  analyst=13.0, mcap=9718970974208.0, turnover=4771364193.75, err=None
  [JP 30/30]     6701.T  analyst=12.0, mcap=5166044020736.0, turnover=5263630329.437256, err=None
[EU] fetching 18 tickers…
  [EU 1/18]     SAP.DE  analyst=27.0, mcap=166377160704.0, turnover=192074529.6210251, err=None
  [EU 2/18]     SIE.DE  analyst=23.0, mcap=174439399424.0, turnover=164721564.62395477, err=None
  [EU 3/18]     ALV.DE  analyst=18.0, mcap=144073768960.0, turnover=148356522.28107452, err=None
  [EU 4/18]     MRK.DE  analyst=15.0, mcap=49129902080.0, turnover=40241820.59623718, err=None
  [EU 5/18]     BMW.DE  analyst=23.0, mcap=50925916160.0, turnover=80940439.1092186, err=None
  [EU 6/18]     BAS.DE  analyst=21.0, mcap=48328376320.0, turnover=112886065.82661438, err=None
  [EU 7/18]     MBG.DE  analyst=24.0, mcap=47958372352.0, turnover=131338631.1262207, err=None
  [EU 8/18]     DTE.DE  analyst=18.0, mcap=140834848768.0, turnover=113909119.09803772, err=None
  [EU 9/18]     ADS.DE  analyst=28.0, mcap=24119453696.0, turnover=98493006.89506531, err=None
  [EU 10/18]    VOW3.DE  analyst=22.0, mcap=44023750656.0, turnover=99832943.2731247, err=None
  [EU 11/18]     TTE.PA  analyst=21.0, mcap=169971646464.0, turnover=174571319.8526001, err=None
  [EU 12/18]     AIR.PA  analyst=22.0, mcap=134541516800.0, turnover=127003016.74156189, err=None
  [EU 13/18]     SAN.PA  analyst=23.0, mcap=95535751168.0, turnover=137330187.33794403, err=None
  [EU 14/18]     BNP.PA  analyst=19.0, mcap=98890686464.0, turnover=128862638.55361938, err=None
  [EU 15/18]     SHEL.L  analyst=16.0, mcap=194350202880.0, turnover=15895208481.773926, err=None
  [EU 16/18]      AZN.L  analyst=21.0, mcap=232438890496.0, turnover=14766055124.643555, err=None
  [EU 17/18]     HSBA.L  analyst=17.0, mcap=228482514944.0, turnover=14955960627.535583, err=None
  [EU 18/18]       BP.L  analyst=19.0, mcap=89479233536.0, turnover=15638234809.02475, err=None
[done] wrote /Users/yhlai0911/Desktop/volpred-research/.claude/worktrees/agent-aa820ce8/experiments/k1164/data/analyst_media_proxies.json
