Date,YUM
2020-01-02,90.46070861816406
2020-01-03,90.1773910522461
2020-01-06,90.12427520751953
2020-01-07,90.28363037109375
2020-01-08,90.44300842285156
2020-01-09,91.16017150878906
2020-01-10,90.03571319580078
2020-01-13,88.84044647216797
2020-01-14,89.1768798828125
2020-01-15,89.63729095458984
2020-01-16,90.45187377929688
2020-01-17,93.32052612304688
2020-01-21,93.49761199951172
2020-01-22,94.2856216430664
2020-01-23,93.83404541015625
2020-01-24,92.94866180419922
2020-01-27,92.42628479003906
2020-01-28,92.80702209472656
2020-01-29,94.4095687866211
2020-01-30,94.38302612304688
2020-01-31,93.64813232421875
2020-02-03,94.21479034423828
2020-02-04,94.48040008544922
2020-02-05,94.54238891601562
2020-02-06,91.85077667236328
2020-02-07,90.34562683105469
2020-02-10,91.08049011230469
2020-02-11,92.1252670288086
2020-02-12,93.26741790771484
2020-02-13,93.40971374511719
2020-02-14,93.63204956054688
2020-02-18,92.52033233642578
2020-02-19,93.5520248413086
2020-02-20,92.37804412841797
2020-02-21,92.05787658691406
2020-02-24,89.15856170654297
2020-02-25,87.113037109375
2020-02-26,86.71280670166016
2020-02-27,82.41718292236328
2020-02-28,79.37559509277344
2020-03-02,82.29267883300781
2020-03-03,81.20767211914062
2020-03-04,84.16035461425781
2020-03-05,80.86079406738281
2020-03-06,79.50899505615234
2020-03-09,74.43962097167969
2020-03-10,77.17886352539062
2020-03-11,72.01167297363281
2020-03-12,69.77046203613281
2020-03-13,69.77935791015625
2020-03-16,62.104183197021484
2020-03-17,58.244327545166016
2020-03-18,53.97538757324219
2020-03-19,55.674076080322266
2020-03-20,51.65415954589844
2020-03-23,50.266761779785156
2020-03-24,61.952972412109375
2020-03-25,64.80781555175781
2020-03-26,67.36917114257812
2020-03-27,60.947994232177734
2020-03-30,62.851226806640625
2020-03-31,60.947994232177734
2020-04-01,60.165340423583984
2020-04-02,58.74236297607422
2020-04-03,56.296630859375
2020-04-06,62.70003128051758
2020-04-07,63.45599365234375
2020-04-08,67.03124237060547
2020-04-09,71.47803497314453
2020-04-13,68.53427124023438
2020-04-14,71.05113983154297
2020-04-15,69.0500717163086
2020-04-16,71.2468032836914
2020-04-17,74.85762786865234
2020-04-20,72.98995208740234
2020-04-21,72.21622467041016
2020-04-22,77.18775177001953
2020-04-23,76.1382827758789
2020-04-24,76.38733673095703
2020-04-27,78.43283081054688
2020-04-28,78.50399780273438
2020-04-29,77.78362274169922
2020-04-30,76.8675765991211
2020-05-01,74.53742980957031
2020-05-04,73.89710235595703
2020-05-05,74.06609344482422
2020-05-06,73.96827697753906
2020-05-07,75.2400131225586
2020-05-08,76.6452407836914
2020-05-11,76.814208984375
2020-05-12,74.70642852783203
2020-05-13,71.540283203125
2020-05-14,74.07498168945312
2020-05-15,75.50687408447266
2020-05-18,77.16107177734375
2020-05-19,77.25
2020-05-20,78.3438949584961
2020-05-21,78.27276611328125
2020-05-22,77.59685516357422
2020-05-26,78.308349609375
2020-05-27,80.25605010986328
2020-05-28,81.2215805053711
2020-05-29,80.22027587890625
2020-06-01,80.92654418945312
2020-06-02,82.43745422363281
2020-06-03,84.53839874267578
2020-06-04,84.92279815673828
2020-06-05,86.29067993164062
2020-06-08,85.81683349609375
2020-06-09,85.43238830566406
2020-06-10,84.11820220947266
2020-06-11,81.0606460571289
2020-06-12,81.60600280761719
2020-06-15,81.74906158447266
2020-06-16,82.12454986572266
2020-06-17,81.58814239501953
2020-06-18,80.57787322998047
2020-06-19,78.90605926513672
2020-06-22,78.51270294189453
2020-06-23,78.60210418701172
2020-06-24,77.38622283935547
2020-06-25,76.88557434082031
2020-06-26,75.80382537841797
2020-06-29,77.76172637939453
2020-06-30,77.69915008544922
2020-07-01,77.28789520263672
2020-07-02,77.38622283935547
2020-07-06,79.12958526611328
2020-07-07,77.65444946289062
2020-07-08,77.37731170654297
2020-07-09,77.22530364990234
2020-07-10,77.99418640136719
2020-07-13,78.1640396118164
2020-07-14,78.83455657958984
2020-07-15,80.77456665039062
2020-07-16,80.18453216552734
2020-07-17,80.97125244140625
2020-07-20,81.27523803710938
2020-07-21,81.3914566040039
2020-07-22,83.6980209350586
2020-07-23,83.02749633789062
2020-07-24,83.26889038085938
2020-07-27,83.47451782226562
2020-07-28,82.92021942138672
2020-07-29,84.77976989746094
2020-07-30,81.9278564453125
2020-07-31,81.40037536621094
2020-08-03,81.28414916992188
2020-08-04,82.08879089355469
2020-08-05,81.3556900024414
2020-08-06,81.34673309326172
2020-08-07,81.19477844238281
2020-08-10,81.6596450805664
2020-08-11,82.87551879882812
2020-08-12,83.2867660522461
2020-08-13,82.9381103515625
2020-08-14,82.83081817626953
2020-08-17,83.68016052246094
2020-08-18,84.84237670898438
2020-08-19,83.97515869140625
2020-08-20,85.26255798339844
2020-08-21,85.91519165039062
2020-08-24,86.32642364501953
2020-08-25,86.67681884765625
2020-08-26,85.6436538696289
2020-08-27,85.76943969726562
2020-08-28,87.54823303222656
2020-08-31,86.11080932617188
2020-09-01,86.38031768798828
2020-09-02,88.02439880371094
2020-09-03,86.54203796386719
2020-09-04,85.54483795166016
2020-09-08,84.16130065917969
2020-09-09,83.9007797241211
2020-09-10,82.96643829345703
2020-09-11,82.89458465576172
2020-09-14,83.43360137939453
2020-09-15,84.01754760742188
2020-09-16,85.1764907836914
2020-09-17,84.18824768066406
2020-09-18,82.75082397460938
2020-09-21,80.26227569580078
2020-09-22,81.3852767944336
2020-09-23,80.64859008789062
