Date,XLV
2020-01-02,91.90078735351562
2020-01-03,91.09992218017578
2020-01-06,91.66683197021484
2020-01-07,91.48686981201172
2020-01-08,92.08076477050781
2020-01-09,92.4766845703125
2020-01-10,92.50369262695312
2020-01-13,92.17974090576172
2020-01-14,92.7376480102539
2020-01-15,93.53851318359375
2020-01-16,94.02440643310547
2020-01-17,94.02440643310547
2020-01-21,94.12337493896484
2020-01-22,94.24039459228516
2020-01-23,93.76345825195312
2020-01-24,92.19774627685547
2020-01-27,91.4958724975586
2020-01-28,91.94577026367188
2020-01-29,91.69383239746094
2020-01-30,91.02793884277344
2020-01-31,89.21026611328125
2020-02-03,90.02012634277344
2020-02-04,91.60385131835938
2020-02-05,93.36754608154297
2020-02-06,93.44852447509766
2020-02-07,92.71965789794922
2020-02-10,93.21456909179688
2020-02-11,93.7724609375
2020-02-12,93.8894271850586
2020-02-13,93.44852447509766
2020-02-14,93.5204849243164
2020-02-18,93.18755340576172
2020-02-19,93.61949157714844
2020-02-20,93.01659393310547
2020-02-21,93.07057189941406
2020-02-24,90.13710021972656
2020-02-25,87.40157318115234
2020-02-26,87.39260864257812
2020-02-27,84.42311096191406
2020-02-28,83.33429718017578
2020-03-02,87.23960876464844
2020-03-03,85.07099151611328
2020-03-04,89.97513580322266
2020-03-05,87.88749694824219
2020-03-06,87.4195785522461
2020-03-09,82.8753890991211
2020-03-10,85.7188949584961
2020-03-11,82.44348907470703
2020-03-12,76.28853607177734
2020-03-13,81.5796127319336
2020-03-16,73.53501892089844
2020-03-17,78.1512222290039
2020-03-18,75.55966186523438
2020-03-19,74.011962890625
2020-03-20,71.16844177246094
2020-03-23,67.47206115722656
2020-03-24,72.6712646484375
2020-03-25,73.63874053955078
2020-03-26,78.530517578125
2020-03-27,76.84870147705078
2020-03-30,80.44744110107422
2020-03-31,80.09481811523438
2020-04-01,77.04761505126953
2020-04-02,79.18152618408203
2020-04-03,78.46722412109375
2020-04-06,82.58139038085938
2020-04-07,81.9031982421875
2020-04-08,85.27590942382812
2020-04-09,85.74610900878906
2020-04-13,84.99561309814453
2020-04-14,87.8167495727539
2020-04-15,87.3646469116211
2020-04-16,89.27251434326172
2020-04-17,91.12615966796875
2020-04-20,90.40277099609375
2020-04-21,87.65397644042969
2020-04-22,88.9922103881836
2020-04-23,89.48049926757812
2020-04-24,90.68307495117188
2020-04-27,91.8495101928711
2020-04-28,89.99588775634766
2020-04-29,90.5926513671875
2020-04-30,90.17672729492188
2020-05-01,88.458740234375
2020-05-04,88.41352081298828
2020-05-05,90.33045196533203
2020-05-06,89.43525695800781
2020-05-07,89.42623901367188
2020-05-08,89.88738250732422
2020-05-11,91.43355560302734
2020-05-12,90.04109954833984
