Date,IWM
2020-01-02,153.06907653808594
2020-01-03,152.4689178466797
2020-01-06,152.6720733642578
2020-01-07,152.1642303466797
2020-01-08,152.63510131835938
2020-01-09,152.8197479248047
2020-01-10,152.24729919433594
2020-01-13,153.23526000976562
2020-01-14,153.79849243164062
2020-01-15,154.53713989257812
2020-01-16,156.53150939941406
2020-01-17,156.10678100585938
2020-01-21,154.81414794921875
2020-01-22,154.7125701904297
2020-01-23,154.6110076904297
2020-01-24,152.70901489257812
2020-01-27,150.9730987548828
2020-01-28,152.22885131835938
2020-01-29,151.3609161376953
2020-01-30,151.3609161376953
2020-01-31,148.22161865234375
2020-02-03,149.87437438964844
2020-02-04,152.13648986816406
2020-02-05,154.48175048828125
2020-02-06,154.13092041015625
2020-02-07,152.23809814453125
2020-02-10,153.0967559814453
2020-02-11,154.1586151123047
2020-02-12,155.22042846679688
2020-02-13,155.626708984375
2020-02-14,155.02651977539062
2020-02-18,154.69415283203125
2020-02-19,155.48817443847656
2020-02-20,155.86676025390625
2020-02-21,154.28790283203125
2020-02-24,149.64349365234375
2020-02-25,144.32516479492188
2020-02-26,142.65391540527344
2020-02-27,137.63107299804688
2020-02-28,135.1103973388672
2020-03-02,139.4500274658203
2020-03-03,136.60617065429688
2020-03-04,140.49339294433594
2020-03-05,136.0244598388672
2020-03-06,133.32833862304688
2020-03-09,120.3648681640625
2020-03-10,124.12277221679688
2020-03-11,116.22834014892578
2020-03-12,103.3848876953125
2020-03-13,110.309814453125
2020-03-16,95.67510986328125
2020-03-17,100.0608901977539
2020-03-18,92.3049545288086
2020-03-19,95.90591430664062
2020-03-20,93.62531280517578
2020-03-23,92.24031829833984
2020-03-24,100.67953491210938
2020-03-25,101.93083953857422
2020-03-26,108.27079010009766
2020-03-27,104.33148193359375
2020-03-30,106.63021087646484
2020-03-31,106.09260559082031
2020-04-01,98.86280059814453
2020-04-02,99.79895782470703
2020-04-03,96.97195434570312
2020-04-06,104.3963851928711
2020-04-07,104.6651611328125
2020-04-08,109.4386978149414
2020-04-09,114.6756591796875
2020-04-13,111.570556640625
2020-04-14,113.83218383789062
2020-04-15,109.18843078613281
2020-04-16,108.36349487304688
2020-04-17,113.13701629638672
2020-04-20,111.80227661132812
2020-04-21,109.13279724121094
2020-04-22,110.4582748413086
2020-04-23,111.5427474975586
2020-04-24,113.46142578125
2020-04-27,117.95687866210938
2020-04-28,119.671630859375
2020-04-29,125.55743408203125
2020-04-30,120.7839126586914
2020-05-01,115.99185180664062
2020-05-04,116.49238586425781
2020-05-05,117.39148712158203
2020-05-06,116.5294418334961
2020-05-07,118.12371063232422
2020-05-08,122.68403625488281
2020-05-11,122.07229614257812
2020-05-12,117.68807983398438
2020-05-13,113.74876403808594
2020-05-14,114.1195297241211
2020-05-15,115.936279296875
2020-05-18,122.98065948486328
2020-05-19,120.55220794677734
2020-05-20,124.20417785644531
2020-05-21,124.4266357421875
2020-05-22,125.02910614013672
2020-05-26,128.6347198486328
2020-05-27,132.62962341308594
2020-05-28,129.48745727539062
2020-05-29,128.74595642089844
2020-06-01,129.97874450683594
2020-06-02,131.05392456054688
2020-06-03,134.2146453857422
2020-06-04,134.02000427246094
2020-06-05,139.20135498046875
2020-06-08,141.89865112304688
2020-06-09,139.2755126953125
2020-06-10,135.49378967285156
2020-06-11,125.15884399414062
2020-06-12,128.16201782226562
2020-06-15,131.12509155273438
