Date,CPB
2020-01-02,38.41627502441406
2020-01-03,38.36872482299805
2020-01-06,38.432098388671875
2020-01-07,38.4560432434082
2020-01-08,37.78572082519531
2020-01-09,38.001190185546875
2020-01-10,38.088958740234375
2020-01-13,38.080997467041016
2020-01-14,37.937347412109375
2020-01-15,38.12886428833008
2020-01-16,38.37625503540039
2020-01-17,38.32038879394531
2020-01-21,38.75131607055664
2020-01-22,38.7592887878418
2020-01-23,39.070518493652344
2020-01-24,38.93486404418945
2020-01-27,38.91889572143555
2020-01-28,39.006675720214844
2020-01-29,38.575748443603516
2020-01-30,39.12637710571289
2020-01-31,38.61564254760742
2020-02-03,38.998695373535156
2020-02-04,38.831111907958984
2020-02-05,39.10243225097656
2020-02-06,38.432106018066406
2020-02-07,39.006675720214844
2020-02-10,38.863037109375
2020-02-11,38.88698196411133
2020-02-12,38.44805908203125
2020-02-13,38.59170913696289
2020-02-14,38.81515884399414
2020-02-18,38.46403503417969
2020-02-19,38.1368522644043
2020-02-20,38.09695816040039
2020-02-21,38.272518157958984
2020-02-24,38.32038879394531
2020-02-25,38.208675384521484
2020-02-26,37.219146728515625
2020-02-27,36.46901321411133
2020-02-28,36.006168365478516
2020-03-02,38.288475036621094
2020-03-03,38.208675384521484
2020-03-04,42.07102966308594
2020-03-05,42.374271392822266
2020-03-06,41.3049430847168
2020-03-09,40.0600471496582
2020-03-10,40.90593719482422
2020-03-11,40.27550506591797
2020-03-12,38.049068450927734
2020-03-13,39.32588195800781
2020-03-16,39.341835021972656
2020-03-17,42.964805603027344
2020-03-18,40.283485412597656
2020-03-19,37.90543746948242
2020-03-20,36.149803161621094
2020-03-23,34.25852584838867
2020-03-24,34.713382720947266
2020-03-25,33.04554748535156
2020-03-26,34.78520584106445
2020-03-27,35.264007568359375
2020-03-30,37.1313591003418
2020-03-31,36.836097717285156
2020-04-01,36.692447662353516
2020-04-02,37.86552047729492
2020-04-03,39.52538299560547
2020-04-06,37.99320602416992
2020-04-07,37.2989387512207
2020-04-08,37.114017486572266
2020-04-09,38.39242172241211
2020-04-13,38.99544143676758
2020-04-14,40.25777053833008
2020-04-15,40.60350036621094
2020-04-16,41.09395980834961
2020-04-17,40.474857330322266
2020-04-20,41.2467155456543
2020-04-21,40.55525207519531
2020-04-22,40.844703674316406
2020-04-23,40.63566589355469
2020-04-24,40.80451583862305
2020-04-27,41.198486328125
2020-04-28,40.98943328857422
