Date,XLP
2020-01-02,52.624794006347656
2020-01-03,52.540565490722656
2020-01-06,52.65005111694336
2020-01-07,52.245765686035156
2020-01-08,52.43948745727539
2020-01-09,52.810089111328125
2020-01-10,52.776405334472656
2020-01-13,53.12171936035156
2020-01-14,53.13856887817383
2020-01-15,53.51759338378906
2020-01-16,53.66079330444336
2020-01-17,53.7534294128418
2020-01-21,53.9387321472168
2020-01-22,53.980838775634766
2020-01-23,53.930294036865234
2020-01-24,53.5597038269043
2020-01-27,53.391258239746094
2020-01-28,53.45863723754883
2020-01-29,53.18910598754883
2020-01-30,53.82080078125
2020-01-31,53.21438217163086
2020-02-03,53.21438217163086
2020-02-04,53.53444290161133
2020-02-05,53.963985443115234
2020-02-06,54.056636810302734
2020-02-07,54.12403106689453
2020-02-10,54.351436614990234
2020-02-11,54.149288177490234
2020-02-12,54.12403106689453
2020-02-13,54.4440803527832
2020-02-14,54.5704345703125
2020-02-18,54.376708984375
2020-02-19,54.31774139404297
2020-02-20,54.3598518371582
2020-02-21,54.4525032043457
2020-02-24,53.19754409790039
2020-02-25,52.23734664916992
2020-02-26,51.94255065917969
2020-02-27,49.828468322753906
2020-02-28,48.843013763427734
2020-03-02,51.45404052734375
2020-03-03,50.75495910644531
2020-03-04,53.248069763183594
2020-03-05,52.245765686035156
2020-03-06,51.83306121826172
2020-03-09,49.5757942199707
2020-03-10,50.99921798706055
2020-03-11,48.497684478759766
2020-03-12,43.94102478027344
2020-03-13,47.68069076538086
2020-03-16,44.44639587402344
2020-03-17,48.1944694519043
2020-03-18,46.95634078979492
2020-03-19,45.38972473144531
2020-03-20,42.45021438598633
2020-03-23,41.19398880004883
2020-03-24,43.29477310180664
2020-03-25,43.17616271972656
2020-03-26,45.539546966552734
2020-03-27,45.32778549194336
2020-03-30,47.09819793701172
2020-03-31,46.14098358154297
2020-04-01,45.36166000366211
2020-04-02,46.52216720581055
2020-04-03,46.88642883300781
2020-04-06,48.63142395019531
2020-04-07,48.07236099243164
2020-04-08,48.78390884399414
2020-04-09,49.24134063720703
2020-04-13,48.8770866394043
2020-04-14,50.95246124267578
2020-04-15,50.147727966308594
