Date,IYH
2020-01-02,39.99319076538086
2020-01-03,39.63795471191406
2020-01-06,39.92473602294922
2020-01-07,39.81187057495117
2020-01-08,40.074607849121094
2020-01-09,40.26702880859375
2020-01-10,40.298492431640625
2020-01-13,40.12641143798828
2020-01-14,40.36509704589844
2020-01-15,40.707393646240234
2020-01-16,40.93311309814453
2020-01-17,40.93866729736328
2020-01-21,40.934974670410156
2020-01-22,40.994178771972656
2020-01-23,40.78511047363281
2020-01-24,40.082008361816406
2020-01-27,39.77670669555664
2020-01-28,39.99504089355469
2020-01-29,39.90992736816406
2020-01-30,39.643497467041016
2020-01-31,38.87379455566406
2020-02-03,39.19943618774414
2020-02-04,39.90992736816406
2020-02-05,40.642635345458984
2020-02-06,40.655582427978516
2020-02-07,40.304039001464844
2020-02-10,40.55752944946289
2020-02-11,40.81099319458008
2020-02-12,40.89795684814453
2020-02-13,40.75733947753906
2020-02-14,40.84061050415039
2020-02-18,40.72404479980469
2020-02-19,40.920162200927734
2020-02-20,40.63892364501953
2020-02-21,40.60932540893555
2020-02-24,39.32525634765625
2020-02-25,38.146629333496094
2020-02-26,38.03932571411133
2020-02-27,36.75895690917969
2020-02-28,36.361148834228516
2020-03-02,38.052276611328125
2020-03-03,37.071632385253906
2020-03-04,39.243839263916016
2020-03-05,38.300209045410156
2020-03-06,38.031925201416016
2020-03-09,35.99294662475586
2020-03-10,37.24741744995117
2020-03-11,35.6950569152832
2020-03-12,33.08805847167969
2020-03-13,35.408267974853516
2020-03-16,31.91684913635254
2020-03-17,33.52656173706055
2020-03-18,32.362754821777344
2020-03-19,32.005653381347656
2020-03-20,30.806686401367188
2020-03-23,29.350540161132812
2020-03-24,31.578243255615234
2020-03-25,32.11359786987305
2020-03-26,34.304771423339844
2020-03-27,33.424583435058594
2020-03-30,34.978824615478516
2020-03-31,34.87297439575195
2020-04-01,33.54713821411133
2020-04-02,34.42918395996094
2020-04-03,34.07636260986328
2020-04-06,35.86830520629883
2020-04-07,35.563758850097656
