Date,PBJ
2020-01-02,30.995996475219727
2020-01-03,31.08718490600586
2020-01-06,31.005125045776367
2020-01-07,30.777135848999023
2020-01-08,30.795379638671875
2020-01-09,30.76801872253418
2020-01-10,30.76801872253418
2020-01-13,30.859210968017578
2020-01-14,30.804485321044922
2020-01-15,30.932153701782227
2020-01-16,31.123666763305664
2020-01-17,31.151020050048828
2020-01-21,31.178373336791992
2020-01-22,31.26957130432129
2020-01-23,31.324281692504883
2020-01-24,31.014230728149414
2020-01-27,30.7862548828125
2020-01-28,30.667705535888672
2020-01-29,30.37590217590332
2020-01-30,30.71329116821289
2020-01-31,30.211746215820312
2020-02-03,30.25735092163086
2020-02-04,30.19351577758789
2020-02-05,30.385007858276367
2020-02-06,30.439735412597656
2020-02-07,30.403257369995117
2020-02-10,30.503562927246094
2020-02-11,30.63123321533203
2020-02-12,30.71329116821289
2020-02-13,30.877445220947266
2020-02-14,30.941280364990234
2020-02-18,30.822729110717773
2020-02-19,30.67682456970215
2020-02-20,30.7862548828125
2020-02-21,30.749780654907227
2020-02-24,30.31205940246582
2020-02-25,29.737550735473633
2020-02-26,29.153926849365234
2020-02-27,28.278484344482422
2020-02-28,27.558074951171875
2020-03-02,28.634132385253906
2020-03-03,28.433517456054688
2020-03-04,29.31806755065918
2020-03-05,28.697967529296875
2020-03-06,28.588539123535156
2020-03-09,27.284500122070312
2020-03-10,27.66750717163086
2020-03-11,26.418176651000977
2020-03-12,23.855697631835938
2020-03-13,25.19621467590332
2020-03-16,23.27207374572754
2020-03-17,25.004709243774414
2020-03-18,23.609479904174805
2020-03-19,24.357250213623047
2020-03-20,23.399742126464844
2020-03-23,23.093358993530273
2020-03-24,24.145132064819336
2020-03-25,24.154273986816406
2020-03-26,25.526161193847656
2020-03-27,24.92253303527832
2020-03-30,25.83711814880371
2020-03-31,25.553600311279297
2020-04-01,24.904237747192383
2020-04-02,25.407264709472656
2020-04-03,25.53530502319336
2020-04-06,26.70598030090332
2020-04-07,26.56878662109375
2020-04-08,26.797441482543945
2020-04-09,27.373624801635742
2020-04-13,26.989498138427734
2020-04-14,27.593128204345703
2020-04-15,26.998647689819336
2020-04-16,27.355337142944336
2020-04-17,27.702878952026367
2020-04-20,27.49252700805664
2020-04-21,26.962064743041992
2020-04-22,27.556547164916992
2020-04-23,27.291309356689453
2020-04-24,27.657148361206055
2020-04-27,28.022987365722656
2020-04-28,28.361379623413086
2020-04-29,28.315654754638672
2020-04-30,27.812633514404297
2020-05-01,27.14498519897461
2020-05-04,27.218149185180664
2020-05-05,27.44679832458496
2020-05-06,27.401065826416016
2020-05-07,27.629714965820312
2020-05-08,28.443696975708008
2020-05-11,28.535158157348633
2020-05-12,28.30651092529297
2020-05-13,27.931529998779297
2020-05-14,27.702878952026367
2020-05-15,27.812633514404297
2020-05-18,28.498571395874023
2020-05-19,28.096153259277344
2020-05-20,28.29736328125
2020-05-21,27.949817657470703
2020-05-22,27.986404418945312
2020-05-26,28.12358856201172
2020-05-27,28.919281005859375
2020-05-28,28.80038833618164
2020-05-29,28.98330307006836
2020-06-01,29.074764251708984
2020-06-02,29.111343383789062
2020-06-03,28.946720123291016
2020-06-04,28.736366271972656
2020-06-05,28.928430557250977
2020-06-08,29.394865036010742
2020-06-09,29.25767707824707
2020-06-10,28.791240692138672
2020-06-11,27.657148361206055
2020-06-12,27.6937313079834
2020-06-15,28.004695892333984
2020-06-16,28.434551239013672
2020-06-17,28.544301986694336
2020-06-18,28.452844619750977
2020-06-19,28.38882064819336
2020-06-22,28.624683380126953
2020-06-23,28.41360092163086
2020-06-24,28.184158325195312
2020-06-25,28.34018325805664
2020-06-26,27.82623863220215
2020-06-29,28.331005096435547
2020-06-30,28.661396026611328
2020-07-01,28.50537109375
2020-07-02,28.643033981323242
2020-07-06,28.909183502197266
2020-07-07,28.96425437927246
2020-07-08,28.863298416137695
2020-07-09,28.56962013244629
2020-07-10,28.991779327392578
2020-07-13,28.909183502197266
2020-07-14,29.487375259399414
2020-07-15,29.643390655517578
2020-07-16,29.725984573364258
2020-07-17,29.918716430664062
2020-07-20,29.771873474121094
2020-07-21,30.1665096282959
2020-07-22,30.304166793823242
2020-07-23,30.405118942260742
2020-07-24,30.212390899658203
2020-07-27,30.570316314697266
2020-07-28,30.524429321289062
2020-07-29,30.928239822387695
2020-07-30,30.542781829833984
2020-07-31,30.39594078063965
2020-08-03,30.6162052154541
2020-08-04,31.001659393310547
2020-08-05,30.845645904541016
2020-08-06,30.873178482055664
2020-08-07,31.001659393310547
2020-08-10,30.93742561340332
2020-08-11,30.588672637939453
2020-08-12,31.102615356445312
2020-08-13,31.148500442504883
2020-08-14,31.221927642822266
2020-08-17,31.51561164855957
2020-08-18,31.598194122314453
2020-08-19,31.40546989440918
2020-08-20,31.414642333984375
2020-08-21,31.35040283203125
2020-08-24,31.488067626953125
2020-08-25,31.51561164855957
