Date,LLY
2020-01-02,122.58207702636719
2020-01-03,122.17414093017578
2020-01-06,122.62847137451172
2020-01-07,122.86023712158203
2020-01-08,123.97288513183594
2020-01-09,126.02191162109375
2020-01-10,127.95046997070312
2020-01-13,128.82200622558594
2020-01-14,130.40745544433594
2020-01-15,130.83399963378906
2020-01-16,131.1306915283203
2020-01-17,129.41537475585938
2020-01-21,130.64852905273438
2020-01-22,131.251220703125
2020-01-23,130.92674255371094
2020-01-24,128.94253540039062
2020-01-27,128.23788452148438
2020-01-28,129.1187286376953
2020-01-29,129.7306365966797
2020-01-30,132.28036499023438
2020-01-31,129.4710235595703
2020-02-03,130.7319793701172
2020-02-04,132.99427795410156
2020-02-05,136.6195831298828
2020-02-06,136.5731964111328
2020-02-07,135.7480010986328
2020-02-10,134.91354370117188
2020-02-11,133.7453155517578
2020-02-12,133.0592041015625
2020-02-13,132.15521240234375
2020-02-14,131.5214080810547
2020-02-18,131.41891479492188
2020-02-19,131.2511444091797
2020-02-20,132.3415985107422
2020-02-21,132.3788604736328
2020-02-24,128.75343322753906
2020-02-25,126.19981384277344
2020-02-26,124.44767761230469
2020-02-27,120.40289306640625
2020-02-28,117.55103302001953
2020-03-02,123.80464172363281
2020-03-03,121.44669342041016
2020-03-04,130.83177185058594
2020-03-05,130.6173858642578
2020-03-06,131.8383331298828
2020-03-09,126.48872375488281
2020-03-10,131.586669921875
2020-03-11,130.4962615966797
2020-03-12,117.4485092163086
2020-03-13,129.89048767089844
2020-03-16,120.5799560546875
2020-03-17,133.4599609375
2020-03-18,133.35745239257812
2020-03-19,124.03759765625
2020-03-20,114.07472229003906
2020-03-23,110.95256042480469
2020-03-24,114.5313720703125
2020-03-25,113.64602661132812
2020-03-26,125.21190643310547
2020-03-27,124.98824310302734
2020-03-30,129.02371215820312
2020-03-31,129.2846221923828
2020-04-01,127.1411361694336
2020-04-02,132.50933837890625
2020-04-03,130.1607666015625
2020-04-06,131.9781494140625
2020-04-07,132.229736328125
2020-04-08,136.27455139160156
2020-04-09,135.81788635253906
2020-04-13,134.59701538085938
2020-04-14,140.8319091796875
2020-04-15,140.8971405029297
2020-04-16,144.20570373535156
2020-04-17,146.59161376953125
2020-04-20,147.05763244628906
2020-04-21,142.28582763671875
2020-04-22,146.05108642578125
2020-04-23,149.05206298828125
2020-04-24,151.84799194335938
2020-04-27,150.31951904296875
2020-04-28,146.60093688964844
2020-04-29,144.60650634765625
2020-04-30,144.12184143066406
2020-05-01,143.1805419921875
2020-05-04,142.8543243408203
2020-05-05,147.15078735351562
2020-05-06,146.0230712890625
2020-05-07,142.56546020507812
2020-05-08,143.06866455078125
2020-05-11,147.76589965820312
2020-05-12,146.9923858642578
2020-05-13,147.1880340576172
2020-05-14,148.30238342285156
2020-05-15,149.09825134277344
2020-05-18,147.90908813476562
2020-05-19,146.729248046875
2020-05-20,143.38641357421875
2020-05-21,142.5905303955078
2020-05-22,141.54177856445312
2020-05-26,138.54537963867188
2020-05-27,136.42919921875
2020-05-28,141.06417846679688
2020-05-29,143.2178955078125
2020-06-01,142.7496795654297
2020-06-02,144.0699462890625
2020-06-03,142.82456970214844
2020-06-04,141.1204071044922
2020-06-05,139.7158660888672
