Date,DPZ
2020-01-02,270.0492248535156
2020-01-03,271.2181701660156
2020-01-06,270.5554504394531
2020-01-07,268.62261962890625
2020-01-08,267.4352722167969
2020-01-09,265.9072265625
2020-01-10,266.0822448730469
2020-01-13,261.3974304199219
2020-01-14,262.42822265625
2020-01-15,265.6036682128906
2020-01-16,264.489990234375
2020-01-17,263.6707763671875
2020-01-21,262.41900634765625
2020-01-22,263.1553649902344
2020-01-23,265.0973815917969
2020-01-24,262.4097900390625
2020-01-27,260.3757019042969
2020-01-28,261.56304931640625
2020-01-29,262.75042724609375
2020-01-30,259.9247131347656
2020-01-31,259.32647705078125
2020-02-03,249.2018585205078
2020-02-04,251.64093017578125
2020-02-05,255.8841094970703
2020-02-06,257.17266845703125
2020-02-07,253.58303833007812
2020-02-10,252.9755859375
2020-02-11,253.80398559570312
2020-02-12,258.66375732421875
2020-02-13,263.2658386230469
2020-02-14,268.3924560546875
2020-02-18,272.2398376464844
2020-02-19,273.4547424316406
2020-02-20,343.4614562988281
2020-02-21,342.3569030761719
2020-02-24,334.119140625
2020-02-25,339.319580078125
2020-02-26,337.4879150390625
2020-02-27,320.17498779296875
2020-02-28,312.44342041015625
2020-03-02,319.86199951171875
2020-03-03,312.45269775390625
2020-03-04,314.68011474609375
2020-03-05,306.52520751953125
2020-03-06,309.6361999511719
2020-03-09,309.87548828125
2020-03-10,316.5761413574219
2020-03-11,306.1846923828125
2020-03-12,292.55816650390625
2020-03-13,292.1153869628906
2020-03-16,264.15203857421875
2020-03-17,275.6105041503906
2020-03-18,267.54718017578125
2020-03-19,298.121337890625
2020-03-20,276.726806640625
2020-03-23,298.79486083984375
2020-03-24,316.9603576660156
2020-03-25,296.5621643066406
2020-03-26,312.30133056640625
2020-03-27,312.5135192871094
2020-03-30,319.9034118652344
2020-03-31,298.9793395996094
2020-04-01,307.9283447265625
2020-04-02,307.6330871582031
2020-04-03,302.8172607421875
2020-04-06,312.3105773925781
2020-04-07,308.1036071777344
2020-04-08,317.20941162109375
2020-04-09,317.0341491699219
2020-04-13,327.64373779296875
2020-04-14,330.5222473144531
2020-04-15,327.1640319824219
2020-04-16,332.56109619140625
2020-04-17,334.8675842285156
2020-04-20,341.7960510253906
2020-04-21,336.943359375
2020-04-22,354.0386657714844
2020-04-23,341.0211486816406
2020-04-24,338.8531188964844
2020-04-27,334.0003662109375
2020-04-28,328.4464111328125
2020-04-29,333.98193359375
2020-04-30,333.9080505371094
2020-05-01,329.63653564453125
2020-05-04,331.29718017578125
2020-05-05,342.7002258300781
2020-05-06,343.4751281738281
2020-05-07,338.7423400878906
2020-05-08,340.5321044921875
2020-05-11,348.2633972167969
2020-05-12,348.6784973144531
2020-05-13,355.15496826171875
2020-05-14,346.89788818359375
2020-05-15,346.9256896972656
2020-05-18,336.2790222167969
2020-05-19,341.36248779296875
2020-05-20,348.0327453613281
2020-05-21,346.1875
2020-05-22,343.290771484375
2020-05-26,332.275146484375
2020-05-27,345.01593017578125
2020-05-28,337.2478332519531
2020-05-29,355.9668884277344
2020-06-01,353.8818664550781
2020-06-02,355.062744140625
2020-06-03,359.9339599609375
2020-06-04,353.1437683105469
2020-06-05,347.2669982910156
2020-06-08,346.72271728515625
2020-06-09,352.6272277832031
2020-06-10,361.9450988769531
2020-06-11,353.15301513671875
2020-06-12,349.5845947265625
2020-06-15,349.3720397949219
2020-06-16,346.5431823730469
2020-06-17,351.9142761230469
2020-06-18,347.1809997558594
2020-06-19,349.8248596191406
2020-06-22,355.5751037597656
2020-06-23,349.0299072265625
2020-06-24,347.1163024902344
2020-06-25,345.47076416015625
2020-06-26,338.1767578125
2020-06-29,341.28289794921875
2020-06-30,341.5325927734375
2020-07-01,347.3288879394531
2020-07-02,345.8312683105469
2020-07-06,355.91705322265625
2020-07-07,352.34869384765625
2020-07-08,355.1221008300781
2020-07-09,356.3793640136719
2020-07-10,368.2217102050781
2020-07-13,371.05987548828125
2020-07-14,371.9102478027344
2020-07-15,382.4306945800781
2020-07-16,376.7360534667969
2020-07-17,360.7427978515625
2020-07-20,361.8614196777344
2020-07-21,358.5149230957031
2020-07-22,359.72589111328125
2020-07-23,352.5151062011719
2020-07-24,357.68292236328125
2020-07-27,360.178955078125
2020-07-28,356.3054504394531
2020-07-29,356.0558776855469
2020-07-30,355.482666015625
2020-07-31,357.4055480957031
2020-08-03,357.7938537597656
2020-08-04,362.2589416503906
2020-08-05,363.7196960449219
2020-08-06,362.8968505859375
2020-08-07,359.72589111328125
2020-08-10,356.77691650390625
2020-08-11,359.2913818359375
2020-08-12,363.0078125
2020-08-13,368.8966979980469
2020-08-14,368.8503112792969
2020-08-17,378.46478271484375
2020-08-18,380.369140625
2020-08-19,382.93914794921875
2020-08-20,386.7293395996094
2020-08-21,387.9959716796875
2020-08-24,387.3395080566406
2020-08-25,387.68157958984375
2020-08-26,386.507568359375
2020-08-27,384.87127685546875
2020-08-28,384.5568542480469
2020-08-31,378.0672302246094
2020-09-01,379.1673583984375
2020-09-02,373.1120910644531
2020-09-03,367.4728088378906
2020-09-04,352.9681396484375
2020-09-08,347.892822265625
2020-09-09,353.20849609375
2020-09-10,359.5873107910156
2020-09-11,364.86590576171875
2020-09-14,359.8824768066406
2020-09-15,360.8087158203125
2020-09-16,357.52978515625
2020-09-17,365.9497375488281
2020-09-18,368.2839050292969
2020-09-21,375.1200256347656
2020-09-22,383.2528076171875
2020-09-23,383.0583190917969
2020-09-24,382.8360290527344
2020-09-25,387.263671875
2020-09-28,390.4686279296875
2020-09-29,392.2471008300781
2020-09-30,393.9329528808594
2020-10-01,395.516845703125
2020-10-02,401.806396484375
2020-10-05,393.6180419921875
2020-10-06,396.01708984375
2020-10-07,399.2775573730469
2020-10-08,371.45184326171875
2020-10-09,362.1334533691406
2020-10-12,363.6431884765625
2020-10-13,377.6673278808594
2020-10-14,373.48974609375
2020-10-15,372.22076416015625
2020-10-16,370.0068664550781
2020-10-19,365.78302001953125
2020-10-20,365.3384094238281
2020-10-21,361.2071228027344
2020-10-22,362.8651428222656
2020-10-23,365.0512390136719
2020-10-26,365.52362060546875
2020-10-27,367.7652587890625
2020-10-28,355.6956481933594
2020-10-29,358.2152404785156
2020-10-30,350.4343566894531
2020-11-02,348.3132019042969
2020-11-03,354.9916076660156
2020-11-04,363.5876770019531
2020-11-05,367.0149230957031
2020-11-06,370.3773193359375
2020-11-09,348.7947692871094
2020-11-10,353.537353515625
2020-11-11,365.57916259765625
2020-11-12,361.76287841796875
2020-11-13,360.88287353515625
2020-11-16,356.45513916015625
2020-11-17,356.1310729980469
2020-11-18,354.2691345214844
2020-11-19,356.6590576171875
2020-11-20,360.8458557128906
2020-11-23,358.6690368652344
2020-11-24,354.88983154296875
2020-11-25,355.1769104003906
2020-11-27,361.688720703125
2020-11-30,363.634033203125
2020-12-01,362.8744201660156
2020-12-02,359.2433776855469
2020-12-03,355.12139892578125
2020-12-04,354.7601318359375
2020-12-07,356.205078125
2020-12-08,358.1874084472656
2020-12-09,356.5941467285156
2020-12-10,357.59454345703125
2020-12-11,355.1120300292969
2020-12-14,355.7061462402344
2020-12-15,357.05194091796875
2020-12-16,355.047119140625
2020-12-17,366.7793273925781
2020-12-18,368.2179870605469
2020-12-21,368.6542053222656
2020-12-22,370.0836486816406
2020-12-23,374.75244140625
2020-12-24,368.23651123046875
2020-12-28,371.4387512207031
2020-12-29,356.75494384765625
2020-12-30,356.9963073730469
2020-12-31,355.9196472167969
2021-01-04,352.2439880371094
2021-01-05,353.9518737792969
2021-01-06,357.2283630371094
2021-01-07,355.66900634765625
2021-01-08,360.9040222167969
2021-01-11,362.4911804199219
2021-01-12,357.8130798339844
2021-01-13,354.4345397949219
2021-01-14,346.9533996582031
2021-01-15,348.2807312011719
2021-01-19,345.885986328125
2021-01-20,351.7799377441406
2021-01-21,353.7477111816406
2021-01-22,353.051513671875
2021-01-25,351.3065185546875
2021-01-26,351.6314392089844
2021-01-27,349.8400573730469
2021-01-28,344.9114685058594
2021-01-29,344.13177490234375
2021-02-01,344.74432373046875
2021-02-02,350.1277160644531
2021-02-03,346.5171813964844
2021-02-04,346.2108154296875
2021-02-05,350.1370544433594
2021-02-08,352.7638854980469
2021-02-09,355.4555358886719
2021-02-10,354.6201171875
2021-02-11,357.5346374511719
2021-02-12,357.5068664550781
2021-02-16,350.777587890625
2021-02-17,349.4502258300781
2021-02-18,350.0535583496094
2021-02-19,344.78143310546875
2021-02-22,338.9339294433594
2021-02-23,340.4004211425781
2021-02-24,338.40484619140625
2021-02-25,314.6527099609375
2021-02-26,321.62347412109375
2021-03-01,320.2775573730469
2021-03-02,318.374755859375
2021-03-03,308.8331604003906
2021-03-04,306.7911071777344
2021-03-05,306.5219421386719
2021-03-08,309.55712890625
2021-03-09,328.64971923828125
2021-03-10,332.2232360839844
2021-03-11,332.631591796875
2021-03-12,336.0562744140625
2021-03-15,337.7872619628906
2021-03-16,340.6163635253906
2021-03-17,338.0478210449219
2021-03-18,338.5782470703125
2021-03-19,338.466552734375
2021-03-22,343.6966247558594
2021-03-23,348.4428405761719
2021-03-24,340.81170654296875
2021-03-25,342.0959777832031
2021-03-26,346.04180908203125
2021-03-29,346.26519775390625
2021-03-30,342.5892639160156
2021-03-31,342.2728576660156
2021-04-01,347.4749755859375
2021-04-05,345.8557434082031
2021-04-06,354.2684326171875
2021-04-07,355.776123046875
2021-04-08,357.2838134765625
2021-04-09,363.26751708984375
2021-04-12,363.5189208984375
2021-04-13,367.52978515625
2021-04-14,363.53753662109375
2021-04-15,365.72442626953125
2021-04-16,367.4367980957031
2021-04-19,370.349609375
2021-04-20,370.43328857421875
2021-04-21,367.4088439941406
2021-04-22,371.0941467285156
2021-04-23,370.11700439453125
2021-04-26,372.4435729980469
2021-04-27,373.20660400390625
2021-04-28,375.924072265625
2021-04-29,387.119384765625
2021-04-30,393.0382080078125
2021-05-03,403.50762939453125
2021-05-04,403.87994384765625
2021-05-05,401.92559814453125
2021-05-06,400.19464111328125
2021-05-07,402.46533203125
2021-05-10,401.1625061035156
2021-05-11,393.0382080078125
2021-05-12,395.923095703125
2021-05-13,393.0940246582031
2021-05-14,397.6447448730469
2021-05-17,402.8282470703125
2021-05-18,402.8282470703125
2021-05-19,401.9814147949219
2021-05-20,399.1802062988281
2021-05-21,397.97979736328125
2021-05-24,391.6980285644531
2021-05-25,391.828369140625
2021-05-26,391.50262451171875
2021-05-27,394.5550842285156
2021-05-28,397.2538757324219
2021-06-01,393.65240478515625
2021-06-02,396.63037109375
2021-06-03,395.6252746582031
2021-06-04,401.2276916503906
2021-06-07,407.53729248046875
2021-06-08,412.5998229980469
2021-06-09,411.9949035644531
2021-06-10,417.3179626464844
2021-06-11,421.53375244140625
2021-06-14,417.93408203125
2021-06-15,415.6960144042969
2021-06-16,417.4026184082031
