Date,CAKE
2020-01-02,34.364376068115234
2020-01-03,34.17039489746094
2020-01-06,35.01692581176758
2020-01-07,34.72592544555664
2020-01-08,34.955196380615234
2020-01-09,35.04338073730469
2020-01-10,34.778839111328125
2020-01-13,34.743560791015625
2020-01-14,34.88465118408203
2020-01-15,34.63774871826172
2020-01-16,35.731197357177734
2020-01-17,34.24974060058594
2020-01-21,34.77001953125
2020-01-22,34.47901916503906
2020-01-23,34.92874526977539
2020-01-24,34.814109802246094
2020-01-27,33.932289123535156
2020-01-28,34.011653900146484
2020-01-29,34.337921142578125
2020-01-30,34.382022857666016
2020-01-31,33.86174011230469
2020-02-03,33.44729232788086
2020-02-04,34.337921142578125
2020-02-05,35.27265167236328
2020-02-06,35.634193420410156
2020-02-07,34.84055709838867
2020-02-10,35.55483627319336
2020-02-11,35.3255615234375
2020-02-12,35.38728713989258
2020-02-13,35.22856140136719
2020-02-14,35.5460205078125
2020-02-18,35.41373825073242
2020-02-19,36.04866027832031
2020-02-20,37.256736755371094
2020-02-21,37.15092086791992
2020-02-24,36.78937530517578
2020-02-25,34.23210906982422
2020-02-26,32.34502410888672
2020-02-27,30.95174789428711
2020-02-28,31.419116973876953
2020-03-02,31.780658721923828
2020-03-03,30.5549373626709
2020-03-04,31.577842712402344
2020-03-05,27.794851303100586
2020-03-06,28.04460906982422
2020-03-09,25.87704086303711
2020-03-10,25.64512062072754
2020-03-11,22.487422943115234
2020-03-12,19.16025161743164
2020-03-13,20.971017837524414
2020-03-16,15.083789825439453
2020-03-17,16.68939971923828
2020-03-18,18.59828758239746
2020-03-19,18.29500389099121
2020-03-20,14.129345893859863
2020-03-23,14.013384819030762
2020-03-24,17.144319534301758
2020-03-25,16.832122802734375
2020-03-26,17.536800384521484
2020-03-27,14.432626724243164
2020-03-30,14.71806812286377
2020-03-31,15.235429763793945
2020-04-01,14.02230453491211
2020-04-02,13.469264030456543
2020-04-03,13.83498477935791
2020-04-06,14.976752281188965
2020-04-07,14.575348854064941
2020-04-08,16.484233856201172
2020-04-09,18.018482208251953
2020-04-13,16.84103775024414
2020-04-14,16.930240631103516
2020-04-15,15.538713455200195
2020-04-16,15.788472175598145
2020-04-17,16.698318481445312
2020-04-20,16.88564109802246
2020-04-21,16.769676208496094
2020-04-22,17.76872444152832
