Date,MDLZ
2020-01-02,46.04784393310547
2020-01-03,45.971553802490234
2020-01-06,45.8952751159668
2020-01-07,45.70033645629883
2020-01-08,45.810516357421875
2020-01-09,45.92918014526367
2020-01-10,45.98002624511719
2020-01-13,46.26820373535156
2020-01-14,45.92918014526367
2020-01-15,46.39532470703125
2020-01-16,46.7767333984375
2020-01-17,46.751304626464844
2020-01-21,47.07337951660156
2020-01-22,47.014060974121094
2020-01-23,46.98862075805664
2020-01-24,46.69198226928711
2020-01-27,46.35295486450195
2020-01-28,46.488563537597656
2020-01-29,46.24277877807617
2020-01-30,49.836421966552734
2020-01-31,48.632896423339844
2020-02-03,48.776973724365234
2020-02-04,48.675270080566406
2020-02-05,49.09055709838867
2020-02-06,49.51434326171875
2020-02-07,49.71775817871094
2020-02-10,49.980506896972656
2020-02-11,49.895748138427734
2020-02-12,49.963558197021484
2020-02-13,50.03136444091797
2020-02-14,50.582271575927734
2020-02-18,50.565330505371094
2020-02-19,50.26020431518555
2020-02-20,50.03983688354492
2020-02-21,49.794044494628906
2020-02-24,48.938011169433594
2020-02-25,48.3277702331543
2020-02-26,48.19217300415039
2020-02-27,46.15802764892578
2020-02-28,44.751068115234375
2020-03-02,47.12423324584961
2020-03-03,46.43770980834961
2020-03-04,49.16683578491211
2020-03-05,48.19217300415039
2020-03-06,47.17509078979492
2020-03-09,45.717288970947266
2020-03-10,46.5394172668457
2020-03-11,44.3611946105957
2020-03-12,40.267486572265625
2020-03-13,43.15766143798828
2020-03-16,38.224876403808594
2020-03-17,41.37778854370117
2020-03-18,39.45382308959961
2020-03-19,38.53847885131836
2020-03-20,36.71622848510742
2020-03-23,35.538124084472656
2020-03-24,39.54706573486328
2020-03-25,39.080909729003906
2020-03-26,41.44559097290039
2020-03-27,40.58955383300781
2020-03-30,43.59508514404297
2020-03-31,42.6998291015625
2020-04-01,41.50614547729492
2020-04-02,42.95561218261719
2020-04-03,43.30519104003906
2020-04-06,44.362457275390625
2020-04-07,44.166358947753906
2020-04-08,44.157833099365234
2020-04-09,44.62677764892578
2020-04-13,44.35393524169922
2020-04-14,46.47697830200195
2020-04-15,45.794883728027344
2020-04-16,45.556156158447266
2020-04-17,45.59878158569336
2020-04-20,45.607303619384766
2020-04-21,43.55246353149414
