Date,MDT
2020-01-02,94.72615814208984
2020-01-03,94.16389465332031
2020-01-06,94.9990234375
2020-01-07,94.66828918457031
2020-01-08,96.33029174804688
2020-01-09,97.89305877685547
2020-01-10,98.09980010986328
2020-01-13,97.57886505126953
2020-01-14,96.77679443359375
2020-01-15,97.01659393310547
2020-01-16,98.28170013427734
2020-01-17,98.4222640991211
2020-01-21,99.48892974853516
2020-01-22,100.12561798095703
2020-01-23,100.02640533447266
2020-01-24,98.61243438720703
2020-01-27,98.587646484375
2020-01-28,98.54629516601562
2020-01-29,97.87654876708984
2020-01-30,97.69461059570312
2020-01-31,95.45380401611328
2020-02-03,97.56230926513672
2020-02-04,99.21607208251953
2020-02-05,99.73698425292969
2020-02-06,100.29926300048828
2020-02-07,98.35612487792969
2020-02-10,98.71166229248047
2020-02-11,98.35612487792969
2020-02-12,96.32202911376953
2020-02-13,96.6031494140625
2020-02-14,97.01659393310547
2020-02-18,93.1551284790039
2020-02-19,94.07293701171875
2020-02-20,94.14736938476562
2020-02-21,93.66775512695312
2020-02-24,92.07191467285156
2020-02-25,89.74014282226562
2020-02-26,87.77220153808594
2020-02-27,83.49728393554688
2020-02-28,83.24095153808594
2020-03-02,84.85334777832031
2020-03-03,83.01769256591797
2020-03-04,85.65540313720703
2020-03-05,82.8357925415039
2020-03-06,81.90969848632812
2020-03-09,76.40274810791016
2020-03-10,79.67715454101562
2020-03-11,76.43580627441406
2020-03-12,69.78778076171875
2020-03-13,73.44253540039062
2020-03-16,64.02449798583984
2020-03-17,66.32319641113281
2020-03-18,61.63484573364258
2020-03-19,65.50460052490234
2020-03-20,64.04932403564453
2020-03-23,60.295318603515625
2020-03-24,66.43896484375
2020-03-25,71.7887954711914
2020-03-26,76.49818420410156
2020-03-27,74.79251098632812
2020-03-30,76.58972930908203
2020-03-31,75.03378295898438
2020-04-01,69.98326873779297
2020-04-02,71.6806411743164
2020-04-03,71.78047943115234
2020-04-06,78.2870864868164
2020-04-07,78.59492492675781
2020-04-08,82.60539245605469
2020-04-09,84.06147766113281
2020-04-13,82.80506896972656
2020-04-14,84.20292663574219
2020-04-15,80.97456359863281
2020-04-16,79.62665557861328
2020-04-17,85.97517395019531
2020-04-20,84.48580169677734
2020-04-21,81.21586608886719
2020-04-22,79.94283294677734
2020-04-23,79.73481750488281
2020-04-24,82.62202453613281
2020-04-27,83.8368148803711
2020-04-28,81.57364654541016
2020-04-29,82.4889144897461
2020-04-30,81.23251342773438
2020-05-01,79.16072082519531
2020-05-04,79.26055908203125
2020-05-05,81.45716857910156
2020-05-06,80.50862884521484
2020-05-07,82.32247924804688
2020-05-08,82.39738464355469
2020-05-11,82.15607452392578
2020-05-12,79.21063232421875
2020-05-13,77.61312103271484
2020-05-14,78.06243133544922
2020-05-15,78.12066650390625
2020-05-18,82.2892074584961
2020-05-19,80.73328399658203
2020-05-20,81.60694122314453
2020-05-21,79.38539123535156
2020-05-22,78.81126403808594
2020-05-26,80.83311462402344
2020-05-27,79.87628173828125
2020-05-28,81.65685272216797
2020-05-29,82.02296447753906
2020-06-01,80.7998275756836
2020-06-02,80.91635131835938
2020-06-03,80.7915267944336
2020-06-04,80.69998931884766
2020-06-05,84.90182495117188
2020-06-08,84.31108093261719
2020-06-09,82.4639663696289
2020-06-10,81.16596221923828
2020-06-11,75.6078872680664
2020-06-12,77.55487823486328
2020-06-15,77.89599609375
2020-06-16,79.50183868408203
2020-06-17,79.44361877441406
2020-06-18,78.56998443603516
2020-06-19,78.13729858398438
2020-06-22,77.65471649169922
2020-06-23,77.70465087890625
2020-06-24,73.99371337890625
2020-06-25,74.42085266113281
2020-06-26,74.345458984375
2020-06-29,75.59333801269531
2020-06-30,76.79936218261719
2020-07-01,77.31863403320312
2020-07-02,78.0221176147461
2020-07-06,78.06401824951172
2020-07-07,76.77423858642578
2020-07-08,76.72399139404297
2020-07-09,75.4844741821289
2020-07-10,76.05398559570312
2020-07-13,77.69549560546875
2020-07-14,79.27001190185547
2020-07-15,81.37216186523438
2020-07-16,80.19127655029297
2020-07-17,82.5614242553711
2020-07-20,80.17453002929688
2020-07-21,81.07903289794922
2020-07-22,81.64852905273438
2020-07-23,80.87804412841797
2020-07-24,80.69377136230469
2020-07-27,80.76077270507812
2020-07-28,80.69377136230469
2020-07-29,82.67865753173828
2020-07-30,80.79428100585938
2020-07-31,80.80265045166016
2020-08-03,81.51454162597656
2020-08-04,80.64351654052734
2020-08-05,81.25489807128906
2020-08-06,81.01203155517578
2020-08-07,83.79256439208984
2020-08-10,84.06893157958984
2020-08-11,84.35367584228516
2020-08-12,85.50106811523438
2020-08-13,84.8310546875
2020-08-14,84.34530639648438
2020-08-17,85.3084487915039
2020-08-18,85.05719757080078
2020-08-19,84.43742370605469
2020-08-20,83.98516845703125
2020-08-21,82.68704986572266
2020-08-24,83.85955810546875
2020-08-25,85.91981506347656
2020-08-26,87.16769409179688
2020-08-27,89.49598693847656
2020-08-28,90.33348846435547
2020-08-31,90.0068588256836
2020-09-01,90.0487289428711
2020-09-02,91.10397338867188
2020-09-03,88.9013442993164
2020-09-04,88.55796813964844
2020-09-08,87.58646392822266
2020-09-09,89.3284683227539
2020-09-10,87.75396728515625
2020-09-11,87.74557495117188
2020-09-14,89.58809661865234
2020-09-15,90.09062194824219
2020-09-16,90.02359771728516
2020-09-17,90.29161071777344
2020-09-18,90.11571502685547
2020-09-21,87.7707290649414
2020-09-22,87.39384460449219
2020-09-23,86.2464599609375
2020-09-24,85.2947006225586
2020-09-25,86.88654327392578
2020-09-28,87.28240966796875
2020-09-29,86.49068450927734
2020-09-30,87.52665710449219
2020-10-01,86.1622314453125
2020-10-02,85.87584686279297
2020-10-05,87.34980010986328
2020-10-06,87.07183837890625
2020-10-07,88.99217987060547
2020-10-08,90.79459381103516
2020-10-09,91.53578186035156
2020-10-12,91.8558349609375
2020-10-13,90.0702896118164
2020-10-14,90.59245300292969
2020-10-15,90.55876922607422
2020-10-16,92.75706481933594
2020-10-19,91.3673324584961
2020-10-20,91.93164825439453
2020-10-21,91.99903869628906
2020-10-22,94.1972885131836
2020-10-23,93.84354400634766
2020-10-26,90.90409088134766
2020-10-27,88.6131591796875
2020-10-28,86.4064712524414
2020-10-29,85.3789291381836
2020-10-30,84.70512390136719
2020-11-02,86.27172088623047
2020-11-03,86.86129760742188
2020-11-04,86.29698181152344
2020-11-05,87.60246276855469
2020-11-06,87.22345733642578
2020-11-09,95.35957336425781
2020-11-10,96.48822021484375
2020-11-11,92.84968566894531
2020-11-12,92.31065368652344
2020-11-13,94.75318145751953
2020-11-16,94.01199340820312
2020-11-17,92.76546478271484
2020-11-18,92.20116424560547
2020-11-19,93.48982238769531
2020-11-20,92.78230285644531
2020-11-23,93.46453857421875
2020-11-24,96.06710052490234
2020-11-25,95.4354019165039
2020-11-27,96.51348876953125
2020-11-30,95.76387786865234
2020-12-01,94.4499740600586
2020-12-02,95.67965698242188
2020-12-03,94.7279052734375
2020-12-04,95.89022064208984
2020-12-07,94.8458251953125
2020-12-08,93.64141082763672
2020-12-09,95.13219451904297
2020-12-10,94.90480041503906
2020-12-11,94.65209197998047
2020-12-14,94.30677032470703
2020-12-15,96.76615142822266
2020-12-16,96.83354949951172
2020-12-17,97.14515686035156
2020-12-18,98.29903411865234
2020-12-21,96.87700653076172
2020-12-22,97.02935791015625
2020-12-23,96.44532012939453
2020-12-24,96.52149963378906
2020-12-28,97.45259857177734
2020-12-29,97.82502746582031
2020-12-30,97.88426971435547
2020-12-31,99.15396881103516
2021-01-04,98.20591735839844
2021-01-05,98.99313354492188
2021-01-06,100.6098861694336
2021-01-07,100.47443389892578
2021-01-08,101.3293685913086
2021-01-11,100.30516815185547
2021-01-12,99.28094482421875
2021-01-13,100.49137115478516
2021-01-14,99.68724060058594
2021-01-15,98.8746566772461
2021-01-19,100.14430236816406
2021-01-20,100.9738540649414
2021-01-21,99.80574798583984
2021-01-22,98.67996215820312
2021-01-25,98.9508285522461
2021-01-26,98.82386016845703
2021-01-27,94.37996673583984
2021-01-28,97.14786529541016
2021-01-29,94.2360610961914
2021-02-01,94.10909271240234
2021-02-02,96.45377349853516
2021-02-03,95.33645629882812
2021-02-04,99.03547668457031
2021-02-05,100.22051239013672
2021-02-08,99.94116973876953
2021-02-09,99.78036499023438
2021-02-10,99.40792846679688
2021-02-11,100.49137115478516
2021-02-12,101.354736328125
2021-02-16,101.30398559570312
2021-02-17,100.01734924316406
2021-02-18,97.67268371582031
2021-02-19,95.92899322509766
2021-02-22,97.97740173339844
2021-02-23,99.8819351196289
2021-02-24,100.5083236694336
2021-02-25,99.78036499023438
2021-02-26,99.01007843017578
2021-03-01,99.763427734375
2021-03-02,99.77188873291016
2021-03-03,99.83960723876953
2021-03-04,97.57107543945312
2021-03-05,100.10202026367188
2021-03-08,98.7561264038086
2021-03-09,99.07779693603516
2021-03-10,100.44059753417969
