Date,DRI
2020-01-02,93.42451477050781
2020-01-03,93.52436828613281
2020-01-06,94.14021301269531
2020-01-07,93.33299255371094
2020-01-08,94.74774169921875
2020-01-09,95.93868255615234
2020-01-10,96.07289123535156
2020-01-13,94.98257446289062
2020-01-14,94.11032104492188
2020-01-15,93.33872985839844
2020-01-16,94.78129577636719
2020-01-17,95.20902252197266
2020-01-21,96.07289123535156
2020-01-22,96.43354034423828
2020-01-23,98.64768981933594
2020-01-24,98.20317840576172
2020-01-27,97.60770416259766
2020-01-28,98.50511169433594
2020-01-29,99.98121643066406
2020-01-30,99.14251708984375
2020-01-31,97.64964294433594
2020-02-03,96.38318634033203
2020-02-04,96.91996765136719
2020-02-05,98.53026580810547
2020-02-06,101.90182495117188
2020-02-07,101.23925018310547
2020-02-10,102.1450424194336
2020-02-11,102.51409149169922
2020-02-12,102.6986083984375
2020-02-13,102.54763793945312
2020-02-14,102.07796478271484
2020-02-18,101.05476379394531
2020-02-19,101.214111328125
2020-02-20,101.214111328125
2020-02-21,101.56632995605469
2020-02-24,98.87413787841797
2020-02-25,93.72453308105469
2020-02-26,89.79940795898438
2020-02-27,83.33305358886719
2020-02-28,81.7730941772461
2020-03-02,82.86339569091797
2020-03-03,79.93632507324219
2020-03-04,79.7266616821289
2020-03-05,73.76350402832031
2020-03-06,73.93125915527344
2020-03-09,64.94041442871094
2020-03-10,69.27648162841797
2020-03-11,58.885009765625
2020-03-12,49.625770568847656
2020-03-13,54.783756256103516
2020-03-16,41.2723388671875
2020-03-17,35.16661834716797
2020-03-18,28.649930953979492
2020-03-19,35.57758331298828
2020-03-20,32.70922088623047
2020-03-23,34.41178894042969
2020-03-24,45.19744873046875
2020-03-25,49.02192306518555
2020-03-26,50.79156494140625
2020-03-27,45.843238830566406
2020-03-30,47.679996490478516
2020-03-31,45.67550277709961
2020-04-01,38.59688949584961
2020-04-02,37.162715911865234
2020-04-03,38.14399337768555
2020-04-06,43.947792053222656
2020-04-07,49.44965362548828
2020-04-08,53.3160514831543
2020-04-09,53.96184539794922
2020-04-13,51.06832504272461
2020-04-14,51.28640365600586
2020-04-15,49.30707550048828
2020-04-16,48.62772750854492
2020-04-17,53.13153076171875
2020-04-20,51.823158264160156
2020-04-21,53.10636901855469
2020-04-22,57.2830924987793
2020-04-23,56.0837516784668
2020-04-24,57.71921157836914
2020-04-27,60.72175216674805
2020-04-28,62.73464584350586
2020-04-29,65.5945816040039
2020-04-30,61.88753890991211
2020-05-01,58.58306884765625
2020-05-04,59.22886657714844
2020-05-05,57.86178970336914
2020-05-06,57.20759963989258
2020-05-07,59.153385162353516
2020-05-08,62.667518615722656
2020-05-11,62.00495910644531
2020-05-12,58.97726058959961
2020-05-13,55.25343704223633
2020-05-14,55.90762710571289
2020-05-15,58.38179016113281
2020-05-18,63.279781341552734
2020-05-19,63.59010314941406
2020-05-20,65.68682861328125
2020-05-21,64.76427459716797
2020-05-22,63.430728912353516
2020-05-26,65.81265258789062
2020-05-27,68.40422058105469
2020-05-28,66.67652130126953
2020-05-29,64.46234893798828
2020-06-01,65.67845916748047
2020-06-02,65.51910400390625
2020-06-03,72.06934356689453
2020-06-04,72.1615982055664
2020-06-05,71.78418731689453
2020-06-08,71.07127380371094
2020-06-09,67.84230041503906
2020-06-10,65.22557067871094
2020-06-11,61.1662712097168
2020-06-12,63.69073486328125
2020-06-15,64.16041564941406
2020-06-16,64.3365478515625
2020-06-17,62.2230110168457
2020-06-18,62.17269515991211
2020-06-19,58.93532180786133
2020-06-22,59.84111785888672
2020-06-23,63.1959114074707
2020-06-24,59.38821792602539
2020-06-25,62.5584831237793
2020-06-26,61.18302917480469
2020-06-29,64.2694320678711
2020-06-30,63.548160552978516
2020-07-01,63.83332061767578
2020-07-02,62.71785354614258
2020-07-06,62.89398956298828
2020-07-07,60.54561996459961
2020-07-08,61.32563400268555
2020-07-09,59.83275604248047
2020-07-10,60.461753845214844
2020-07-13,61.141109466552734
2020-07-14,61.1662712097168
2020-07-15,66.3578109741211
2020-07-16,64.31975555419922
2020-07-17,65.00747680664062
2020-07-20,62.30689239501953
2020-07-21,63.32173156738281
2020-07-22,64.90686798095703
2020-07-23,63.8836555480957
2020-07-24,65.95523071289062
2020-07-27,64.0513916015625
2020-07-28,63.60688018798828
2020-07-29,66.1229476928711
2020-07-30,65.8797378540039
2020-07-31,63.65719223022461
2020-08-03,62.47465133666992
2020-08-04,64.14362335205078
2020-08-05,63.531402587890625
2020-08-06,64.15202331542969
2020-08-07,66.30748748779297
2020-08-10,68.37905883789062
2020-08-11,70.56807708740234
2020-08-12,70.95387268066406
2020-08-13,70.91194152832031
2020-08-14,70.50936126708984
2020-08-17,70.3667984008789
2020-08-18,69.46937561035156
2020-08-19,66.98683166503906
2020-08-20,67.85906982421875
2020-08-21,69.36872863769531
2020-08-24,69.51129913330078
2020-08-25,69.28485107421875
2020-08-26,69.38550567626953
2020-08-27,71.92676544189453
2020-08-28,75.36541748046875
2020-08-31,72.68997955322266
2020-09-01,73.08418273925781
2020-09-02,75.74283599853516
2020-09-03,74.72798919677734
2020-09-04,74.87896728515625
2020-09-08,74.74478149414062
2020-09-09,74.29190063476562
2020-09-10,75.44091033935547
2020-09-11,72.79900360107422
2020-09-14,76.8331527709961
2020-09-15,78.31765747070312
2020-09-16,77.97378540039062
2020-09-17,76.84154510498047
2020-09-18,75.45770263671875
2020-09-21,73.62093353271484
2020-09-22,75.46607971191406
2020-09-23,75.48283386230469
2020-09-24,81.61372375488281
2020-09-25,81.4963150024414
2020-09-28,84.35625457763672
2020-09-29,84.5407943725586
2020-09-30,84.4904556274414
2020-10-01,87.962646484375
