Date,Close,High,Low,Open,Volume
2006-01-03,87.22506713867188,87.43160057956905,85.63477750179985,86.18552984261657,73256700
2006-01-04,87.63810729980469,87.76890687028639,87.22504054395347,87.335193079477,51899600
2006-01-05,87.69318389892578,87.83775517173426,87.34896508204017,87.5348461844813,47307500
2006-01-06,88.42293548583984,88.51931633887344,87.67942154612699,88.13379292673903,62885900
2006-01-09,88.65013122558594,88.84977354924244,88.38164092564715,88.40917381332427,43527400
2006-01-10,88.7396469116211,88.79472320779048,88.29904704699531,88.38854734136176,44960800
2006-01-11,89.02188873291016,89.11138900691044,88.62259355509038,88.82224639636377,49598900
2006-01-12,88.67076873779297,89.00121585847076,88.42293077110348,88.86353043358206,40509200
2006-01-13,88.58815002441406,88.73960714482523,88.25770290021003,88.51243196893317,44856700
2006-01-17,88.34722900390625,88.40918588818654,87.98923838685167,88.25772872346067,52066600
2006-01-18,87.9961166381836,88.73962544717084,87.54175043560046,87.83089304200459,75067600
2006-01-19,88.33342742919922,88.65011334962234,87.98920862665088,88.20951370254943,81530400
2006-01-20,86.7225112915039,88.33345323695374,86.7225112915039,88.31280094314494,114957800
2006-01-23,87.03231048583984,87.30768667235567,86.83266288192496,86.88773916970091,67017400
2006-01-24,87.1218032836914,87.53486490180543,87.03230301065169,87.17687431437342,53008800
2006-01-25,87.19754028320312,87.55552565285362,86.6330162059985,87.45914477439526,87747700
2006-01-26,87.679443359375,87.89285740813449,87.26638170755889,87.6037147770996,71294000
2006-01-27,88.4917984008789,88.57441808775948,87.74140365038595,87.88598022388085,65771200
2006-01-30,88.42293548583984,88.67765406070184,88.36097861704505,88.42293548583984,33709600
2006-01-31,87.77577209472656,88.4917423979708,87.76888624978362,88.3402958281119,72937000
2006-02-01,88.38851928710938,88.41605217409052,87.92726727091124,87.99610999309017,63561000
2006-02-02,87.36275482177734,88.21641619332534,87.29391209465247,88.18888330436612,83626900
2006-02-03,86.92902374267578,88.38851351848616,86.83952873492032,87.1424429955737,86040400
2006-02-06,87.1562271118164,87.29391782747209,86.8601986386114,87.04607979165561,45511900
2006-02-07,86.38516235351562,87.19751902559707,86.33008607857658,87.00475206331045,71208100
2006-02-08,87.16997528076172,88.18886529214129,86.46776595136656,86.6398753602078,59422200
2006-02-09,87.02542877197266,87.84466621957654,86.9978906284382,87.3765282842184,62023300
2006-02-10,87.18375396728516,87.52108698533056,86.36451138538324,87.03918267383712,64508700
2006-02-13,87.02542877197266,87.28703325700427,86.7087427475083,87.15622838830656,52308700
2006-02-14,87.94792938232422,88.1406911268936,86.88773453482901,87.05984398567504,90964400
2006-02-15,88.25772094726562,88.34034062375432,87.59682131135358,87.89973561411621,85471300
2006-02-16,88.91860961914062,88.95303360267232,88.24393315703904,88.3540857024505,61017900
2006-02-17,88.67764282226562,88.9186001766748,88.51930512050394,88.84287162283681,40342600
2006-02-21,88.4573745727539,89.08384497206951,88.31967861228928,88.88420263695888,46456300
2006-02-22,88.99434661865234,89.2559458079009,88.56750809089519,88.65012776014949,42326700
2006-02-23,88.86356353759766,89.24908707279351,88.31281112814852,88.99436841662379,43423200
2006-02-24,89.09073638916016,89.13892157171227,88.64324552551557,88.88420295245703,36777400
2006-02-27,89.12513732910156,89.52442189747376,89.00121309723923,89.08382224866462,35858600
2006-02-28,88.27838134765625,89.43496238217652,88.20954386644162,88.94616689333206,74394800
2006-03-01,89.06317138671875,89.14579104419113,88.46423401984717,88.53308198362008,48641600
2006-03-02,89.05630493164062,89.09760951457251,88.53997663553992,88.73961895461939,60642300
2006-03-03,88.64322662353516,89.5450887546712,88.56749806304968,88.58126975715378,73402500
2006-03-06,88.23703002929688,88.9323480982855,88.01673024709393,88.9048152213261,57478400
2006-03-07,88.09940338134766,88.16136027436195,87.7069939684966,88.02367478830934,61780800
2006-03-08,88.2852554321289,88.42294087274712,87.55550789023633,87.9134931872614,66692400
