Date,Close,High,Low,Open,Volume
2006-01-03,47.8597297668457,48.10481727732857,47.70329372373653,47.76065082130538,1392700
2006-01-04,47.97447967529297,48.01098183764754,47.67203091381943,47.73460775432898,387600
2006-01-05,47.91712188720703,48.047487330142836,47.8180428774758,47.91190615552708,453400
2006-01-06,47.82848358154297,47.92234687772912,47.708545600356864,47.854554288104566,1193700
2006-01-09,47.8597297668457,47.859729766845696,47.73458013667136,47.81801189730925,413600
2006-01-10,47.47389602661133,47.80763135367329,47.46868029319004,47.78155666500576,698900
2006-01-11,47.39567565917969,47.604261231971456,47.3226713054684,47.58340227684839,394600
2006-01-12,47.71377944946289,47.72420694035906,47.45304841421992,47.52083705114474,626600
2006-01-13,47.9901123046875,48.130909170166326,47.75545616680469,47.76066791853617,491000
2006-01-17,48.203922271728516,48.23520870157019,47.93797568276286,47.97447784372386,454300
2006-01-18,48.18831253051758,48.376035218405136,48.03708805050711,48.37082346210265,622100
2006-01-19,48.047489166259766,48.203929295136064,47.95362588462154,48.010986999980325,490600
2006-01-20,48.17259216308594,48.22474147442725,48.00051296233483,48.14130575902826,842600
2006-01-23,48.156986236572266,48.235206285695924,47.83368253523537,47.87018469436815,720400
2006-01-24,47.922359466552734,48.07358392671357,47.84935510350122,47.97450487181248,300500
2006-01-25,47.40091323852539,47.75029194636959,47.343552080110285,47.71900548848525,1204500
2006-01-26,47.19748306274414,47.244412689669886,46.95761124210715,47.21834200085636,764100
2006-01-27,47.19748306274414,47.34870738023096,47.01497232730683,47.34870738023096,1091400
2006-01-30,47.15057373046875,47.19229162816953,47.05671044986085,47.08800086235528,308500
2006-01-31,47.28096389770508,47.31225432655964,47.0358760936165,47.11409619809325,676100
2006-02-01,47.11920928955078,47.33900028713561,47.01977831763703,47.17677416880924,622300
2006-02-02,47.20820999145508,47.312875307896164,47.025050678400156,47.11924746691034,658500
2006-02-03,47.54313659667969,47.62163459507649,47.004123129635175,47.09831992919653,1524600
2006-02-06,47.6373176574707,47.73151442591063,47.564053947858845,47.611154328365174,755100
2006-02-07,47.41231918334961,47.68444511003675,47.35998850285593,47.68444511003675,280500
