Date,MTUM,VLUE,QUAL,USMV,RPV,IVE,IWF,SPY,^VIX
2013-01-02,,,,22.98952865600586,26.52913475036621,50.63383865356445,14.722320556640625,116.29170989990234,14.680000305175781
2013-01-03,,,,23.020557403564453,26.54429054260254,50.58169937133789,14.68288516998291,116.02896881103516,14.5600004196167
2013-01-04,,,,23.152462005615234,26.78656005859375,50.9391975402832,14.709176063537598,116.53849792480469,13.829999923706055
2013-01-07,,,,23.059349060058594,26.657846450805664,50.76046371459961,14.691651344299316,116.22003936767578,13.789999961853027
2013-01-08,,,,23.036075592041016,26.453426361083984,50.544471740722656,14.65221881866455,115.88565826416016,13.619999885559082
2013-01-09,,,,23.121429443359375,26.536720275878906,50.685977935791016,14.717947006225586,116.18023681640625,13.8100004196167
2013-01-10,,,,23.25333023071289,26.801700592041016,51.110530853271484,14.788050651550293,117.10383605957031,13.489999771118164
2013-01-11,,,,23.261085510253906,26.718421936035156,51.088191986083984,14.809956550598145,117.09586334228516,13.359999656677246
2013-01-14,,,,23.2766056060791,26.733556747436523,51.14776611328125,14.766143798828125,117.01624298095703,13.520000457763672
2013-01-15,,,,23.30763816833496,27.028831481933594,51.274375915527344,14.752998352050781,117.09586334228516,13.550000190734863
2013-01-16,,,,23.261085510253906,27.04397964477539,51.25950241088867,14.759566307067871,117.07996368408203,13.420000076293945
2013-01-17,,,,23.369712829589844,27.346817016601562,51.53507995605469,14.85158634185791,117.83634948730469,13.569999694824219
2013-01-18,,,,23.44729995727539,27.430110931396484,51.7957878112793,14.877872467041016,118.09910583496094,12.460000038146973
2013-01-22,,,,23.548168182373047,27.770801544189453,52.1607666015625,14.934833526611328,118.73599243164062,12.430000305175781
2013-01-23,,,,23.55591583251953,27.755659103393555,52.16819381713867,14.983034133911133,118.9271011352539,12.460000038146973
2013-01-24,,,,23.617996215820312,27.869226455688477,52.40654373168945,14.937026023864746,118.9589614868164,12.6899995803833
2013-01-25,,,,23.64903450012207,28.013076782226562,52.674686431884766,15.018088340759277,119.6277084350586,12.890000343322754
2013-01-28,,,,23.633506774902344,27.997943878173828,52.65236282348633,15.004938125610352,119.4844970703125,13.569999694824219
2013-01-29,,,,23.773170471191406,28.232635498046875,52.92792892456055,15.026849746704102,119.95415496826172,13.3100004196167
2013-01-30,,,,23.66455078125,28.073650360107422,52.7193717956543,14.97426986694336,119.4844970703125,14.319999694824219
2013-01-31,,,,23.656784057617188,28.08122444152832,52.630001068115234,14.954549789428711,119.1898193359375,14.279999732971191
2013-02-01,,,,23.8585147857666,28.315921783447266,53.1588249206543,15.105719566345215,120.41594696044922,12.899999618530273
2013-02-04,,,,23.641267776489258,28.035795211791992,52.6448974609375,14.926070213317871,119.06246948242188,14.670000076293945
2013-02-05,,,,23.8042049407959,28.29320526123047,53.09180450439453,15.066282272338867,120.26471710205078,13.720000267028809
2013-02-06,,,,23.8585147857666,28.38405418395996,53.1513557434082,15.070669174194336,120.35234069824219,13.40999984741211
2013-02-07,,,,23.874042510986328,28.315921783447266,53.032196044921875,15.068472862243652,120.19303894042969,13.5
2013-02-08,,,,23.99041748046875,28.474918365478516,53.248199462890625,15.182395935058594,120.86183166503906,13.020000457763672
2013-02-11,,,,23.982664108276367,28.49005126953125,53.25566482543945,15.156110763549805,120.83795166015625,12.9399995803833
2013-02-12,,,,23.967134475708008,28.656625747680664,53.49399185180664,15.132010459899902,121.03697204589844,12.640000343322754
2013-02-13,,,,23.959379196166992,28.596052169799805,53.53125762939453,15.147345542907715,121.14051818847656,12.979999542236328
2013-02-14,,,,23.897308349609375,28.732337951660156,53.57593536376953,15.156110763549805,121.25200653076172,12.65999984741211
2013-02-15,,,,23.959379196166992,28.527910232543945,53.41952133178711,15.162677764892578,121.10868072509766,12.460000038146973
2013-02-19,,,,24.106800079345703,28.770183563232422,53.82918167114258,15.237166404724121,122.0163345336914,12.3100004196167
2013-02-20,,,,24.005937576293945,28.19478988647461,53.17371368408203,15.053142547607422,120.49561309814453,14.680000305175781
2013-02-21,,,,23.943864822387695,27.997943878173828,52.89812088012695,14.958932876586914,119.76310729980469,15.220000267028809
2013-02-22,,,,24.16111183166504,28.255352020263672,53.412071228027344,15.096957206726074,120.93347930908203,14.170000076293945
2013-02-25,,,,23.897308349609375,27.52095603942871,52.33207702636719,14.864727973937988,118.63252258300781,18.989999771118164
2013-02-26,,,,24.060245513916016,27.657238006591797,52.6374397277832,14.961127281188965,119.44461059570312,16.8700008392334
2013-02-27,,,,24.324050903320312,28.08122444152832,53.37482833862305,15.140772819519043,120.94940948486328,14.729999542236328
2013-02-28,,,,24.308534622192383,27.990373611450195,53.24075698852539,15.116673469543457,120.71055603027344,15.510000228881836
2013-03-01,,,,24.37060546875,27.997943878173828,53.412071228027344,15.164871215820312,121.10868072509766,15.359999656677246
2013-03-04,,,,24.533536911010742,28.15692138671875,53.650413513183594,15.239358901977539,121.75357055664062,14.010000228881836
2013-03-05,,,,24.696468353271484,28.42191505432129,54.104774475097656,15.39709758758545,122.84435272216797,13.479999542236328
2013-03-06,,,,24.66543960571289,28.58847999572754,54.25371551513672,15.390524864196777,123.01153564453125,13.529999732971191
2013-03-07,,,,24.649919509887695,28.755048751831055,54.365447998046875,15.412432670593262,123.23451232910156,13.0600004196167
2013-03-08,,,,24.704227447509766,29.012453079223633,54.66339874267578,15.482538223266602,123.76004028320312,12.59000015258789
2013-03-11,,,,24.73526954650879,29.186594009399414,54.87196350097656,15.521977424621582,124.22977447509766,11.5600004196167
2013-03-12,,,,24.73526954650879,29.262311935424805,54.77511978149414,15.473783493041992,123.9510726928711,12.270000457763672
2013-03-13,,,,24.797334671020508,29.383447647094727,54.886844635009766,15.495681762695312,124.126220703125,11.829999923706055
2013-03-14,,,,24.882686614990234,29.534862518310547,55.236907958984375,15.567989349365234,124.78709411621094,11.300000190734863
2013-03-15,,,,24.80509376525879,29.5941219329834,55.15496826171875,15.537306785583496,124.62227630615234,11.300000190734863
2013-03-18,,,,24.71974754333496,29.3586368560791,54.81980514526367,15.462830543518066,123.9345474243164,13.359999656677246
2013-03-19,,,,24.76630210876465,29.176328659057617,54.678279876708984,15.438730239868164,123.64661407470703,14.390000343322754
2013-03-20,,,,24.960277557373047,29.366235733032227,55.00603485107422,15.548260688781738,124.5103759765625,12.670000076293945
2013-03-21,,,,24.898208618164062,29.100374221801758,54.574005126953125,15.421196937561035,123.44674682617188,13.989999771118164
2013-03-22,,,,25.11545753479004,29.206714630126953,54.92409896850586,15.550457954406738,124.4383773803711,13.569999694824219
2013-03-25,,,,25.031343460083008,29.206714630126953,54.73542404174805,15.502104759216309,123.91857147216797,13.739999771118164
2013-03-26,,,,25.296144485473633,29.389026641845703,55.132205963134766,15.607595443725586,124.9102554321289,12.770000457763672
2013-03-27,,,,25.342880249023438,29.39661407470703,55.094783782958984,15.616393089294434,124.9102554321289,13.149999618530273
2013-03-28,,,,25.514209747314453,29.510560989379883,55.25198745727539,15.686722755432129,125.29412078857422,12.699999809265137
2013-04-01,,,,25.467479705810547,29.3586368560791,55.11723709106445,15.592218399047852,124.79830169677734,13.579999923706055
2013-04-02,,,,25.60767364501953,29.297866821289062,55.30442810058594,15.677938461303711,125.4140625,12.779999732971191
2013-04-03,,,,25.42075538635254,28.880096435546875,54.690513610839844,15.532869338989258,124.14247131347656,14.210000038146973
2013-04-04,,,,25.553150177001953,29.062389373779297,55.004940032958984,15.572436332702637,124.64630889892578,13.890000343322754
2013-04-05,,,,25.451906204223633,28.956058502197266,54.900146484375,15.488919258117676,124.0865249633789,13.920000076293945
2013-04-08,,,,25.56093406677246,29.206714630126953,55.20708084106445,15.585627555847168,124.92619323730469,13.1899995803833
2013-04-09,,,,25.631032943725586,29.427003860473633,55.46913528442383,15.638379096984863,125.35807800292969,12.84000015258789
2013-04-10,,,,25.880250930786133,29.74603843688965,56.023128509521484,15.851573944091797,126.89360046386719,12.359999656677246
2013-04-11,,,,25.997085571289062,29.87516975402832,56.23276901245117,15.895535469055176,127.30946350097656,12.239999771118164
2013-04-12,,,,26.004871368408203,29.662477493286133,56.01561737060547,15.882354736328125,126.99752807617188,12.0600004196167
2013-04-15,,,,25.53757667541504,28.75855255126953,54.712974548339844,15.517484664916992,124.05450439453125,17.270000457763672
2013-04-16,,,,25.86467933654785,29.168750762939453,55.41670608520508,15.750473022460938,125.88592529296875,13.960000038146973
2013-04-17,,,,25.638818740844727,28.644609451293945,54.6156120300293,15.528471946716309,124.04655456542969,16.510000228881836
