date,adj_close
2016-01-04,169.47154235839844
2016-01-05,169.7581329345703
2016-01-06,167.61680603027344
2016-01-07,163.5954132080078
2016-01-08,161.79969787597656
2016-01-11,161.95994567871094
2016-01-12,163.2666473388672
2016-01-13,159.1946258544922
2016-01-14,161.80813598632812
2016-01-15,158.33474731445312
2016-01-19,158.54551696777344
2016-01-20,156.5137176513672
2016-01-21,157.3905487060547
2016-01-22,160.6194610595703
2016-01-25,158.19142150878906
2016-01-26,160.34963989257812
2016-01-27,158.60455322265625
2016-01-28,159.43075561523438
2016-01-29,163.31719970703125
2016-02-01,163.2582550048828
2016-02-02,160.31594848632812
2016-02-03,161.27708435058594
2016-02-04,161.5299530029297
2016-02-05,158.4528045654297
2016-02-08,156.3198699951172
2016-02-09,156.32823181152344
2016-02-10,156.193359375
2016-02-11,154.16162109375
2016-02-12,157.3399200439453
2016-02-16,159.99554443359375
2016-02-17,162.6090850830078
2016-02-18,161.94300842285156
2016-02-19,161.8671875
2016-02-22,164.21084594726562
2016-02-23,162.13693237304688
2016-02-24,162.8788299560547
2016-02-25,164.85157775878906
2016-02-26,164.47218322753906
2016-02-29,163.1823272705078
2016-03-01,167.01828002929688
2016-03-02,167.76853942871094
2016-03-03,168.4261474609375
2016-03-04,168.97415161132812
2016-03-07,169.10902404785156
2016-03-08,167.2626953125
2016-03-09,168.08892822265625
2016-03-10,168.22377014160156
2016-03-11,170.93849182128906
2016-03-14,170.7192840576172
2016-03-15,170.4410400390625
2016-03-16,171.42742919921875
2016-03-17,172.5149688720703
2016-03-18,173.1929473876953
2016-03-21,173.4386444091797
2016-03-22,173.345458984375
2016-03-23,172.20144653320312
2016-03-24,172.1251678466797
2016-03-28,172.2268524169922
2016-03-29,173.81997680664062
2016-03-30,174.58267211914062
2016-03-31,174.15895080566406
2016-04-01,175.3452911376953
2016-04-04,174.77755737304688
2016-04-05,173.03192138671875
2016-04-06,174.92164611816406
2016-04-07,172.82855224609375
2016-04-08,173.29461669921875
2016-04-11,172.88784790039062
2016-04-12,174.49794006347656
2016-04-13,176.26048278808594
2016-04-14,176.26904296875
2016-04-15,176.07411193847656
2016-04-18,177.31126403808594
2016-04-19,177.87051391601562
2016-04-20,178.04010009765625
2016-04-21,177.08248901367188
2016-04-22,177.08248901367188
2016-04-25,176.7774658203125
2016-04-26,177.0401153564453
2016-04-27,177.40447998046875
2016-04-28,175.79444885253906
2016-04-29,174.8453369140625
2016-05-02,176.2351531982422
2016-05-03,174.70127868652344
2016-05-04,173.72677612304688
2016-05-05,173.6929168701172
2016-05-06,174.3284149169922
2016-05-09,174.4724884033203
2016-05-10,176.64187622070312
2016-05-11,174.98939514160156
2016-05-12,175.04025268554688
2016-05-13,173.51490783691406
2016-05-16,175.22665405273438
2016-05-17,173.5912628173828
2016-05-18,173.64199829101562
2016-05-19,173.04037475585938
2016-05-20,174.13352966308594
2016-05-23,173.89622497558594
2016-05-24,176.1503448486328
2016-05-25,177.34519958496094
2016-05-26,177.39605712890625
2016-05-27,178.1587371826172
2016-05-31,177.81979370117188
2016-06-01,178.18414306640625
2016-06-02,178.72645568847656
2016-06-03,178.19259643554688
2016-06-06,179.09934997558594
2016-06-07,179.37896728515625
2016-06-08,179.96371459960938
2016-06-09,179.7179412841797
2016-06-10,178.01461791992188
2016-06-13,176.64187622070312
2016-06-14,176.29437255859375
2016-06-15,176.0486602783203
2016-06-16,176.5740966796875
2016-06-17,175.91647338867188
2016-06-20,177.04942321777344
2016-06-21,177.55189514160156
2016-06-22,177.26234436035156
2016-06-23,179.57073974609375
2016-06-24,173.12249755859375
2016-06-27,170.02195739746094
2016-06-28,173.0884246826172
2016-06-29,176.0357208251953
2016-06-30,178.4378204345703
2016-07-01,178.81265258789062
2016-07-05,177.52642822265625
2016-07-06,178.59117126464844
2016-07-07,178.48046875
2016-07-08,181.13803100585938
2016-07-11,181.7769775390625
2016-07-12,183.09725952148438
2016-07-13,183.0717010498047
2016-07-14,184.09385681152344
2016-07-15,183.84689331054688
2016-07-18,184.3408966064453
2016-07-19,184.153564453125
2016-07-20,184.9201202392578
2016-07-21,184.22166442871094
2016-07-22,185.04791259765625
2016-07-25,184.54531860351562
2016-07-26,184.63052368164062
2016-07-27,184.4346160888672
2016-07-28,184.64756774902344
2016-07-29,184.94569396972656
2016-08-01,184.79232788085938
2016-08-02,183.60836791992188
2016-08-03,184.14500427246094
2016-08-04,184.3408966064453
2016-08-05,185.84861755371094
2016-08-08,185.7378692626953
2016-08-09,185.84861755371094
2016-08-10,185.3886260986328
2016-08-11,186.24896240234375
2016-08-12,186.087158203125
2016-08-15,186.62376403808594
2016-08-16,185.6612091064453
2016-08-17,186.0104522705078
2016-08-18,186.4278564453125
2016-08-19,186.15525817871094
2016-08-22,186.14675903320312
2016-08-23,186.52154541015625
2016-08-24,185.56753540039062
2016-08-25,185.4397430419922
2016-08-26,185.09048461914062
2016-08-29,186.001953125
2016-08-30,185.6952667236328
2016-08-31,185.167236328125
2016-09-01,185.17568969726562
2016-09-02,186.0104522705078
2016-09-06,186.57264709472656
2016-09-07,186.5556182861328
2016-09-08,186.12969970703125
2016-09-09,181.6747283935547
2016-09-12,184.28131103515625
2016-09-13,181.6321258544922
2016-09-14,181.56402587890625
2016-09-15,183.3783721923828
2016-09-16,182.66944885253906
2016-09-19,182.70372009277344
2016-09-20,182.71226501464844
2016-09-21,184.76699829101562
2016-09-22,185.9312744140625
2016-09-23,184.91250610351562
2016-09-26,183.41433715820312
2016-09-27,184.5529327392578
2016-09-28,185.46893310546875
2016-09-29,183.791015625
2016-09-30,185.17791748046875
2016-10-03,184.73269653320312
2016-10-04,183.791015625
2016-10-05,184.60426330566406
2016-10-06,184.73269653320312
2016-10-07,184.0991668701172
2016-10-10,185.05809020996094
2016-10-11,182.7208709716797
2016-10-12,182.9606170654297
2016-10-13,182.3612823486328
2016-10-14,182.4554443359375
2016-10-17,181.82191467285156
2016-10-18,182.9606170654297
2016-10-19,183.44854736328125
2016-10-20,183.10609436035156
2016-10-21,183.19171142578125
2016-10-24,183.97084045410156
2016-10-25,183.35438537597656
2016-10-26,182.98622131347656
2016-10-27,182.49826049804688
2016-10-28,181.95887756347656
2016-10-31,181.9674530029297
2016-11-01,180.6490020751953
2016-11-02,179.56175231933594
2016-11-03,178.73989868164062
2016-11-04,178.54296875
2016-11-07,182.48118591308594
2016-11-08,183.30299377441406
2016-11-09,185.2463836669922
2016-11-10,185.70870971679688
2016-11-11,185.28062438964844
2016-11-14,185.42616271972656
2016-11-15,186.87295532226562
2016-11-16,186.52198791503906
2016-11-17,187.48081970214844
2016-11-18,187.06134033203125
2016-11-21,188.47393798828125
2016-11-22,188.8420867919922
2016-11-23,188.94482421875
2016-11-25,189.64682006835938
2016-11-28,188.75645446777344
2016-11-29,189.1245880126953
2016-11-30,188.6708526611328
2016-12-01,187.9774169921875
2016-12-02,188.0715789794922
2016-12-05,189.20164489746094
2016-12-06,189.80091857910156
2016-12-07,192.28366088867188
2016-12-08,192.75450134277344
2016-12-09,193.91888427734375
2016-12-12,193.69622802734375
2016-12-13,194.989013671875
2016-12-14,193.3794708251953
2016-12-15,194.1756591796875
2016-12-16,193.79592895507812
2016-12-19,194.21788024902344
2016-12-20,194.9670867919922
2016-12-21,194.42457580566406
2016-12-22,194.08877563476562
2016-12-23,194.37289428710938
2016-12-27,194.85511779785156
2016-12-28,193.24476623535156
2016-12-29,193.20169067382812
2016-12-30,192.49551391601562
2017-01-03,193.96815490722656
2017-01-04,195.12208557128906
2017-01-05,194.9670867919922
2017-01-06,195.66465759277344
2017-01-09,195.01878356933594
2017-01-10,195.01878356933594
2017-01-11,195.56993103027344
2017-01-12,195.07901000976562
2017-01-13,195.5268096923828
2017-01-17,194.83792114257812
2017-01-18,195.26852416992188
2017-01-19,194.5451202392578
2017-01-20,195.25990295410156
2017-01-23,194.7518310546875
2017-01-24,196.00048828125
2017-01-25,197.69696044921875
2017-01-26,197.4903106689453
2017-01-27,197.18032836914062
2017-01-30,195.95741271972656
2017-01-31,195.94021606445312
2017-02-01,196.01773071289062
2017-02-02,196.14688110351562
2017-02-03,197.49891662597656
2017-02-06,197.14581298828125
2017-02-07,197.15444946289062
2017-02-08,197.41281127929688
2017-02-09,198.5840301513672
2017-02-10,199.36764526367188
2017-02-13,200.45272827148438
