actual,CONST,EWMA_094,HAR,FIGARCH_lite,MS_vol_lite,MSM_GMM,date,asset,loss_CONST,loss_EWMA_094,loss_HAR,loss_FIGARCH_lite,loss_MS_vol_lite,loss_MSM_GMM
2.772413060293628e-08,4.598908080241526e-05,3.7543344083353914e-05,0.00015089431776922282,0.00015431299210023054,5.916937755291801e-05,4.1859975854709506e-05,2018-12-27,TLT,6.414458940152756,6.211686668449505,7.602215545676335,7.624614721871623,6.666324796492271,6.3204445507352425
7.020442989824925e-05,4.598908080241526e-05,3.529240688618885e-05,0.00014922321602793028,0.00013151504088979583,5.914179071431893e-05,3.865663307121483e-05,2018-12-28,TLT,0.10353820213132603,0.3014783598927706,0.22449773435891385,0.16152274588642923,0.015579207827756125,0.2194100336814695
1.438540676469828e-05,4.598908080241526e-05,3.738712826691248e-05,0.00015977938627992344,0.00014555561900934285,5.916950892253354e-05,4.09899559128979e-05,2018-12-31,TLT,0.4749902055173001,0.3398811757212692,1.4976126873131692,1.4131749969503566,0.6573140399496609,0.39806233980419026
2.7596006485611047e-05,4.598908080241526e-05,3.6007024976779626e-05,0.00015396958514270702,0.00014709498178343635,5.916833392472008e-05,3.9109301140525115e-05,2019-01-02,TLT,0.11078854673645466,0.032449168514441684,0.8983142592474709,0.8610141590903941,0.22911366373727082,0.054301615197069886
0.00012803882196486753,4.598908080241526e-05,3.5502363867309506e-05,0.00015470352718207668,0.00015086696442443453,5.9169232566904986e-05,3.8614391167262854e-05,2019-01-03,TLT,0.7601840071021821,1.3237529987409942,0.016817008848005743,0.012751840861611408,0.3920107552674783,1.1171232117181056
0.0001355616807645034,4.598908080241526e-05,4.105455135316299e-05,0.00016143529308765213,0.00015900639391931554,5.916931273836132e-05,4.445024787499248e-05,2019-01-04,TLT,0.8666700144223283,1.1074640502894981,0.014405314166487049,0.01207257253015026,0.46205717061842133,0.9346833838802291
8.717207958128013e-06,4.598908080241526e-05,4.6724979117843425e-05,0.000152804112367742,0.0001646478826523062,5.9169269707686796e-05,4.907481207156957e-05,2019-01-07,TLT,0.852654511018313,0.8655440996954753,1.9209060463494096,1.9914547000984237,1.062429926584552,0.9056779126873793
6.9262417044954604e-06,4.598908080241526e-05,4.44445128482605e-05,0.0001495846644826841,0.00015853655002194918,5.9166919946196697e-05,4.5545304217608304e-05,2019-01-08,TLT,1.0436928727599728,1.0147643638480393,2.1188483602937556,2.1743564339933554,1.2621079964669413,1.0354638572542356
2.452103941409776e-06,4.598908080241526e-05,4.219341657963459e-05,0.0001416435558702305,0.00015510905969112832,5.916592383671612e-05,4.286264467861301e-05,2019-01-09,TLT,1.9847768508361452,1.903433590850582,3.073679117436548,3.1629909748878147,2.2248438882680146,1.9182627000144072
4.1655846677427916e-05,4.598908080241526e-05,3.98089378213411e-05,0.00014132105321057155,0.00014957821976325911,5.9157268388532796e-05,4.033117171352678e-05,2019-01-10,TLT,0.004739151330646951,0.001044046713549518,0.5163529152246689,0.5568664480527079,0.05491205816527378,0.0005278676540778626
1.516223183232412e-05,4.598908080241526e-05,3.9919752352706314e-05,0.00015145826161963878,0.00015643123353712693,5.91694630513472e-05,4.116195665626872e-05,2019-01-11,TLT,0.43928840232836497,0.34788144285985956,1.4016108163568672,1.4307347831680408,0.6178489561747385,0.3670623283694885
1.3897202536829748e-05,4.598908080241526e-05,3.843430112148338e-05,0.0001539775990771219,0.00015630816619116686,5.916843812215405e-05,3.9640780610330776e-05,2019-01-14,TLT,0.4989012603185219,0.3788460844368451,1.495374271168572,1.5090509180780942,0.6835759605631513,0.39874926586084447
1.3386756554699571e-05,4.598908080241526e-05,3.696207520640416e-05,0.0001697424643598664,0.0001562239140751112,5.916825903343616e-05,3.839221225331386e-05,2019-01-15,TLT,0.5252236359549787,0.3778019501535983,1.6188815721972851,1.5427139711363878,0.7123682829585951,0.4022728988389659
9.978481529575868e-07,4.598908080241526e-05,3.554755608730189e-05,0.0001673695671394046,0.00015627009244806732,5.9168176629349784e-05,3.728058763237535e-05,2019-01-16,TLT,2.852255661613854,2.601096368502909,4.128320454858587,4.060125444677693,3.0994026148214724,2.6473928091700176
6.236613793352618e-08,4.598908080241526e-05,3.3474573611241234e-05,0.00016191354698261534,0.00014689273934086712,5.914707425188349e-05,3.529113814911145e-05,2019-01-17,TLT,5.604492914185045,5.28738205602845,6.86218052612253,6.764860037553453,5.855814362958497,5.34013189046969
