股票代號,名稱,比重(%),股票代號.1,名稱.1,比重(%).1
臺證所：2345,智邦科技,0.98,臺證所：2395,研華科技,0.28
臺證所：3661,世芯-KY,0.52,臺證所：3711,日月光投控,1.02
臺證所：3017,奇鋐科技,0.6,臺證所：2357,華碩電腦,0.87
臺證所：6919,康霈生技,0.35,臺證所：2882,國泰金控,1.17
臺證所：5871,中租-KY,0.32,臺證所：2002,中鋼,0.42
臺證所：2412,中華電信,0.97,臺證所：2891,中信金控,1.44
臺證所：2308,台達電子,3.13,臺證所：2884,玉山金控,0.97
臺證所：2383,台光電,0.64,臺證所：2603,長榮海運,0.37
臺證所：4904,遠傳電信,0.3,臺證所：2892,第一金控,0.62
臺證所：6505,台塑石化,0.09,臺證所：1301,台塑,0.31
臺證所：2881,富邦金控,1.4,臺證所：2317,鴻海精密,5.0
臺證所：2207,和泰汽車,0.32,臺證所：2880,華南金控,0.52
臺證所：2883,凱基金控,0.45,臺證所：2059,川湖科技,0.35
臺證所：3008,大立光電,0.43,臺證所：2301,光寶科技,0.64
臺證所：2454,聯發科,3.67,臺證所：2886,兆豐金控,0.95
臺證所：1303,南亞塑膠,0.37,臺證所：3034,聯詠科技,0.47
臺證所：4938,和碩聯合科技,0.26,臺證所：2912,統一超商,0.25
臺證所：2382,廣達電腦,1.45,臺證所：2379,瑞昱半導體,0.51
臺證所：5876,上海商銀,0.3,臺證所：2890,永豐金控,0.57
臺證所：5880,合庫金控,0.49,臺證所：3045,台灣大哥大,0.26
臺證所：2330,台積電,60.41,臺證所：2887,台新金控,0.74
臺證所：1216,統一企業,0.73,臺證所：2303,聯電,1.01
臺證所：2615,萬海航運,0.2,臺證所：3231,緯創資通,0.81
臺證所：6669,緯穎科技,0.65,臺證所：2327,國巨,0.5
臺證所：2609,陽明海運,0.18,臺證所：2885,元大金控,0.72
