date,added,removed
2003-01-31,['2603.TW'],['2331.TW']
2003-04-30,[],"['2363.TW', '2376.TW']"
2003-07-31,['2349.TW'],['2337.TW']
2003-10-31,['2609.TW'],['2377.TW']
2004-01-31,['6505.TW'],['2379.TW']
2004-04-30,"['1605.TW', '2888.TW', '3012.TW']","['2105.TW', '2349.TW', '2356.TW']"
2004-07-31,['2371.TW'],['2388.TW']
2004-10-31,['6004.TW'],['2401.TW']
2005-01-31,['2884.TW'],['2912.TW']
2005-04-30,['5854.TW'],['2323.TW']
2005-07-31,"['2354.TW', '2498.TW', '4904.TW', '6116.TW']","['1216.TW', '1605.TW', '2204.TW', '2371.TW']"
2005-10-31,['2474.TW'],['2344.TW']
2006-01-31,['3034.TW'],['6116.TW']
2006-04-30,['8078.TW'],['2201.TW']
2006-07-31,"['1216.TW', '3008.TW', '3474.TW', '8046.TW']","['2352.TW', '2609.TW', '2610.TW', '3012.TW']"
2007-01-31,"['1101.TW', '1102.TW', '3481.TW']","['2603.TW', '6004.TW', '8078.TW']"
2007-04-30,['2885.TW'],['2475.TW']
2007-07-31,['2912.TW'],['3008.TW']
2007-10-31,['2347.TW'],['2884.TW']
2008-04-30,"['1722.TW', '2603.TW']","['2474.TW', '3034.TW']"
2008-10-31,['3231.TW'],['2887.TW']
2009-01-31,['2105.TW'],['3474.TW']
2009-04-30,['3474.TW'],['2408.TW']
2010-01-31,"['2448.TW', '6239.TW']","['2603.TW', '3009.TW']"
2010-04-30,['4938.TW'],['6239.TW']
2011-01-31,"['2618.TW', '3673.TW']","['3474.TW', '8046.TW']"
2011-06-30,"['2474.TW', '3008.TW']","['4938.TW', '9904.TW']"
2011-09-30,"['1802.TW', '2201.TW']","['2448.TW', '2618.TW']"
2012-03-31,['2207.TW'],['2888.TW']
2012-06-30,['3697.TW'],['1802.TW']
2013-06-30,"['2884.TW', '4938.TW']","['2347.TW', '3231.TW']"
2013-09-30,['2887.TW'],['2353.TW']
2013-12-31,"['2227.TW', '9904.TW']","['1722.TW', '3673.TW']"
2014-03-31,['3474.TW'],['3697.TW']
2014-06-30,['2395.TW'],['2201.TW']
2014-12-31,['2408.TW'],['2324.TW']
2015-09-30,['1476.TW'],['2498.TW']
2016-06-30,['2324.TW'],['2227.TW']
2016-12-31,['2823.TW'],['3474.TW']
2017-06-30,['2633.TW'],['1476.TW']
2018-03-31,['5871.TW'],['2207.TW']
2018-06-30,"['2327.TW', '2492.TW']","['2324.TW', '2325.TW']"
2018-12-31,['5876.TW'],['2492.TW']
2019-03-31,['2207.TW'],['2354.TW']
2019-06-30,['9910.TW'],['3481.TW']
2019-09-30,['2888.TW'],['2409.TW']
2020-06-30,['6669.TW'],['9904.TW']
2020-09-30,"['2379.TW', '6415.TW']","['2823.TW', '2888.TW']"
2020-12-31,['3034.TW'],['2301.TW']
2021-03-31,"['1590.TW', '8046.TW']","['2883.TW', '2890.TW']"
2021-06-30,"['2409.TW', '2603.TW', '2609.TW', '2615.TW']","['2105.TW', '2474.TW', '2633.TW', '6669.TW']"
2021-09-30,['8454.TW'],['1102.TW']
2021-12-31,['3037.TW'],['1402.TW']
2022-03-31,['2883.TW'],['4938.TW']
2022-06-30,['6770.TW'],['8454.TW']
2022-09-30,['2890.TW'],['6770.TW']
2022-12-31,['1402.TW'],['2409.TW']
2023-03-31,['1605.TW'],['8046.TW']
2023-06-30,['4938.TW'],['6415.TW']
2023-09-30,"['2301.TW', '2345.TW', '3231.TW', '6669.TW']","['1402.TW', '1605.TW', '2609.TW', '2615.TW']"
2024-03-31,['3661.TW'],['9910.TW']
2024-06-30,['3017.TW'],['2801.TW']
2024-09-30,['6446.TW'],['2408.TW']
2024-12-31,['2609.TW'],['1590.TW']
2025-03-31,['2615.TW'],['1326.TW']
2025-06-30,['2383.TW'],['3037.TW']
2025-09-30,"['2059.TW', '6919.TW']","['1101.TW', '6446.TW']"
2025-12-31,"['2408.TW', '3665.TW', '3653.TW', '2360.TW']","['2609.TW', '4938.TW', '5871.TW', '5876.TW']"
2026-03-31,"['2368.TW', '2449.TW', '2344.TW', '3037.TW', '7769.TW']","['3665.TW', '3034.TW', '2379.TW', '2912.TW', '2615.TW']"
2026-06-30,"['3443.TW', '3665.TW', '4958.TW', '8046.TW']","['1301.TW', '2002.TW', '2207.TW', '6919.TW']"
