date,added,removed,reason
2012-10-02,KRFT,ANR,Kraft split into two companies[216]
2012-10-10,PETM,SUN,Acquired by Energy Transfer Partners (ETP)[215]
2012-12-03,DG,CBE,Acquired by Eaton Corp. (ETN)[214]
2012-12-11,GRMN,RRD,Market capitalization changes[213]
2012-12-21,DLPH,TIE,TIE acquired by Precision Cast Parts (PCP)[212]
2013-01-02,ABBV,FII,ABBV spun off from Abbott Labs (ABT)[211]
2013-02-15,PVH,BIG,Market capitalization changes[210]
2013-04-30,REGN,PCS,A majority of MetroPCS was acquired by T-Mobile[209]
2013-05-08,MAC,CVH,Acquired by Aetna (AET)[208]
2013-05-23,KSU,DF,DF too small after spinoff of White Wave Foods[207]
2013-06-06,GM,HNZ,HNZ acquired by consortium[206]
2013-06-21,ZTS,FHN,Zoetis spun off by Pfizer[205]
2013-07-01,NWSA,APOL,Apollo Group's market cap more representative of a mid-cap[204]
2013-07-08,NLSN,S,Softbank consortium purchase results in public float below 50%[203]
2013-09-10,DAL,BMC,BMC taken private by consortium[202]
2013-09-20,AME,SAI,Market capitalization change.[201]
2013-09-20,VRTX,AMD,Market capitalization change.[201]
2013-10-29,RIG,DELL,Founder Michael Dell and Silver Lake Partners acquired Dell.[200]
2013-11-13,KORS,NYX,ICE Exchange acquired NYSE Euronext.[199]
2013-12-02,ALLE,JCP,Allegion spun off by Ingersoll Rand.[198]
2013-12-10,GGP,MOLX,MOLX acquired by Koch Industries.[197]
2013-12-23,ADS,ANF,Market capitalization changes.[196]
2013-12-23,MHK,JDSU,Market capitalization changes.[196]
2013-12-23,FB,TER,Market capitalization changes.[196]
2014-01-24,TSCO,LIFE,Life Technologies acquired by Thermo Fisher Scientific Inc[195]
2014-03-21,GMCR,WPX,Market capitalization changes[194]
2014-04-02,ESS,CLF,Market capitalization changes[193]
2014-04-03,GOOGL,,Google Class C share distribution[192]
2014-05-01,NAVI,SLM,Navient Spun off from SLM[191]
2014-05-01,UA,BEAM,Beam acquired by Suntory[191]
2014-05-08,AVGO,LSI,Avago acquires LSI[190]
2014-06-20,XEC,IGT,Market capitalization changes[189]
2014-07-01,AMG,FRX,Actavis acquires Forest Laboratories[188]
2014-07-02,MLM,X,Market capitalization changes[187]
2014-08-06,DISCK,,Class C share distribution[186]
2014-08-18,MNK,RDC,Market cap changes[185]
2014-09-20,UHS,GHC,Market cap changes
2014-09-20,URI,BTU,Market cap changes[184]
2014-11-05,LVLT,JBL,Market cap changes[183]
2014-12-05,RCL,BMS,Market cap changes[182]
2015-01-27,ENDP,COV,Covidien acquired by Medtronic[181]
2015-01-27,HCA,SWY,Safeway acquired by private equity consortium[180]
2015-03-12,SWKS,PETM,PetSmart acquired by private equity consortium[179]
2015-03-18,HSIC,CFN,Carefusion acquired by Becton Dickinson[178]
2015-03-23,AAL,AGN,Allergan acquired by Actavis (and changed name to Allergan).[177]
2015-03-23,EQIX,DNR,Market Capitalization Changes.[178]
2015-03-23,HBI,AVP,Market Capitalization Changes.
2015-03-23,SLG,NBR,Market Capitalization Changes.
2015-04-07,O,WIN,Market capitalization change.[176]
2015-06-11,QRVO,LO,Lorillard gets acquired.[175]
2015-07-01,BXLT,QEP,Baxalta spun off by Baxter.[174]
2015-07-01,JBHT,TEG,Integrys taken over.[173]
2015-07-02,CPGX,ATI,Spin off of Columbia Pipeline.[172]
2015-07-06,KHC,KRFT,Kraft merger with Heinz.[171]
2015-07-08,AAP,FDO,Family Dollar acquired.[170]
2015-07-20,PYPL,NE,PayPal Spun off by eBay[169]
2015-07-29,SIG,DTV,DirecTV acquired by AT&T.[168]
2015-08-28,ATVI,PLL,Pall taken over[167]
2015-09-02,UAL,HSP,Hospira taken over[167]
2015-09-18,FOX,,Share class methodology change
2015-09-18,NWS,,Share class methodology change
2015-09-18,CMCSK,,Share class methodology change[2]
2015-10-07,VRSK,JOY,Market capitalization change.[166]
2015-11-02,HPE,HCBK,HPQ spins off HPE[165]
2015-11-18,SYF,GNW,GE spinning off Synchrony Financial[164]
2015-11-19,ILMN,SIAL,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[163]
2015-12-01,CSRA,CSC,CSC spins off CSRA[162]
2015-12-15,,CMCSK,CMCSK shares no longer listed[161]
2015-12-29,CHD,ALTR,ALTR taken over by INTC[160]
2016-01-05,WLTW,FOSL,WSH merges with TW (and renames to WLTW)[159]
2016-01-19,EXR,ACE,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[158]"
2016-02-01,CFG,PCP,CFG replaces PCP[156]
2016-02-01,FRT,BRCM,FRT replaces BRCM[157]
2016-02-22,CXO,PCL,PCL taken over by WY[155]
2016-03-04,AWK,CNX,AWK replaces CNX[154]
2016-03-07,UDR,GMCR,JAB Holding Company acquired Keurig Green Mountain[153]
2016-03-30,CNC,ESV,Centene acquired Health Net.[152]
2016-03-30,HOLX,POM,Exelon acquired Pepco.[152]
2016-04-04,FL,CAM,Schlumberger acquired Cameron[151]
2016-04-08,UA,,Under Armour distribution of second class of stock
2016-04-18,ULTA,THC,Ulta replaces Tenet[150]
2016-04-25,GPN,GME,Global Payments is acquiring Heartland Payment Systems[149]
2016-05-03,AYI,ADT,ADT acquired by APO[148]
2016-05-13,ALK,SNDK,SNDK acquired by WDC[147]
2016-05-18,DLR,TWC,TWC acquired by CHTR[146]
2016-05-23,LKQ,ARG,ARG acquired by Air Liquide[145]
2016-05-31,AJG,CCE,CCE merging with European bottlers[144]
2016-06-03,TDG,BXLT,SHPG acquiring BXLT[143]
2016-06-22,FBHS,CVC,CVC acquired by Altice NV[142]
2016-07-01,ALB,TE,TE acquired by EMA[140]
2016-07-01,LNT,GAS,GAS acquired by SO[141]
2016-07-05,FTV,CPGX,CPGX acquired by TRP[140]
2016-09-06,MTD,TYC,TYC acquires JCI (and retains JCI ticker).[139]
2016-09-08,CHTR,EMC,Dell acquires EMC[138]
2016-09-22,COO,HOT,MAR acquires HOT[137]
2016-09-30,COTY,DO,COTY replaces DO[136]
2016-11-01,ARNC,AA,AA spins off ARNC
2016-12-02,EVHC,LM,Market capitalization change.[135]
2016-12-02,MAA,OI,Market capitalization change.[135]
2017-01-05,IDXX,STJ,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[134]
2017-02-28,INCY,SE,SE acquired by ENB[133]
2017-03-01,CBOE,PBI,CBOE acquires BATS[133]
2017-03-02,REG,ENDP,REG acquires EQY[133]
2017-03-13,DISH,LLTC,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[132]
2017-03-16,SNPS,HAR,Samsung Electronics acquired Harman International Industries.[131]
