start,end,ticker
1990-01-01,2003-01-30,1216.TW
1990-01-01,2003-01-30,1301.TW
1990-01-01,2003-01-30,1303.TW
1990-01-01,2003-01-30,1326.TW
1990-01-01,2003-01-30,1402.TW
1990-01-01,2003-01-30,2002.TW
1990-01-01,2003-01-30,2105.TW
1990-01-01,2003-01-30,2201.TW
1990-01-01,2003-01-30,2204.TW
1990-01-01,2003-01-30,2301.TW
1990-01-01,2003-01-30,2303.TW
1990-01-01,2003-01-30,2308.TW
1990-01-01,2003-01-30,2317.TW
1990-01-01,2003-01-30,2323.TW
1990-01-01,2003-01-30,2324.TW
1990-01-01,2003-01-30,2325.TW
1990-01-01,2003-01-30,2330.TW
1990-01-01,2003-01-30,2331.TW
1990-01-01,2003-01-30,2337.TW
1990-01-01,2003-01-30,2344.TW
1990-01-01,2003-01-30,2352.TW
1990-01-01,2003-01-30,2353.TW
1990-01-01,2003-01-30,2356.TW
1990-01-01,2003-01-30,2357.TW
1990-01-01,2003-01-30,2363.TW
1990-01-01,2003-01-30,2376.TW
1990-01-01,2003-01-30,2377.TW
1990-01-01,2003-01-30,2379.TW
1990-01-01,2003-01-30,2382.TW
1990-01-01,2003-01-30,2388.TW
1990-01-01,2003-01-30,2401.TW
1990-01-01,2003-01-30,2408.TW
1990-01-01,2003-01-30,2409.TW
1990-01-01,2003-01-30,2412.TW
1990-01-01,2003-01-30,2454.TW
1990-01-01,2003-01-30,2475.TW
1990-01-01,2003-01-30,2610.TW
1990-01-01,2003-01-30,2801.TW
1990-01-01,2003-01-30,2880.TW
1990-01-01,2003-01-30,2881.TW
1990-01-01,2003-01-30,2882.TW
1990-01-01,2003-01-30,2883.TW
1990-01-01,2003-01-30,2886.TW
1990-01-01,2003-01-30,2887.TW
1990-01-01,2003-01-30,2890.TW
1990-01-01,2003-01-30,2891.TW
1990-01-01,2003-01-30,2892.TW
1990-01-01,2003-01-30,2912.TW
1990-01-01,2003-01-30,3009.TW
1990-01-01,2003-01-30,3045.TW
1990-01-01,2003-01-30,3711.TW
1990-01-01,2003-01-30,5880.TW
1990-01-01,2003-01-30,9904.TW
2003-01-31,2003-04-29,1216.TW
2003-01-31,2003-04-29,1301.TW
2003-01-31,2003-04-29,1303.TW
2003-01-31,2003-04-29,1326.TW
2003-01-31,2003-04-29,1402.TW
2003-01-31,2003-04-29,2002.TW
2003-01-31,2003-04-29,2105.TW
2003-01-31,2003-04-29,2201.TW
2003-01-31,2003-04-29,2204.TW
2003-01-31,2003-04-29,2301.TW
2003-01-31,2003-04-29,2303.TW
2003-01-31,2003-04-29,2308.TW
2003-01-31,2003-04-29,2317.TW
2003-01-31,2003-04-29,2323.TW
2003-01-31,2003-04-29,2324.TW
2003-01-31,2003-04-29,2325.TW
2003-01-31,2003-04-29,2330.TW
2003-01-31,2003-04-29,2337.TW
2003-01-31,2003-04-29,2344.TW
2003-01-31,2003-04-29,2352.TW
2003-01-31,2003-04-29,2353.TW
2003-01-31,2003-04-29,2356.TW
2003-01-31,2003-04-29,2357.TW
2003-01-31,2003-04-29,2363.TW
2003-01-31,2003-04-29,2376.TW
2003-01-31,2003-04-29,2377.TW
2003-01-31,2003-04-29,2379.TW
2003-01-31,2003-04-29,2382.TW
2003-01-31,2003-04-29,2388.TW
2003-01-31,2003-04-29,2401.TW
2003-01-31,2003-04-29,2408.TW
