date,active_contract,rv_1min,rv_5min,rv_5min_canonical_convention,rv_10min,parkinson,r2_day,day_return,n_ticks,source_file,source_size,source_mtime_ns,source_sha256,builder_collector_sha256,builder_proxy_code_sha256,builder_mcs_sha256,builder_evaluation_sha256
2012-01-02,201201,0.0001124147910133254,0.0001133501637859894,0.0001123554284548723,0.0001023021527144185,0.0001117004617591816,0.0001092090504518766,-0.0104503134140501,52161,Daily_2012_01_02TX.csv,3192403,1588931040000000000,879b38bc1eb49e720d17810c797557d5af63a4395bf712c4dadbb50874d53563,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-03,201201,4.063906227144196e-05,3.012131846158536e-05,3.010102352751936e-05,3.727671178719493e-05,5.251248743061831e-05,1.699537524888838e-05,0.0041225447540188,47245,Daily_2012_01_03TX.csv,2894474,1588931041000000000,d16a4622f386822194bd5b61036638b505613dfd05329c9a8c777c9f84810f8c,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-04,201201,4.346213437266723e-05,4.435897929816523e-05,4.433905506606829e-05,3.678744968201147e-05,3.137856419439994e-05,2.414921801813386e-06,-0.0015540018667342,50090,Daily_2012_01_04TX.csv,3056758,1588931043000000000,b7b63dedbdb1c4595f0ded91af3a72a289abc60214f47d178a82da801018ecfe,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-05,201201,4.74777145132248e-05,4.839378219258922e-05,3.964180757172931e-05,4.123084451118932e-05,2.845788818861567e-05,1.904495700664141e-05,0.0043640528189564,45052,Daily_2012_01_05TX.csv,2759417,1588931044000000000,a445c2a505126d1a0ef0c7f7ae4ce93a256c1564dc00d28b169ce81fa3538fd0,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-06,201201,3.912208104321753e-05,4.396372281840019e-05,4.364614656880627e-05,4.398417836234729e-05,2.332170254741548e-05,4.472848134505862e-06,-0.0021149109046259,51200,Daily_2012_01_06TX.csv,3136591,1588931046000000000,315f220625e02c1455cc89a704acb9c6abaed88c3f94c4e830168de84b83dab4,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-09,201201,5.878350131788917e-05,3.620939883390291e-05,3.620939883390291e-05,4.534016093502545e-05,2.273129890867996e-05,1.28729664626845e-06,0.0011345909598919,43668,Daily_2012_01_09TX.csv,2693642,1588931047000000000,f3824dad73b52a6ac42857547b44b3468e2ee22635099a6aa58c7e9c54896cc7,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-10,201201,2.773592672150727e-05,2.768501309501958e-05,2.697547345478316e-05,2.477195507596151e-05,3.363211903518519e-05,5.295225949154785e-05,0.007276830319002,41464,Daily_2012_01_10TX.csv,2606746,1588931048000000000,1048f8484ef7d4fa06d53a923fc7fce105d2ef1f590c5775a06418a0f1bc62a9,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-11,201201,1.419694809017028e-05,8.611050298588834e-06,8.300945653066223e-06,8.338120237704498e-06,5.881409166947163e-06,6.979298122231374e-07,-0.0008354219366422,31938,Daily_2012_01_11TX.csv,2000125,1588931049000000000,3092b1dcf4281567e3294e63fbeb2e235391766ee859f3d1ba61113a8403bb4f,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-12,201201,1.781211855329657e-05,1.370538058698534e-05,1.368601253179613e-05,1.090950691794921e-05,7.62425749097653e-06,0,0,29412,Daily_2012_01_12TX.csv,1851383,1588931050000000000,d53e361029a058476bfe14c7825993846109f59c6b325e0f0cc6c6a2f9e18177,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
2012-01-13,201201,5.059138124092599e-05,4.713271575786787e-05,4.522495897778018e-05,4.100882690155429e-05,9.34934785074757e-05,9.452309402088146e-05,-0.0097222988033119,54026,Daily_2012_01_13TX.csv,3531915,1588931052000000000,aa9d5d3bdfdc2d5c1d434b1c2f8f99adf99eedacdbc81607d5d6b7b431acff97,51e91ab718ab74c3299b124fc0059e81940e09dddd721cad12d6cc31f920e708,0eb8ef8d5bd505501023f5f14d1ccaaa14d0cf187d86082cb4423a5567225dca,407dd064ea6b02cdefdd6b690202c447952518993bef636ee50658f31d8b453f,c33b4617cf92e92696d2cb15d4eafa39316e1422332f7ef154cce7195a8493ca
