market,ticker,converged,theta0,alpha,gamma,beta,persistence,theta_vix,theta_eav,theta_eav_se,theta_eav_t,loglik,n_obs,n_events,sigma2_sample,analyst_count,market_cap,median_daily_turnover
TW,2330.TW,True,0.00020015637381152167,0.0497275491051,0.049727003112441645,0.8967240373909954,0.9713150880523163,3.4466629465400036e-07,-2.532313647301927e-06,6.465572750986798e-05,-0.039166114818141,10788.026861884031,3911,60,0.00025985349967299064,33.0,51605722365952.0,5083485395.53833
TW,2303.TW,True,0.0002458917411985183,0.06141221437014677,0.010913749843146177,0.9104346630599045,0.9773037523516244,4.624740982981924e-07,0.001368412989557631,0.0005608282696491003,2.4399857560921836,10203.791536928125,3911,60,0.00036545948205307264,20.0,756548173824.0,489784974.01189804
TW,6239.TW,True,0.00036497985210718936,0.04912997125169792,0.04891703685820376,0.8871483219903831,0.9607368116711829,9.775206553709486e-08,-0.00010711325993561653,5.2744456193396523e-05,-2.0307965550515403,10088.035328789418,3911,60,0.0003762484492164116,8.0,161427144704.0,184921716.66378403
TW,2454.TW,True,0.0003269963726292034,0.030715051702841573,0.08192859526151511,0.8101431936638732,0.8818225429974723,5.297766241925819e-07,-4.313797318374628e-05,8.451852595900254e-05,-0.5103966579430319,9424.073704439888,3911,59,0.0005094605269575156,24.0,2585698500608.0,1908644049.6425018
TW,2379.TW,True,0.0003833533117589204,0.04934728184327086,0.04934546695514782,0.8922176605180833,0.9662376758389281,6.595828599919444e-07,-0.00016619382870707936,5.987449690362057e-05,-2.7757031340839498,9482.719868693957,3911,60,0.00048803182415695654,16.0,270643806208.0,306153705.9650421
TW,3034.TW,True,0.0004004802626658601,0.04931481617084959,0.04931363286673928,0.891798096621231,0.9657697292254502,3.2308315039000287e-07,0.0010108346439917945,0.00027189653401439736,3.7177180196723993,9599.586447717289,3911,60,0.00047342042582531674,18.0,240057991168.0,343262805.8129883
TW,3035.TW,True,0.0006701166717083127,0.050050596514513324,0.04990318788616551,0.8998752955742341,0.9748774860318301,7.348938077777756e-07,0.0027834514942197625,0.0006554681696100532,4.246509019462646,8579.70458769218,3911,60,0.0008562467058674519,7.0,38821998592.0,188723899.32849503
TW,3443.TW,True,0.00046372138060258705,0.026116545677149595,0.0,0.970075177696962,0.9961917233741117,8.069247700654275e-07,0.00043402107896273466,0.00021766686140837295,1.9939694823294736,8577.808567476084,3911,60,0.0008722185926539888,16.0,371880525824.0,355540489.06256866
TW,2388.TW,True,0.0010053921865500505,0.08461186591900555,0.09889628831578023,0.8021792472792526,0.9362392573561482,6.832927394128143e-07,-0.00010479208729155004,0.0001962474807769115,-0.5339792739081052,8004.7330149327445,3911,60,0.0011474129039160802,,30790764544.0,70226069.69035244
TW,2881.TW,True,0.00014173896339943318,0.04984692077784506,0.04984661400240892,0.8981593680496883,0.9729295958287378,2.500282449450813e-07,3.5018420861855365e-05,4.053228422834147e-05,0.8639636657183354,11336.362983569308,3911,60,0.00021744049903159288,10.0,1214438440960.0,544284354.1551824
