asset,method,alpha,n_obs,expected_violations,actual_violations,obs_rate,kupiec_stat,kupiec_p,kupiec_pass,chris_stat,chris_p,chris_pass,dq_stat,dq_p,dq_pass,trinity
SPY,Normal,0.01,501,5.0,9,0.018,2.596,0.1071,True,0.0,1.0,True,13.98,0.0299,False,2
SPY,Student-t(5),0.01,501,5.0,7,0.014,0.711,0.3992,True,0.0,1.0,True,6.721,0.3474,True,3
SPY,Skewed-t,0.01,501,5.0,5,0.01,0.0,0.9964,True,0.0,1.0,True,3.762,0.7088,True,3
SPY,CF-VaR,0.01,501,5.0,1,0.002,4.829,0.028,False,0.0,1.0,True,3.385,0.7592,True,2
SPY,FHS,0.01,501,5.0,4,0.008,0.221,0.6383,True,0.0,1.0,True,3.55,0.7374,True,3
SPY,Normal,0.025,501,12.5,14,0.0279,0.172,0.6786,True,0.0,1.0,True,6.744,0.3452,True,3
SPY,Student-t(5),0.025,501,12.5,13,0.0259,0.018,0.8925,True,0.0,1.0,True,7.505,0.2766,True,3
SPY,Skewed-t,0.025,501,12.5,9,0.018,1.126,0.2886,True,0.0,1.0,True,5.268,0.5099,True,3
SPY,CF-VaR,0.025,501,12.5,7,0.014,2.967,0.085,True,0.0,1.0,True,4.951,0.5502,True,3
SPY,FHS,0.025,501,12.5,13,0.0259,0.018,0.8925,True,0.0,1.0,True,7.328,0.2916,True,3
SPY,Normal,0.05,501,25.1,27,0.0539,0.156,0.6929,True,0.0,1.0,True,6.465,0.3732,True,3
SPY,Student-t(5),0.05,501,25.1,30,0.0599,0.971,0.3244,True,0.0,1.0,True,8.436,0.2079,True,3
SPY,Skewed-t,0.05,501,25.1,22,0.0439,0.407,0.5235,True,0.0,1.0,True,6.339,0.3863,True,3
SPY,CF-VaR,0.05,501,25.1,20,0.0399,1.148,0.284,True,0.0,1.0,True,7.173,0.3052,True,3
SPY,FHS,0.05,501,25.1,29,0.0579,0.625,0.4291,True,0.0,1.0,True,7.264,0.2971,True,3
QQQ,Normal,0.01,501,5.0,11,0.022,5.395,0.0202,False,0.0,1.0,True,22.108,0.0012,False,1
QQQ,Student-t(5),0.01,501,5.0,5,0.01,0.0,0.9964,True,0.0,1.0,True,23.293,0.0007,False,2
QQQ,Skewed-t,0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,3.399,0.7574,True,3
QQQ,CF-VaR,0.01,501,5.0,1,0.002,4.829,0.028,False,0.0,1.0,True,3.405,0.7565,True,2
QQQ,FHS,0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,3.653,0.7235,True,3
QQQ,Normal,0.025,501,12.5,18,0.0359,2.167,0.141,True,0.0,1.0,True,14.369,0.0258,False,2
QQQ,Student-t(5),0.025,501,12.5,18,0.0359,2.167,0.141,True,0.0,1.0,True,14.369,0.0258,False,2
QQQ,Skewed-t,0.025,501,12.5,13,0.0259,0.018,0.8925,True,0.0,1.0,True,8.456,0.2065,True,3
QQQ,CF-VaR,0.025,501,12.5,8,0.016,1.919,0.1659,True,0.0,1.0,True,7.849,0.2494,True,3
