start_seed,init_vix,init_eav,theta_vix,theta_eav,pooled_loglik,n_outer_iters,converged_flag,valid
43,1.8308465324156112e-09,5.76150766343344e-05,1.849940817100668e-08,1.4330852162789342e-05,329320.85370167403,8,False,True
44,3.5373533867820045e-08,2.141907118426978e-06,3.264248975424365e-08,2.2431152523545052e-05,329340.8450106358,8,False,True
45,1.4823367338795403e-06,3.522592869595156e-05,1.438704325281459e-06,0.000963746162789519,329350.69649282994,5,True,True
46,2.906435967067017e-09,0.00027809858465410546,2.2370010953433368e-07,0.0001592266375232313,329349.2929061497,8,False,True
47,3.3266943662485104e-05,0.00010048502217734858,1.781882086551365e-05,0.01,329323.6278113713,8,False,True
48,3.7552680319178945e-06,1.1127313550901642e-05,3.6556065686151813e-06,0.002444667080649369,329350.46866107057,4,True,True
49,3.624962857544194e-06,9.535260907994748e-06,3.520227328919114e-06,0.002353417051805957,329350.521197667,8,False,True
50,0.00010046528197268623,0.00013342285396419502,3.3097119925952346e-05,0.01,329217.5012446907,8,False,True
51,6.96354144497864e-08,0.00034963952341182495,1.4778166998903417e-07,0.00010697150822136171,329348.8201395777,8,False,True
52,2.788417333857635e-06,4.591195063624828e-05,2.7109192482234957e-06,0.0018155209430523154,329350.6946113418,8,False,True
53,2.0580879154654437e-05,1.071596840758407e-06,1.5023840037309038e-05,0.009586837072408483,329333.30309550476,8,False,True
54,1.2926466508449115e-06,3.9846487727265224e-06,1.2550158336106813e-06,0.000842937915322664,329350.6959196887,5,True,True
55,0.00016744557313096232,0.00017628837689328424,5.8841631849115e-05,0.01,329007.0361103858,8,False,True
56,1.26303936645508e-09,9.115750463865973e-05,5.08438662446539e-08,3.664064509768629e-05,329341.2797515431,8,False,True
57,6.454636794108697e-07,7.023367761511215e-05,6.105682766916354e-07,0.00040877022334382025,329350.68995583017,6,True,True
58,0.00019010855262086793,6.8236003171799026e-06,7.100163218709791e-05,0.01,328918.6332761476,8,False,True
59,9.044759202734971e-05,3.857553441493934e-05,3.076202509177292e-05,0.01,329234.94781368435,8,False,True
60,1.4550514543841463e-09,7.502953992022563e-06,1.4548198360032962e-09,2.748731553068248e-06,328953.4416385465,8,False,True
61,4.28167509870679e-05,1.0242947809569076e-05,1.934325333591825e-05,0.01,329316.61737863626,8,False,True
62,3.0664777940987e-05,4.4109979240506425e-05,1.7187700440745945e-05,0.01,329326.14615403773,8,False,True
63,0.0008985726859815066,3.2481600817804704e-05,0.0007170528212240417,0.01,327983.90530906734,8,False,True
64,1.3805043353632856e-06,0.0003519334348616875,1.3119459725582743e-06,0.0008790019534845313,329350.6968338276,4,True,True
65,1.2862727385556747e-06,1.3424811540590984e-06,1.2512071527088665e-06,0.0008382341249989793,329350.69688063656,8,True,True
66,1.4351879745076226e-05,0.0003112648129978985,1.2237715142149634e-05,0.007976664543212981,329339.86363793584,8,False,True
67,5.776034960296989e-09,1.3130107750595525e-05,5.771783791601533e-09,5.23380882828448e-06,329248.8094190343,8,False,True
68,0.00012301488000483496,2.0290430497496525e-05,4.050877377335054e-05,0.01,329156.12468386913,8,False,True
69,1.4491462419486614e-06,3.6847466446205684e-05,1.4058764243833317e-06,0.0009427900063982288,329350.6967795965,4,True,True
70,2.2020902065892407e-05,1.0655943934962279e-05,1.5425824338878027e-05,0.009804198291098038,329332.07998511946,8,False,True
71,1.4629618931343699e-06,4.830097684783433e-06,1.4256151579315768e-06,0.000948164187631626,329350.68940526067,4,True,True
72,1.0966062987255983e-09,0.00018251401328837167,6.52728784788183e-08,4.814217377448743e-05,329347.932057279,8,False,True
73,6.610057344712648e-08,2.1360445092233017e-05,6.039332423980546e-08,4.151546402701948e-05,329345.571087468,8,False,True
74,1.3314525724651968e-06,0.00025935828099507867,1.257348858746118e-06,0.000844272388796794,329350.69407808845,4,True,True
75,8.294195752205694e-09,3.764158052231611e-06,8.289941767544344e-09,6.91594376068423e-06,329280.6455707848,8,False,True
76,0.0008187283653589045,0.0001500598668526578,0.0006339904367122927,0.01,328018.2085863448,8,False,True
77,2.0278308919323192e-06,0.00013219277706195317,1.942310287351215e-06,0.0013042886262981655,329350.6956315504,4,True,True
