start_seed,init_vix,init_eav,theta_vix,theta_eav,pooled_loglik,n_outer_iters,converged_flag,valid
43,1.8308465324156112e-09,5.76150766343344e-05,1.8289601128661923e-09,4.5695933342199834e-05,-9999751363.16506,8,False,False
44,3.5373533867820045e-08,2.141907118426978e-06,2.9045717904848422e-08,6.129081219868685e-05,256673.71055617012,8,False,True
45,1.4823367338795403e-06,3.522592869595156e-05,1.316670586458804e-06,0.002592341319156167,256723.14338909884,8,False,True
46,2.906435967067017e-09,0.00027809858465410546,1.3909283895530317e-08,3.1802197270789925e-05,256572.79989910274,8,False,True
47,3.3266943662485104e-05,0.00010048502217734858,1.9818443621633137e-05,0.01,256275.21333210974,8,False,True
48,3.7552680319178945e-06,1.1127313550901642e-05,3.460444294920316e-06,0.007460690156483996,256722.0777082829,8,False,True
49,3.624962857544194e-06,9.535260907994748e-06,3.3348930760909734e-06,0.007224468091645828,256721.89758013186,8,False,True
50,0.00010046528197268623,0.00013342285396419502,6.25882402671081e-05,0.01,255304.56044513808,8,False,True
51,6.96354144497864e-08,0.00034963952341182495,6.822043589471108e-08,0.00013770348048030553,256720.04237222616,8,False,True
52,2.788417333857635e-06,4.591195063624828e-05,2.492561726860202e-06,0.004930249687490159,256723.7639785262,5,True,True
53,2.0580879154654437e-05,1.071596840758407e-06,1.3334032879653539e-05,0.01,256511.728249482,8,False,True
54,1.2926466508449115e-06,3.9846487727265224e-06,1.1643314958929485e-06,0.0025940429736539075,256720.4779945129,8,False,True
55,0.00016744557313096232,0.00017628837689328424,0.000116916534019396,0.01,254711.3916581551,8,False,True
56,1.26303936645508e-09,9.115750463865973e-05,6.689816420054238e-09,1.5416768129508085e-05,256505.77577049777,8,False,True
57,6.454636794108697e-07,7.023367761511215e-05,5.841856794565355e-07,0.001155524912489281,256731.47736317592,8,False,True
58,0.00019010855262086793,6.8236003171799026e-06,0.00013582970252501542,0.01,254607.20185477324,8,False,True
59,9.044759202734971e-05,3.857553441493934e-05,5.476316292801508e-05,0.01,255427.57264929614,8,False,True
60,1.4550514543841463e-09,7.502953992022563e-06,1.3774082857270816e-09,1.085850739885405e-05,-9999752617.98696,8,False,False
61,4.28167509870679e-05,1.0242947809569076e-05,2.484700756248632e-05,0.01,256113.48809330646,8,False,True
62,3.0664777940987e-05,4.4109979240506425e-05,1.8519703589598428e-05,0.01,256319.6105956417,8,False,True
63,0.0008985726859815066,3.2481600817804704e-05,0.0008090700234653402,0.01,253748.79909156566,8,False,True
64,1.3805043353632856e-06,0.0003519334348616875,1.2857057421118125e-06,0.002533454790687398,256723.33909562722,8,False,True
65,1.2862727385556747e-06,1.3424811540590984e-06,1.1637478960258782e-06,0.002590432035486465,256730.42471378218,8,False,True
66,1.4351879745076226e-05,0.0003112648129978985,1.0154425239524867e-05,0.01,256620.5081787625,8,False,True
67,5.776034960296989e-09,1.3130107750595525e-05,5.756339118609394e-09,1.4616995409361513e-05,-19999759631.66748,8,False,False
68,0.00012301488000483496,2.0290430497496525e-05,8.100774445927356e-05,0.01,255037.85454642208,8,False,True
69,1.4491462419486614e-06,3.6847466446205684e-05,1.2864025003815526e-06,0.0025337989863734723,256722.54485581585,8,False,True
70,2.2020902065892407e-05,1.0655943934962279e-05,1.4015429645454289e-05,0.01,256487.8307362923,8,False,True
