start_seed,init_vix,init_eav,theta_vix,theta_eav,pooled_loglik,n_outer_iters,converged_flag,valid
43,1.8308465324156112e-09,5.76150766343344e-05,5.270865768380608e-09,8.771956650710036e-06,234295.81532307382,8,False,True
44,3.5373533867820045e-08,2.141907118426978e-06,3.0570000145240285e-08,4.867150268046444e-05,234429.79261543907,8,False,True
45,1.4823367338795403e-06,3.522592869595156e-05,1.355713773571474e-06,0.002173395641768313,234437.76512877288,4,True,True
46,2.906435967067017e-09,0.00027809858465410546,4.893398839393402e-08,8.217622515245383e-05,234424.9568788286,8,False,True
47,3.3266943662485104e-05,0.00010048502217734858,1.4044736074624063e-05,0.01,234341.80736065423,8,False,True
48,3.7552680319178945e-06,1.1127313550901642e-05,3.7004451607568393e-06,0.006190424248361524,234437.28134068585,8,False,True
49,3.624962857544194e-06,9.535260907994748e-06,3.5617135865790034e-06,0.005987372187959562,234437.1823080299,8,False,True
50,0.00010046528197268623,0.00013342285396419502,3.208565350617498e-05,0.01,234058.73215948028,8,False,True
51,6.96354144497864e-08,0.00034963952341182495,8.23628810960236e-08,0.0001396126887655589,234432.1433369927,8,False,True
52,2.788417333857635e-06,4.591195063624828e-05,2.6017152515207855e-06,0.0041180438639345585,234437.89198702155,8,False,True
53,2.0580879154654437e-05,1.071596840758407e-06,1.0845945063135214e-05,0.01,234393.90311533847,8,False,True
54,1.2926466508449115e-06,3.9846487727265224e-06,1.2508814409276162e-06,0.0021184941359591617,234437.0167684245,8,False,True
55,0.00016744557313096232,0.00017628837689328424,5.6715807459313545e-05,0.01,233796.1428841226,8,False,True
56,1.26303936645508e-09,9.115750463865973e-05,1.2416732820545069e-08,2.1158178563455766e-05,234381.10330993403,8,False,True
57,6.454636794108697e-07,7.023367761511215e-05,6.297937599642232e-07,0.0009966466478071537,234437.7817410337,8,False,True
58,0.00019010855262086793,6.8236003171799026e-06,6.75052726912345e-05,0.01,233713.05585497778,8,False,True
59,9.044759202734971e-05,3.857553441493934e-05,2.9106363918809742e-05,0.01,234099.60457145923,8,False,True
60,1.4550514543841463e-09,7.502953992022563e-06,1.4547932806547757e-09,3.1815965355930548e-06,233932.07690932255,8,False,True
61,4.28167509870679e-05,1.0242947809569076e-05,1.6365620020178628e-05,0.01,234301.73001010861,8,False,True
62,3.0664777940987e-05,4.4109979240506425e-05,1.3410276048337008e-05,0.01,234352.59202529845,8,False,True
