ticker,market_cap,error,weight_top50
AAPL,4532958753995.605,,0.11539843972430432
MSFT,2900729395021.6523,,0.07384572955861675
NVDA,4718977474349.976,,0.120134037653468
AMZN,2610427727137.264,,0.06645533371755766
GOOGL,4391828139545.5474,,0.11180558711109369
META,1479647005874.8252,,0.037668323293298354
BRK-B,1095207218407.7819,,0.02788139293516632
TSLA,1477689602891.1887,,0.03761849242951116
AVGO,1714869840445.0303,,0.04365654193151192
LLY,1082493840636.9026,,0.027557740319291108
JPM,896216187249.3479,,0.022815550565748643
V,688678491579.8584,,0.017532130273621313
WMT,890031543551.8438,,0.02265810412255883
XOM,568230791259.3301,,0.014465815877286299
UNH,386288290382.54346,,0.009833988883005336
MA,476596308491.5729,,0.012133018049152105
PG,352573179786.56415,,0.008975681678140762
JNJ,633194372621.3209,,0.016119635454062423
ORCL,404043679476.6998,,0.010285999216511573
HD,356868054401.88275,,0.009085019057172154
COST,422045465823.69653,,0.010744282242992365
ABBV,461256614718.8471,,0.011742505621554822
BAC,416782765684.6686,,0.010610306308566447
NFLX,326968512124.36865,,0.00832384722337714
KO,362010868024.49316,,0.009215942963620457
CRM,136044090499.87793,,0.0034633617090735133
AMD,844357634829.8557,,0.021495354120039653
CVX,336978330176.52606,,0.008578673584663785
MRK,319990445177.55524,,0.008146202095403229
ADBE,87338700485.22949,,0.002223437342036224
TMO,194521540546.87897,,0.00495205967892193
ACN,84050252406.14822,,0.002139721209144905
LIN,252737540311.06567,,0.006434101741152467
PEP,197140227785.1491,,0.005018725280314387
MCD,199389262680.4369,,0.005075980404811815
CSCO,444160282021.4932,,0.011307273309647455
WFC,261676810169.21002,,0.006661674470111245
ABT,166168977549.39594,,0.004230270289329404
DHR,140089035018.2431,,0.0035663364572507987
QCOM,185767500000.0,,0.004729202451398587
TXN,266729982965.79575,,0.006790316332530418
DIS,172782886688.0,,0.004398644818305752
INTU,75318414619.53735,,0.0019174292115368469
VZ,177711792943.85754,,0.0045241231476578474
AMGN,201931847422.98212,,0.005140708616136904
IBM,272115575939.7119,,0.006927420828712363
PM,284078527519.30176,,0.007231969363499981
CMCSA,84983320641.50293,,0.002163474925946615
NOW,109648666245.26978,,0.0027913964563215593
PFE,138610480450.74768,,0.0035286959448623243
