earnings_datetime,eps_estimate,reported_eps,surprise_pct,ticker,earnings_date,is_future_or_unreported,fetch_failure_count
2014-04-23 16:00:00-04:00,0.36,0.42,14.28,AAPL,2014-04-23,False,0
2014-07-22 16:00:00-04:00,0.31,0.32,3.82,AAPL,2014-07-22,False,0
2014-10-20 16:00:00-04:00,0.33,0.36,8.62,AAPL,2014-10-20,False,0
2015-01-27 16:00:00-05:00,0.65,0.77,17.36,AAPL,2015-01-27,False,0
2015-04-27 16:00:00-04:00,0.54,0.58,7.93,AAPL,2015-04-27,False,0
2015-07-21 16:00:00-04:00,0.45,0.46,1.89,AAPL,2015-07-21,False,0
2015-10-27 16:00:00-04:00,0.47,0.49,4.65,AAPL,2015-10-27,False,0
2016-01-26 16:00:00-05:00,0.81,0.82,1.67,AAPL,2016-01-26,False,0
2016-04-26 16:00:00-04:00,0.5,0.48,-5.09,AAPL,2016-04-26,False,0
2016-07-26 16:00:00-04:00,0.35,0.36,2.73,AAPL,2016-07-26,False,0
2016-10-25 16:00:00-04:00,0.41,0.42,0.82,AAPL,2016-10-25,False,0
2017-01-31 16:00:00-05:00,0.81,0.84,4.25,AAPL,2017-01-31,False,0
2017-05-02 16:00:00-04:00,0.51,0.53,3.88,AAPL,2017-05-02,False,0
2017-08-01 16:00:00-04:00,0.39,0.42,6.15,AAPL,2017-08-01,False,0
2017-11-02 16:00:00-04:00,0.47,0.52,10.53,AAPL,2017-11-02,False,0
2018-02-01 16:00:00-05:00,0.96,0.97,1.1,AAPL,2018-02-01,False,0
2018-05-01 16:00:00-04:00,0.67,0.68,2.19,AAPL,2018-05-01,False,0
2018-07-31 16:00:00-04:00,0.54,0.59,7.38,AAPL,2018-07-31,False,0
2018-11-01 16:00:00-04:00,0.7,0.73,4.55,AAPL,2018-11-01,False,0
2019-01-29 16:00:00-05:00,1.04,1.05,0.27,AAPL,2019-01-29,False,0
2019-04-30 16:00:00-04:00,0.59,0.62,4.05,AAPL,2019-04-30,False,0
2019-07-30 16:00:00-04:00,0.53,0.55,3.62,AAPL,2019-07-30,False,0
2019-10-30 16:00:00-04:00,0.71,0.76,6.54,AAPL,2019-10-30,False,0
2020-01-28 16:00:00-05:00,1.13,1.25,9.97,AAPL,2020-01-28,False,0
2020-04-30 17:00:00-04:00,0.56,0.64,12.93,AAPL,2020-04-30,False,0
2020-07-30 16:00:00-04:00,0.52,0.65,24.45,AAPL,2020-07-30,False,0
2020-10-29 16:00:00-04:00,0.7,0.73,4.5,AAPL,2020-10-29,False,0
2021-01-27 16:00:00-05:00,1.42,1.68,18.67,AAPL,2021-01-27,False,0
2021-04-28 16:00:00-04:00,0.98,1.4,42.16,AAPL,2021-04-28,False,0
2021-07-27 16:00:00-04:00,1.01,1.3,28.56,AAPL,2021-07-27,False,0
2021-10-28 16:00:00-04:00,1.24,1.24,0.17,AAPL,2021-10-28,False,0
2022-01-27 16:00:00-05:00,1.89,2.1,11.2,AAPL,2022-01-27,False,0
2022-04-28 16:00:00-04:00,1.43,1.52,6.48,AAPL,2022-04-28,False,0
2022-07-28 16:00:00-04:00,1.15,1.2,3.93,AAPL,2022-07-28,False,0
2022-10-27 16:00:00-04:00,1.27,1.29,1.44,AAPL,2022-10-27,False,0
2023-02-02 16:00:00-05:00,1.95,1.88,-3.78,AAPL,2023-02-02,False,0
2023-05-04 16:00:00-04:00,1.43,1.52,6.37,AAPL,2023-05-04,False,0
2023-08-03 16:00:00-04:00,1.19,1.26,5.66,AAPL,2023-08-03,False,0
2023-11-02 16:00:00-04:00,1.39,1.46,4.93,AAPL,2023-11-02,False,0
2024-02-01 16:00:00-05:00,2.11,2.18,3.55,AAPL,2024-02-01,False,0
2024-05-02 16:00:00-04:00,1.5,1.53,2.05,AAPL,2024-05-02,False,0
2024-08-01 16:00:00-04:00,1.34,1.4,4.36,AAPL,2024-08-01,False,0
2024-10-31 16:00:00-04:00,0.95,0.97,2.48,AAPL,2024-10-31,False,0
2025-01-30 16:00:00-05:00,2.34,2.4,2.52,AAPL,2025-01-30,False,0
2025-05-01 16:00:00-04:00,1.62,1.65,1.69,AAPL,2025-05-01,False,0
2025-07-31 16:00:00-04:00,1.43,1.57,10.12,AAPL,2025-07-31,False,0
2025-10-30 16:00:00-04:00,1.77,1.85,4.52,AAPL,2025-10-30,False,0
2026-01-29 16:00:00-05:00,2.67,2.84,6.34,AAPL,2026-01-29,False,0
2026-04-30 16:00:00-04:00,1.94,2.01,3.46,AAPL,2026-04-30,False,0
2026-07-30 16:00:00-04:00,1.89,,,AAPL,2026-07-30,True,0
2014-04-25 07:00:00-04:00,0.68,0.71,4.47,ABBV,2014-04-25,False,0
2014-07-25 07:00:00-04:00,0.76,0.82,8.11,ABBV,2014-07-25,False,0
2014-10-31 07:00:00-04:00,0.77,0.89,15.06,ABBV,2014-10-31,False,0
2015-01-30 07:00:00-05:00,0.86,0.89,3.49,ABBV,2015-01-30,False,0
2015-04-23 07:00:00-04:00,0.85,0.94,10.09,ABBV,2015-04-23,False,0
2015-07-24 07:00:00-04:00,1.06,1.08,1.84,ABBV,2015-07-24,False,0
2015-10-30 06:00:00-04:00,1.08,1.13,4.61,ABBV,2015-10-30,False,0
2016-01-29 07:00:00-05:00,1.12,1.13,0.62,ABBV,2016-01-29,False,0
2016-04-28 07:00:00-04:00,1.14,1.15,0.84,ABBV,2016-04-28,False,0
2016-07-29 07:00:00-04:00,1.2,1.26,4.98,ABBV,2016-07-29,False,0
2016-10-28 07:00:00-04:00,1.2,1.21,0.45,ABBV,2016-10-28,False,0
2017-01-27 07:00:00-05:00,1.2,1.2,0.27,ABBV,2017-01-27,False,0
