date,blackout_coverage,blackout_firm_count,any_blackout
2020-01-02,0.7113080674161583,35,True
2020-01-03,0.723050573037713,36,True
2020-01-06,0.723050573037713,36,True
2020-01-07,0.723050573037713,36,True
2020-01-08,0.7343578463473605,37,True
2020-01-09,0.8659447110222956,40,True
2020-01-10,0.8659447110222956,40,True
2020-01-13,0.8659447110222956,40,True
2020-01-14,0.8886028151448545,41,True
2020-01-15,0.8886028151448545,41,True
2020-01-16,0.8886028151448545,41,True
2020-01-17,0.8591255901089945,39,True
2020-01-21,0.8810284978303716,41,True
2020-01-22,0.8810284978303716,41,True
2020-01-23,0.8810284978303716,41,True
2020-01-24,0.8657772297782822,39,True
2020-01-27,0.8274978510982725,34,True
2020-01-28,0.8274978510982725,34,True
2020-01-29,0.8274978510982725,34,True
2020-01-30,0.8382421333412649,35,True
2020-01-31,0.6978196435520585,32,True
2020-02-03,0.36669783872433837,16,True
2020-02-04,0.36669783872433837,16,True
2020-02-05,0.36669783872433837,16,True
2020-02-06,0.3110582301033044,18,True
2020-02-07,0.30665958528499865,17,True
2020-02-10,0.27480970575314206,13,True
2020-02-11,0.27480970575314206,13,True
2020-02-12,0.27480970575314206,13,True
2020-02-13,0.27694942696228697,14,True
2020-02-14,0.27694942696228697,14,True
2020-02-18,0.14048939071885713,11,True
2020-02-19,0.14048939071885713,11,True
2020-02-20,0.14048939071885713,11,True
2020-02-21,0.1178312865962983,10,True
2020-02-24,0.1178312865962983,10,True
2020-02-25,0.08994989366113199,9,True
2020-02-26,0.08994989366113199,9,True
2020-02-27,0.08803246444959514,8,True
2020-02-28,0.07548408368334947,6,True
2020-03-02,0.07548408368334947,6,True
2020-03-03,0.07548408368334947,6,True
2020-03-04,0.069049981942197,5,True
2020-03-05,0.069049981942197,5,True
2020-03-06,0.069049981942197,5,True
2020-03-09,0.05830569969920463,4,True
2020-03-10,0.10390256018912694,7,True
2020-03-11,0.12434685538069873,9,True
2020-03-12,0.12857712567002813,10,True
2020-03-13,0.13755280734816888,11,True
2020-03-16,0.08831424968682153,9,True
2020-03-17,0.11987632556984953,13,True
2020-03-18,0.12482838524877146,14,True
2020-03-19,0.15238612556806255,15,True
2020-03-20,0.1569102487157204,16,True
2020-03-23,0.1547705275065755,15,True
2020-03-24,0.30476509205828867,20,True
2020-03-25,0.47355125429658723,26,True
2020-03-26,0.685317321958966,32,True
2020-03-27,0.7201043170424709,35,True
2020-03-30,0.7479857099776374,36,True
2020-03-31,0.7523843547959431,37,True
2020-04-01,0.7559506912531939,38,True
2020-04-02,0.7623847929943464,39,True
2020-04-03,0.7623847929943464,39,True
2020-04-06,0.7623847929943464,39,True
2020-04-07,0.7623847929943464,39,True
2020-04-08,0.7736920663039938,40,True
2020-04-09,0.7736920663039938,40,True
2020-04-13,0.7736920663039938,40,True
2020-04-14,0.8054351894837247,42,True
2020-04-15,0.8054351894837247,42,True
2020-04-16,0.9274866563487298,44,True
2020-04-17,0.8818897958588073,41,True
2020-04-20,0.8482395486997655,37,True
2020-04-21,0.8482395486997655,37,True
2020-04-22,0.8482395486997655,37,True
2020-04-23,0.855519771823119,38,True
2020-04-24,0.8239576959400909,34,True
2020-04-27,0.7869237727942199,31,True
2020-04-28,0.7869237727942199,31,True
2020-04-29,0.7869237727942199,31,True
2020-04-30,0.8305803147257319,32,True
2020-05-01,0.6805857501740185,27,True
2020-05-04,0.2652465251898365,12,True
2020-05-05,0.23736513225467012,11,True
2020-05-06,0.23736513225467012,11,True
2020-05-07,0.23958856959670635,12,True
2020-05-08,0.2351899247784006,11,True
2020-05-11,0.22518948657999732,9,True
2020-05-12,0.2354754857965089,10,True
2020-05-13,0.2354754857965089,10,True
2020-05-14,0.2354754857965089,10,True
2020-05-15,0.2354754857965089,10,True
2020-05-18,0.22416821248686145,9,True
2020-05-19,0.22416821248686145,9,True
2020-05-20,0.22416821248686145,9,True
2020-05-21,0.22630793369600635,10,True
2020-05-22,0.19456481051627536,8,True
2020-05-26,0.07251334365127052,6,True
2020-05-27,0.07251334365127052,6,True
2020-05-28,0.07251334365127052,6,True
2020-05-29,0.07251334365127052,6,True
2020-06-01,0.05830569969920463,4,True
2020-06-02,0.05830569969920463,4,True
2020-06-03,0.05830569969920463,4,True
2020-06-04,0.05830569969920463,4,True
2020-06-05,0.05830569969920463,4,True
2020-06-08,0.01966788304800709,4,True
2020-06-09,0.049145108083866976,6,True
2020-06-10,0.05897909696687231,7,True
2020-06-11,0.09826315624220774,11,True
2020-06-12,0.09826315624220774,11,True
2020-06-15,0.10296713972888388,11,True
2020-06-16,0.12620536838853474,14,True
2020-06-17,0.24262165005558453,17,True
2020-06-18,0.24618798651283533,18,True
2020-06-19,0.2404261104439816,18,True
2020-06-22,0.2404261104439816,18,True
2020-06-23,0.29319897980345355,23,True
2020-06-24,0.30071957871117366,25,True
2020-06-25,0.6828771775299585,33,True
2020-06-26,0.732244476450019,38,True
2020-06-29,0.7301047552408741,37,True
2020-06-30,0.7345034000591799,38,True
2020-07-01,0.7345034000591799,38,True
2020-07-02,0.7345034000591799,38,True
2020-07-06,0.7623847929943464,39,True
2020-07-07,0.7623847929943464,39,True
2020-07-08,0.7736920663039938,40,True
2020-07-09,0.7736920663039938,40,True
2020-07-10,0.7736920663039938,40,True
2020-07-13,0.7736920663039938,40,True
2020-07-14,0.8054351894837247,42,True
2020-07-15,0.925569227137193,43,True
2020-07-16,0.9205505018568786,42,True
2020-07-17,0.8910732768210186,40,True
2020-07-20,0.8419552286626779,35,True
2020-07-21,0.8473360195832882,37,True
2020-07-22,0.8473360195832882,37,True
2020-07-23,0.8404085987545759,36,True
2020-07-24,0.8171703700949249,33,True
2020-07-27,0.6926636288229662,28,True
2020-07-28,0.6926636288229662,28,True
2020-07-29,0.6926636288229662,28,True
2020-07-30,0.7363201707544782,29,True
2020-07-31,0.6835473013950062,24,True
2020-08-03,0.2445018047484408,9,True
2020-08-04,0.2445018047484408,9,True
2020-08-05,0.2445018047484408,9,True
2020-08-06,0.2547878039649524,10,True
2020-08-07,0.2503891591466466,9,True
2020-08-10,0.2503891591466466,9,True
2020-08-11,0.22473120355351653,9,True
2020-08-12,0.22473120355351653,9,True
2020-08-13,0.22473120355351653,9,True
2020-08-14,0.22473120355351653,9,True
2020-08-17,0.21342393024386908,8,True
2020-08-18,0.21342393024386908,8,True
2020-08-19,0.21342393024386908,8,True
2020-08-20,0.22630793369600635,10,True
2020-08-21,0.19456481051627536,8,True
2020-08-24,0.07443077286280736,7,True
2020-08-25,0.07443077286280736,7,True
2020-08-26,0.07443077286280736,7,True
2020-08-27,0.07944949814312174,8,True
2020-08-28,0.07406870722251138,6,True
2020-08-31,0.07406870722251138,6,True
2020-09-01,0.07406870722251138,6,True
2020-09-02,0.07406870722251138,6,True
2020-09-03,0.07406870722251138,6,True
2020-09-04,0.07406870722251138,6,True
2020-09-08,0.06934735131081052,7,True
2020-09-09,0.09645332097249357,10,True
