date,actual_rv,position,HAR_forecast,HAR_resid_var,HAR_first_beta,HARQ_forecast,HARQ_resid_var,HARQ_first_beta,HARQ_full_forecast,HARQ_full_resid_var,HARQ_full_first_beta,SHARK_like_forecast,SHARK_like_resid_var,SHARK_like_first_beta
2026-04-16,2.6369600522230153e-05,40,3.3956527633504425e-05,0.34622237643586673,"{""intercept"": -2.577448549212645, ""log_rv_d"": 0.19011389708816046, ""log_rv_m"": 0.1702306490189187, ""log_rv_w"": 0.39055769869843854}",1.8632392878669217e-05,0.30749315725898274,"{""intercept"": -0.04176988779732672, ""log_rv_d"": 0.024014948108618518, ""log_rv_d_x_me_d"": 0.09160783785843704, ""log_rv_m"": 0.3657576934652597, ""log_rv_w"": 0.5087382805356196}",1.5331223506867564e-05,0.2703321920666892,"{""intercept"": 3.754808218325097, ""log_rv_d"": -0.043270177482151444, ""log_rv_d_x_me_d"": 0.040684211560343984, ""log_rv_m"": 0.4380524406045431, ""log_rv_m_x_me_m"": 0.6679200337239398, ""log_rv_w"": 0.07214111280453754, ""log_rv_w_x_me_w"": 0.07490953998900052}",4.009721102571009e-05,0.30266037470644563,"{""abs_jump_share_d"": -1.1641830900479755, ""intercept"": -5.364308652444199, ""log_rv_d"": 0.15261650384560044, ""log_rv_d_x_me_d"": 0.043488589077961985, ""log_rv_m"": -0.042457250184707654, ""log_rv_w"": 0.10203944113830415, ""rs_imbalance_d"": 1.898932317093268, ""rs_imbalance_w"": 1.5975726205521903, ""rs_minus_share_d"": -1.7326881676754695, ""rs_minus_share_w"": -1.883368015945994, ""signed_jump_share_d"": 0.5275136678751183, ""signed_jump_share_w"": 1.7394548364728248}"
2026-04-17,2.0140003786622597e-05,41,3.290381127817494e-05,0.33698628842453315,,2.670349889577736e-05,0.3032673673587641,,1.9410690655253348e-05,0.269490177486609,,4.786398242553301e-05,0.29346429695130805,
2026-04-20,1.5878142777558913e-05,42,2.9795746282764842e-05,0.3301531020129713,,3.3619859505755676e-05,0.2954072023029211,,2.0012051893495297e-05,0.26236309719181,,3.475430926021798e-05,0.29393160366063126,
2026-04-21,5.765766590010454e-05,43,2.4826912255863385e-05,0.32626474662942984,,3.182866503499299e-05,0.2954646562797382,,2.4560253980333125e-05,0.2552765362296394,,3.244099481668639e-05,0.2921024670703854,
2026-04-22,1.2837359142150246e-05,44,4.251445086817497e-05,0.33911037695834234,,2.5576347055902013e-05,0.2991740412033137,,1.7467680589135566e-05,0.2670935986550104,,5.024431782176233e-05,0.2929646421490639,
2026-04-23,5.497409441636991e-05,45,3.075307758799919e-05,0.3528325557576909,,4.0730908531246605e-05,0.29730750907614023,,2.590645451329753e-05,0.2606082803501178,,3.174272268888055e-05,0.30314342291950336,
2026-04-24,1.5921419355061234e-05,46,4.0172232902331665e-05,0.3563747143451063,,3.358885726474686e-05,0.29421318015277786,,2.632880004308867e-05,0.2673333646421958,,3.7369671785207656e-05,0.30369730233433495,
2026-04-27,1.1648704293849265e-05,47,3.551131987251714e-05,0.3594775509664942,,1.8089085859918173e-05,0.29466154706463066,,1.374600000493005e-05,0.26290060994355313,,1.356666346857992e-05,0.30635322500974366,
2026-04-28,1.3968193988795509e-05,48,2.982772553845431e-05,0.36855849526377765,,2.46924093023403e-05,0.28935991859101656,,1.38478699144596e-05,0.2565065168071573,,2.7748763777380645e-05,0.29784342230005223,
2026-04-29,2.4229022895581713e-05,49,2.195820952681313e-05,0.36650228255720024,,3.0374940334745183e-05,0.28620187377245027,,2.2119054666200636e-05,0.25071118817659344,,3.3182102038306985e-05,0.2957491639977172,
2026-04-30,2.373134419932133e-05,50,2.4447885286098608e-05,0.3600138734601674,,2.7478630468307278e-05,0.2799692853963036,,1.9002597716174477e-05,0.24571146730001772,,2.9871910018115953e-05,0.2885699646090492,
2026-05-01,2.0962877609056692e-05,51,2.038267638916022e-05,0.35276583202960476,,2.4893821517148732e-05,0.2738838107859043,,2.1866833778682354e-05,0.24226616705334114,,2.1407245968804064e-05,0.2813300466496582,
2026-05-04,3.2473320654326834e-05,52,1.9827429822702507e-05,0.3461377182516215,,1.4848266993647134e-05,0.2680777341456716,,1.6895139165737782e-05,0.23699178830043488,,1.1772054957571138e-05,0.2745850595477897,
2026-05-05,9.433060705648705e-06,53,2.625386125832194e-05,0.34636026315019325,,2.8565905326146947e-05,0.276389376343326,,2.723678033377607e-05,0.2415395834997977,,3.742012501186629e-05,0.2861987784692293,
