feature_date,target_date,actual_rv,har_pred,seasonal_pred
2026-04-20,2026-04-21,5.765766590010454e-05,2.28580168916046e-05,2.7332233773149373e-05
2026-04-21,2026-04-22,1.2837359142150246e-05,3.926152994336607e-05,2.2041208052673242e-05
2026-04-22,2026-04-23,5.497409441636991e-05,2.5819078810988146e-05,3.130852682768719e-05
2026-04-23,2026-04-24,1.5921419355061234e-05,3.562835405277083e-05,2.1758497021900342e-05
2026-04-24,2026-04-27,1.1648704293849265e-05,2.9902011182952218e-05,1.8971146905233426e-05
2026-04-27,2026-04-28,1.3968193988795509e-05,2.508123742578073e-05,2.437112354967598e-05
2026-04-28,2026-04-29,2.4229022895581713e-05,1.932356629392248e-05,2.7007514520201876e-05
2026-04-29,2026-04-30,2.373134419932133e-05,2.270120764653586e-05,2.3392005364634412e-05
2026-04-30,2026-05-01,2.0962877609056692e-05,2.0408776454034215e-05,2.6070344890885395e-05
2026-05-01,2026-05-04,3.2473320654326834e-05,2.0802007032789066e-05,1.9735026508635978e-05
2026-05-04,2026-05-05,9.433060705648705e-06,2.645109193542373e-05,3.058595992145949e-05
2026-05-05,2026-05-06,1.1141032313705218e-05,1.933950365626777e-05,1.1082709104968918e-05
2026-05-06,2026-05-07,3.109581643585981e-05,1.5837128913799805e-05,1.6710324156559607e-05
2026-05-07,2026-05-08,1.058674379149999e-05,1.9625200869219362e-05,2.017440255403835e-05
2026-05-08,2026-05-11,1.3712111186874957e-05,1.4935671820469918e-05,1.8734179778507118e-05
2026-05-11,2026-05-12,2.5112584230930963e-05,1.32703300545221e-05,1.3209595714181526e-05
2026-05-12,2026-05-13,1.749303414778288e-05,1.702697958725496e-05,2.1365551629490807e-05
2026-05-13,2026-05-14,1.6924481859604795e-05,1.754683493194956e-05,1.7569349102695462e-05
2026-05-14,2026-05-15,4.108876939867891e-05,1.6218672103690566e-05,1.8214326996418114e-05
2026-05-15,2026-05-18,7.762443962275751e-05,2.2367171764244725e-05,2.4477926532211624e-05
2026-05-18,2026-05-19,5.0632542284673274e-05,3.523230894235418e-05,2.8986751938189933e-05
2026-05-19,2026-05-20,3.652493088016241e-05,3.808571302158571e-05,4.342087580178499e-05
2026-05-20,2026-05-21,2.866248349928421e-05,3.942136373818899e-05,2.8840848888500826e-05
2026-05-21,2026-05-22,1.9387462694292524e-05,3.897740414653744e-05,2.1290664169530762e-05
2026-05-22,2026-05-26,1.2680584509494053e-05,3.068089707792016e-05,2.139630330882442e-05
2026-05-26,2026-05-27,2.0940996514754045e-05,2.154233532452422e-05,2.859692223613498e-05
2026-05-27,2026-05-28,1.9504524984544662e-05,2.239321604550741e-05,2.3697305780425584e-05
2026-05-28,2026-05-29,1.7616561383329134e-05,2.0934706181525155e-05,1.0425425110995318e-06
2026-05-29,2026-06-01,1.4760127039437563e-05,1.958618752084734e-05,2.0347748829860706e-05
2026-06-01,2026-06-02,7.1177385068770215e-06,1.810327405646465e-05,1.700524676079973e-05
2026-06-02,2026-06-03,2.0710317997125807e-05,1.3812998759593295e-05,1.3301048251438559e-05
2026-06-03,2026-06-04,1.1968612739916118e-05,1.780891002124756e-05,1.9848878049341447e-05
2026-06-04,2026-06-05,6.548429660439194e-05,1.4764865906233932e-05,1.8117744858041568e-05
2026-06-05,2026-06-08,5.932594929423991e-05,2.516509381739039e-05,2.7947102543628413e-05
2026-06-08,2026-06-09,0.0002547046219247243,3.068239470564706e-05,3.146621439914985e-05
2026-06-09,2026-06-10,0.0001172986930429901,7.382122165951729e-05,8.830618312128581e-05
2026-06-10,2026-06-11,0.00020544095318529866,6.601558944713783e-05,7.168585483646182e-05
2026-06-11,2026-06-12,0.00012795813607747574,0.00011302021418940892,3.869018437577932e-05
2026-06-12,2026-06-15,1.2068517584644386e-05,9.923334955776802e-05,0.0001019800429487259
2026-06-15,2026-06-16,1.9436731528361037e-05,2.4992694274157154e-05,2.6020534580817884e-05
2026-06-16,2026-06-17,0.00015238620562337465,2.787302801491203e-05,3.2709024090469075e-05
2026-06-17,2026-06-18,3.0046415725902816e-05,7.131946558743526e-05,2.903436734948916e-05
2026-06-18,2026-06-22,4.7439024975608744e-05,3.4596306311207687e-05,4.271251891009362e-05
