Date,SPY,QQQ,IWM,EFA
2003-01-02,57.82938801380153,20.625076027036542,28.05784203933291,17.535621689973663
2003-01-03,59.10955464129025,21.325225038804568,28.522584830725403,17.80385591655549
2003-01-06,59.54717192623155,21.257742290601957,28.684875102697664,17.78796789447524
2003-01-07,60.21987335629933,22.143485133952776,28.636923515531628,17.69267485204264
2003-01-08,59.46877126186255,21.79761334477287,28.474633642584635,17.417388608712614
2003-01-09,59.70391492364112,22.11817404246383,28.762320442723105,17.54267708980132
2003-01-10,59.95865409251071,22.118171391123497,28.662741524278054,17.64856014589202
2003-01-13,60.37664837108696,22.548380109927646,28.83610092894946,17.694441286904706
2003-01-14,60.35703644949136,22.64962255688595,28.961494447539717,17.752674598077114
2003-01-15,60.03050840734187,22.42185787440237,28.825025330523353,17.676786637918497
2003-01-16,59.730044828213444,22.143487223325344,28.90985913715447,17.735036114039804
2003-01-17,58.880926419163785,21.31678711329575,28.363970254383002,17.562083760746024
2003-01-21,58.09717607965134,21.105904022451206,28.06150570622126,17.258566449664496
2003-01-22,57.47668565319023,20.979368390129824,27.832841075430597,17.011509882357302
2003-01-23,57.444042411111155,21.18182288665505,27.873415524061272,17.119151756595375
2003-01-24,56.28144609220816,20.78535350656273,27.43449592590332,16.944454871788466
2003-01-27,55.190681634488584,20.55758293095819,26.973443816110226,16.50151195694107
2003-01-28,55.60216798522176,20.599761784334433,26.811142885026882,16.517400181915853
2003-01-29,55.3670025242895,20.532282424206425,26.73368160624336,16.455634164947085
2003-01-30,55.125357343017974,20.658810061235272,26.914425879426513,16.526222904807298
2003-01-31,54.962091752196876,20.253906574881622,26.79640395934885,16.519163903480443
2003-02-03,56.11815102016043,20.566021230225243,27.017702916761127,16.810336175160558
2003-02-04,55.06008394623524,20.09362997729713,26.72262790263287,16.625046227389145
2003-02-05,55.1776170576614,20.25390682329062,26.811157614047815,16.730924127960964
2003-02-06,54.63549258892613,20.12736805064363,26.656236264289866,16.483872795869697
2003-02-07,54.19138141089541,19.950223957898405,26.29108359878777,16.340935652576626
2003-02-10,53.982363384858125,19.924910758432897,26.14723809304064,16.26152264034683
2003-02-11,54.099931974939246,20.17798107853893,26.20256000059044,16.42033877060472
2003-02-12,53.61661321885926,20.059884413526753,26.0660869815288,16.325050354003906
2003-02-13,52.90466781837946,19.671838674386713,25.79683388564938,16.34622200038752
2003-02-14,53.440254824630166,19.924916137787825,26.007066675134258,16.51034554124662
2003-02-18,55.118817647904976,20.819091392591673,26.501321783343776,16.852687537905776
2003-02-19,55.046988297722386,20.844396765239583,26.30951554461985,16.570343017578125
2003-02-20,54.89677510456711,20.954055067994325,26.335351911871083,16.563286974779725
2003-02-21,54.511410292751975,20.67567568282748,26.24311891379161,16.53504976723387
2003-02-24,54.59632531299406,20.84439397331357,26.26157339244016,16.489168417588107
