code,ticker,name,sector,n_obs,n_events,n_dropped_outliers,theta0,theta1,theta2,theta2_se,theta2_t,omega_g,alpha,gamma,beta,persistence,loglik,tau_at_event,tau_nonevent,tau_jump_pct,earnings_freq_per_year,data_start,data_end,marketCap,log_mktcap,beta_info,beta_rolling_0050,log_avg_volume,price_volatility,ind_momentum
2330,2330.TW,TSMC,foundry,3911,60,0,8.666617411640635e-05,1.9020735121262981e-07,6.05283061585334e-05,7.401979314775231e-05,0.8177313605525985,0.050302639045416,0.0503020398006826,0.0503020398041564,0.902421160806561,0.9778742205093218,10783.476199536455,0.0002181164058182,0.0001599744419241,36.344533035939456,3.753854059609455,2010-01-05,2025-12-30,51346396938240.0,31.56961588310792,1.251,1.1312499667485048,17.310857454898457,0.3272846187785044,0.08716104800599789
2303,2303.TW,UMC,foundry,3911,60,0,0.0001710303607452,2.474102853981771e-07,0.0004312949123237,0.0001209852780683,3.564854494777139,0.0492773631261011,0.0492788894285448,0.0492783479241538,0.8942170923534223,0.968135155744044,10194.655889113536,0.0006963723508173,0.0002663573636016,161.44287561681062,3.753854059609455,2010-01-05,2025-12-30,760324620288.0,27.35701131098979,1.011,0.904856100478001,17.660783365029012,0.2714669890772652,-0.11145267150396143
6239,6239.TW,Powertech,foundry,3911,60,0,0.0001970388679911,2.249987157724847e-07,-0.0001600257195837,9.808106347761989e-06,-16.31565909970173,0.0491998808741144,0.0492014651718506,0.0492014651814125,0.893598919384514,0.9674011171470708,10072.63947073487,0.0001344792324261,0.0002835447074197,-52.57212393419455,3.753854059609455,2010-01-05,2025-12-30,161427144704.0,25.807319761441615,1.301,0.7238896603436128,15.708060294920752,0.4206359865284757,0.24560949468924642
2454,2454.TW,MediaTek,fabless,3911,59,0,0.0099999942278969,1.7544139719249506e-05,-0.0016094254716869,0.0025207794959158,-0.6384634095503252,0.0047602895685733,0.0294697788626377,0.0733520426401067,0.779357869054123,0.8455036692368141,9424.236296963629,0.0151430003278155,0.0167584367750448,-9.639541377957215,3.691289825282631,2010-01-05,2025-12-30,2593679212544.0,28.584098529003697,1.152,1.0744893198098298,15.736007877950206,0.3700490658198536,-0.31252319173155163
2379,2379.TW,Realtek,fabless,3911,60,0,0.0099953698507474,2.251420301562539e-05,-0.0023851532834206,0.002447040724089,-0.974709272281741,0.0010830938820144,0.0400498071084428,0.0001,0.9193487083685816,0.9594485154770244,9502.974195214383,0.0163179029006883,0.0186677473532839,-12.58772367187737,3.753854059609455,2010-01-05,2025-12-30,269612777472.0,26.320252609045472,0.688,0.9535863564476776,14.61708738422329,0.29918082314953115,-0.42357979283960534
3034,3034.TW,Novatek,fabless,3911,60,0,0.0002879023562769,2.303586678931041e-07,0.0007022742334676,0.0001872082564611,3.75129947120352,0.0488869656196031,0.0488887055416652,0.0488884432917281,0.8910921852554832,0.9644251124430124,9599.704411562305,0.0010927205364745,0.0003764260107146,190.2882652556317,3.753854059609455,2010-01-05,2025-12-30,240057991168.0,26.204146360967275,0.686,0.890911894413611,14.800662653419336,0.25504623261977366,-0.5265091506094851
3035,3035.TW,FarEastone Info,fabless,3911,60,0,0.0003014756135905,3.9148040024900786e-07,0.001198849780534,0.0002732457986267,4.387440855665678,0.0640559485105645,0.0526543939623164,0.0477660360391454,0.8902302690011697,0.966767680983059,8578.772874885302,0.0016521551438108,0.0004522657071678,265.30630503841746,3.753854059609455,2010-01-05,2025-12-30,38821998592.0,24.382252896927216,0.935,1.0057655659746612,15.54679849939384,0.46107209676556543,-0.6504460276757311
3443,3443.TW,GlobalWafer,fabless,3911,60,0,0.0001843014891744,6.105732003602325e-07,-9.625326995477356e-05,2.567526347462235e-05,-3.7488717515951153,0.0504812718865466,0.050480319116583,0.0504803190542669,0.9038502534716288,0.9795707321153452,8524.01925896481,0.0003266334939937,0.0004194537738299,-22.128846043909977,3.753854059609455,2010-01-05,2025-12-30,373890678784.0,26.6472292889156,0.963,1.0593689803666937,14.68206674154532,0.5412246969140143,0.05105082932405569
2388,2388.TW,VIA Tech,fabless,3911,60,0,0.0011444809868237,8.399528137569688e-07,-0.0001047354717416,0.0002318884243728,-0.4516632170186851,0.065078144244439,0.0838531409977769,0.1011151029670674,0.7842681258421924,0.9186788183235032,8005.821168639162,0.0014019790202988,0.0014674450859569,-4.461227631928261,3.753854059609455,2010-01-05,2025-12-30,30901919744.0,24.15408414655781,0.695,0.8398354025471882,15.223303473651074,0.4565710457764263,-0.833683949025974
2881,2881.TW,Fubon FH,financials,3911,60,0,5.067658864871493e-05,1.860072987964056e-07,-2.887392344319212e-05,7.1666287627172294e-06,-4.028940858971543,0.050144369695652,0.0501440838394539,0.0501440838393786,0.9011549806887216,0.976371106447865,11325.764556727394,9.44280021412424e-05,0.0001223151647174,-22.79943181259984,3.753854059609455,2010-01-05,2025-12-30,1217239973888.0,27.8276070952844,0.675,0.7595485148862253,16.98423889625094,0.2621179315657789,-0.2200210469785231
