week_end,obs_date,release_date,value
1985-01-04,1985-01-03,1985-01-04,735.81
1985-01-11,1985-01-10,1985-01-11,397.23
1985-01-18,1985-01-17,1985-01-18,375.29
1985-01-25,1985-01-24,1985-01-25,248.35
1985-02-01,1985-01-31,1985-02-01,125.56
1985-02-08,1985-02-07,1985-02-08,115.99
1985-02-15,1985-02-14,1985-02-15,121.82
1985-02-22,1985-02-21,1985-02-22,118.23
1985-03-01,1985-02-28,1985-03-01,118.18
1985-03-08,1985-03-07,1985-03-08,106.63
1985-03-15,1985-03-14,1985-03-15,109.09
1985-03-22,1985-03-21,1985-03-22,216.52
1985-03-29,1985-03-28,1985-03-29,112.41
1985-04-05,1985-04-04,1985-04-05,471.9
1985-04-12,1985-04-11,1985-04-12,95.82
1985-04-19,1985-04-18,1985-04-19,96.48
1985-04-26,1985-04-25,1985-04-26,98.2
1985-05-03,1985-05-02,1985-05-03,288.6
1985-05-10,1985-05-09,1985-05-10,289.11
1985-05-17,1985-05-16,1985-05-17,93.66
1985-05-24,1985-05-23,1985-05-24,90.91
1985-05-31,1985-05-30,1985-05-31,96.79
1985-06-07,1985-06-06,1985-06-07,274.11
1985-06-14,1985-06-13,1985-06-14,90.39
1985-06-21,1985-06-20,1985-06-21,92.25
1985-06-28,1985-06-27,1985-06-28,93.08
1985-07-05,1985-07-04,1985-07-05,134.39
1985-07-12,1985-07-11,1985-07-12,272.45
1985-07-19,1985-07-18,1985-07-19,89.85
1985-07-26,1985-07-25,1985-07-26,86.36
1985-08-02,1985-08-01,1985-08-02,89.13
1985-08-09,1985-08-08,1985-08-09,335.46
1985-08-16,1985-08-15,1985-08-16,263.74
1985-08-23,1985-08-22,1985-08-23,166.69
1985-08-30,1985-08-29,1985-08-30,245.03
1985-09-06,1985-09-05,1985-09-06,82.55
1985-09-13,1985-09-12,1985-09-13,86.09
1985-09-20,1985-09-19,1985-09-20,86.39
1985-09-27,1985-09-26,1985-09-27,85.06
1985-10-04,1985-10-03,1985-10-04,82.68
1985-10-11,1985-10-10,1985-10-11,78.56
1985-10-18,1985-10-17,1985-10-18,80.92
1985-10-25,1985-10-24,1985-10-25,73.4
1985-11-01,1985-10-31,1985-11-01,280.97
1985-11-08,1985-11-07,1985-11-08,68.76
1985-11-15,1985-11-14,1985-11-15,70.5
1985-11-22,1985-11-21,1985-11-22,70.06
1985-11-29,1985-11-28,1985-11-29,80.43
1985-12-06,1985-12-05,1985-12-06,70.76
1985-12-13,1985-12-12,1985-12-13,67.31
1985-12-20,1985-12-19,1985-12-20,214.02
1985-12-27,1985-12-26,1985-12-27,106.42
1986-01-03,1986-01-02,1986-01-03,254.6
1986-01-10,1986-01-09,1986-01-10,192.06
1986-01-17,1986-01-16,1986-01-17,61.69
1986-01-24,1986-01-23,1986-01-24,59.48
1986-01-31,1986-01-30,1986-01-31,60.72
1986-02-07,1986-02-06,1986-02-07,245.8
1986-02-14,1986-02-13,1986-02-14,59.25
1986-02-21,1986-02-20,1986-02-21,492.04
1986-02-28,1986-02-27,1986-02-28,64.43
1986-03-07,1986-03-06,1986-03-07,58.74
1986-03-14,1986-03-13,1986-03-14,56.81
1986-03-21,1986-03-20,1986-03-21,113.53
1986-03-28,1986-03-27,1986-03-28,297.28
1986-04-04,1986-04-03,1986-04-04,61.11
1986-04-11,1986-04-10,1986-04-11,56.97
1986-04-18,1986-04-17,1986-04-18,57.56
1986-04-25,1986-04-24,1986-04-25,57.77
1986-05-02,1986-05-01,1986-05-02,470.05
1986-05-09,1986-05-08,1986-05-09,116.67
1986-05-16,1986-05-15,1986-05-16,574.41
1986-05-23,1986-05-22,1986-05-23,54.93
1986-05-30,1986-05-29,1986-05-30,171.59
1986-06-06,1986-06-05,1986-06-06,56.42
1986-06-13,1986-06-12,1986-06-13,56.88
1986-06-20,1986-06-19,1986-06-20,119.18
1986-06-27,1986-06-26,1986-06-27,114.13
1986-07-04,1986-07-03,1986-07-04,173.8
1986-07-11,1986-07-10,1986-07-11,119.31
1986-07-18,1986-07-17,1986-07-18,60.62
1986-07-25,1986-07-24,1986-07-25,181.7
1986-08-01,1986-07-31,1986-08-01,182.35
1986-08-08,1986-08-07,1986-08-08,59.13
1986-08-15,1986-08-14,1986-08-15,57.8
1986-08-22,1986-08-21,1986-08-22,116.87
1986-08-29,1986-08-28,1986-08-29,167.68
1986-09-05,1986-09-04,1986-09-05,56.9
1986-09-12,1986-09-11,1986-09-12,225.63
1986-09-19,1986-09-18,1986-09-19,229.03
1986-09-26,1986-09-25,1986-09-26,55.63
1986-10-03,1986-10-02,1986-10-03,56.74
