week_end,obs_date,release_date,value
1987-06-12,1987-06-11,1987-06-12,53.69
1987-06-19,1987-06-18,1987-06-19,55.65
1987-06-26,1987-06-25,1987-06-26,36.18
1987-07-03,1987-07-02,1987-07-03,34.77
1987-07-10,1987-07-09,1987-07-10,52.68
1987-07-17,1987-07-16,1987-07-17,51.44
1987-07-24,1987-07-23,1987-07-24,35.47
1987-07-31,1987-07-30,1987-07-31,35.05
1987-08-07,1987-08-06,1987-08-07,51.55
1987-08-14,1987-08-13,1987-08-14,84.99
1987-08-21,1987-08-20,1987-08-21,50.86
1987-08-28,1987-08-27,1987-08-28,17.22
1987-09-04,1987-09-03,1987-09-04,49.02
1987-09-11,1987-09-10,1987-09-11,80.98
1987-09-18,1987-09-17,1987-09-18,64.52
1987-09-25,1987-09-24,1987-09-25,49.87
1987-10-02,1987-10-01,1987-10-02,64.37
1987-10-09,1987-10-08,1987-10-09,64.43
1987-10-16,1987-10-15,1987-10-16,48.16
1987-10-23,1987-10-22,1987-10-23,128.42
1987-10-30,1987-10-29,1987-10-30,139.5
1987-11-06,1987-11-05,1987-11-06,186.59
1987-11-13,1987-11-12,1987-11-13,83.7
1987-11-20,1987-11-19,1987-11-20,141.18
1987-11-27,1987-11-26,1987-11-27,158.12
1987-12-04,1987-12-03,1987-12-04,97.09
1987-12-11,1987-12-10,1987-12-11,30.95
1987-12-18,1987-12-17,1987-12-18,130.54
1987-12-25,1987-12-24,1987-12-25,55.8
1988-01-01,1987-12-31,1988-01-01,95.62
1988-01-08,1988-01-07,1988-01-08,31.78
1988-01-15,1988-01-14,1988-01-15,75.8
1988-01-22,1988-01-21,1988-01-22,75.47
1988-01-29,1988-01-28,1988-01-29,44.51
1988-02-05,1988-02-04,1988-02-05,60.38
1988-02-12,1988-02-11,1988-02-12,29.97
1988-02-19,1988-02-18,1988-02-19,75.45
1988-02-26,1988-02-25,1988-02-26,29.81
1988-03-04,1988-03-03,1988-03-04,73.78
1988-03-11,1988-03-10,1988-03-11,119.48
1988-03-18,1988-03-17,1988-03-18,43.71
1988-03-25,1988-03-24,1988-03-25,44.1
1988-04-01,1988-03-31,1988-04-01,61.3
1988-04-08,1988-04-07,1988-04-08,14.51
1988-04-15,1988-04-14,1988-04-15,71.58
1988-04-22,1988-04-21,1988-04-22,27.97
1988-04-29,1988-04-28,1988-04-29,70.71
1988-05-06,1988-05-05,1988-05-06,71.29
1988-05-13,1988-05-12,1988-05-13,129.63
1988-05-20,1988-05-19,1988-05-20,44.43
1988-05-27,1988-05-26,1988-05-27,100.06
1988-06-03,1988-06-02,1988-06-03,75.41
1988-06-10,1988-06-09,1988-06-10,88.11
1988-06-17,1988-06-16,1988-06-17,58.44
1988-06-24,1988-06-23,1988-06-24,58.26
1988-07-01,1988-06-30,1988-07-01,74.01
1988-07-08,1988-07-07,1988-07-08,76.74
1988-07-15,1988-07-14,1988-07-15,74.24
1988-07-22,1988-07-21,1988-07-22,70.76
1988-07-29,1988-07-28,1988-07-29,75.69
1988-08-05,1988-08-04,1988-08-05,43.92
1988-08-12,1988-08-11,1988-08-12,73.31
1988-08-19,1988-08-18,1988-08-19,84.82
1988-08-26,1988-08-25,1988-08-26,43.73
1988-09-02,1988-09-01,1988-09-02,68.15
1988-09-09,1988-09-08,1988-09-09,57.51
1988-09-16,1988-09-15,1988-09-16,28.46
1988-09-23,1988-09-22,1988-09-23,68.1
1988-09-30,1988-09-29,1988-09-30,52.53
1988-10-07,1988-10-06,1988-10-07,69.91
1988-10-14,1988-10-13,1988-10-14,59.06
1988-10-21,1988-10-20,1988-10-21,69.82
1988-10-28,1988-10-27,1988-10-28,70.28
1988-11-04,1988-11-03,1988-11-04,27.09
1988-11-11,1988-11-10,1988-11-11,130.04
1988-11-18,1988-11-17,1988-11-18,125.54
1988-11-25,1988-11-24,1988-11-25,98.9
1988-12-02,1988-12-01,1988-12-02,72.5
1988-12-09,1988-12-08,1988-12-09,28.79
1988-12-16,1988-12-15,1988-12-16,13.98
1988-12-23,1988-12-22,1988-12-23,15.36
1988-12-30,1988-12-29,1988-12-30,83.31
1989-01-06,1989-01-05,1989-01-06,65.45
1989-01-13,1989-01-12,1989-01-13,62.26
1989-01-20,1989-01-19,1989-01-20,12.09
1989-01-27,1989-01-26,1989-01-27,82.35
1989-02-03,1989-02-02,1989-02-03,35.46
1989-02-10,1989-02-09,1989-02-10,11.78
1989-02-17,1989-02-16,1989-02-17,57.78
