date,actual,lagged_rv,lagged_rk,HAR,HAR_RK
2026-03-27,7.411676364872067e-05,5.654937875201545e-05,3.2506803581503148,7.105146302817225e-05,7.15546037144091e-05
2026-03-30,7.793085376463754e-05,5.934861169129148e-05,2.7411961245107723,7.612108042244382e-05,7.692438401245844e-05
2026-03-31,6.094073723780589e-05,0.00012435853062228367,5.045205466302389,7.339929895314163e-05,7.300383277866118e-05
2026-04-01,6.0772450659326846e-05,3.3461588428546954e-05,6.3875065332056975,7.502175859821057e-05,7.379846732371136e-05
2026-04-02,4.07092226178112e-05,0.00011325590111895003,12.586210493323962,6.672172070275227e-05,6.135051891868217e-05
2026-04-06,3.796398928242022e-05,4.015918638253125e-05,7.385617626104359,6.716038744130097e-05,5.878279780071837e-05
2026-04-07,2.5365750924687254e-05,7.84190622708758e-05,5.775933291347877,6.277154136031965e-05,4.7743466515949454e-05
2026-04-08,2.2145126657832143e-05,3.9407947988125415e-05,6.515405213502856,6.749175060983643e-05,4.341614854783714e-05
2026-04-09,2.089501565504783e-05,3.262015553615173e-05,4.555486101844394,6.162506804040996e-05,3.6392716344544826e-05
2026-04-10,2.2335064230097995e-05,1.2939760911371794e-05,3.104892883754387,6.598699054652993e-05,6.218036528218944e-05
2026-04-13,2.0224088844494504e-05,2.6433019705576352e-05,10.161600858483865,6.298629183909005e-05,6.257351001166623e-05
2026-04-14,2.8670047928073214e-05,1.5427870482210978e-05,3.275817395580693,5.759706848188516e-05,6.150085330398138e-05
2026-04-15,2.6576554425733287e-05,2.3304826653849877e-05,9.089377273215034,5.5106305196981955e-05,5.2998957165936507e-05
2026-04-16,3.229745320456124e-05,2.6369600522230153e-05,7.126404014063493,4.936913802569611e-05,4.0226405596001396e-05
2026-04-17,3.145373631824897e-05,2.0140003786622597e-05,4.419853192796262,4.5055912714041195e-05,3.6766638316204154e-05
2026-04-20,3.0607848621507044e-05,1.5878142777558913e-05,3.2824143868462103,4.182620725857602e-05,4.907136263180239e-05
2026-04-21,2.1869954239245235e-05,5.765766590010454e-05,9.953040790235235,5.23082730659557e-05,3.4226888755077515e-05
2026-04-22,2.4148286989931528e-05,1.2837359142150246e-05,3.0285828301243183,4.237118885583344e-05,4.229382257359035e-05
2026-04-23,1.789973694652181e-05,5.497409441636991e-05,6.087306883589349,5.2907157672796464e-05,4.312974988382779e-05
2026-04-24,1.8908028597320905e-05,1.5921419355061234e-05,9.499742283482911,4.658742533471962e-05,3.0127734508752585e-05
2026-04-27,2.3072951869416416e-05,1.1648704293849265e-05,5.95012530142977,4.389115708532308e-05,2.6188743986834054e-05
2026-04-28,2.2165925212787056e-05,1.3968193988795509e-05,3.3263463627714875,3.897390129399906e-05,3.7350038806032335e-05
2026-04-29,1.9548327096411754e-05,2.4229022895581713e-05,4.104626886301367,4.3253927720027685e-05,3.35064875726042e-05
2026-04-30,2.1021221543719453e-05,2.373134419932133e-05,3.6608390775941597,3.733918799946795e-05,3.6804860283500946e-05
2026-05-01,1.894599478020811e-05,2.0962877609056692e-05,6.351569604135516,3.860181275240456e-05,3.9125972597984256e-05
2026-05-04,1.5193752886717734e-05,3.2473320654326834e-05,4.054964927957274,4.24862200008734e-05,4.288020273411037e-05
2026-05-05,1.832965759177419e-05,9.433060705648705e-06,7.363504539208026,3.568095183440258e-05,2.6677930895895347e-05
2026-05-06,1.9600057958589722e-05,1.1141032313705218e-05,4.3314809849851414,3.2085558108428764e-05,2.5840193800892638e-05
2026-05-07,1.6765791043338715e-05,3.109581643585981e-05,3.9628506776678822,3.70073384973705e-05,2.408818715713156e-05
2026-05-08,2.2866196164774502e-05,1.058674379149999e-05,2.8991173468964924,2.823366412100525e-05,2.7751828112537466e-05
2026-05-11,3.564866185195101e-05,1.3712111186874957e-05,4.340866782538922,2.580945424189414e-05,2.4552504148053458e-05
