date,actual,lagged_rv,lagged_rk,HAR,HAR_RK
2026-04-14,5.634157103546749e-05,6.677305852420617e-05,5.126536357412851,6.375590691697071e-05,6.526897843489943e-05
2026-04-15,0.00011866496422927096,7.810373711105546e-05,3.9174234935443457,6.847812240431546e-05,7.392828386024548e-05
2026-04-16,0.00016015755020349273,7.102362859225025e-05,7.53323675165194,7.751605886957673e-05,7.769009972595328e-05
2026-04-17,0.00019506545398382342,3.1705739231876574e-05,3.7295309301301263,7.728316364818497e-05,7.753248596373794e-05
2026-04-21,0.00020006400863154544,6.967309962058372e-05,4.332167626868082,8.889926368571275e-05,8.845556587807467e-05
2026-04-22,0.00021528938137955925,3.1201650621571465e-05,3.245030717024284,8.731257305514395e-05,8.965363301367959e-05
2026-04-23,0.00016107766855779168,0.0003897207030800728,5.598487401879488,0.00010313700351322787,0.00010413791309863133
2026-04-24,0.0001236477618262349,0.0002784865584633591,6.487266967682382,0.00011925748721350446,0.00011961396896350434
2026-04-27,8.90244432217502e-05,0.00020624525813353007,5.241841433198422,0.00012332066727580233,0.00011765491933302104
2026-04-28,0.00011135244472669148,9.466587285919382e-05,5.244865615622137,0.00011835425343535054,0.00010927042357354793
2026-04-29,0.00010201938355800061,0.00010732851436164045,6.72818098938129,0.00012040050491100427,0.00010441260752517256
2026-04-30,9.876123477442536e-05,0.00011866213897123483,6.527138816364566,0.00010931747942854653,9.44305642274735e-05
2026-05-04,8.581739759928806e-05,9.133702480557538e-05,6.8460738313886225,9.96281921455496e-05,8.529978288412782e-05
2026-05-05,0.00010293762685319904,3.3128665111106536e-05,5.736287078801186,8.705656316922321e-05,7.319732706936534e-05
2026-05-06,7.67991351149214e-05,0.00020630588038390014,6.622520550646672,9.820173849327279e-05,8.4130082819876e-05
2026-05-07,8.088083343533095e-05,6.066320851818619e-05,4.455673835613327,9.183981969361306e-05,8.16656128335506e-05
2026-05-08,8.344747336077086e-05,0.00010237139505335862,3.4438414138658806,9.212941236947137e-05,8.672686523605181e-05
2026-05-11,9.982382112336732e-05,2.6617838929888804e-05,5.080766180984312,8.67336207853188e-05,8.367525278529052e-05
2026-05-12,8.871497881518547e-05,0.00011872981138066134,4.153396617918231,9.278252746683716e-05,9.271946612581808e-05
2026-05-13,8.99965818040205e-05,7.561342169251204e-05,2.8534468190972087,8.432820307655218e-05,8.979671149374454e-05
2026-05-14,8.495204160282777e-05,8.107170012023387e-05,5.534887857746135,8.517570206840462e-05,8.838493882184867e-05
2026-05-15,7.384545780345317e-05,0.00011520459468055829,3.264663913674538,8.526693293710049e-05,8.856501583312042e-05
2026-05-18,6.08160595926526e-05,0.00010849957774287113,2.9092799972670162,8.841705517534193e-05,9.676341755049363e-05
2026-05-19,6.60436951735561e-05,6.318559983975199e-05,3.2916278533785763,8.461351533122097e-05,9.291712210778006e-05
2026-05-20,7.45471680377874e-05,8.202143663668725e-05,3.8747782611394763,8.4147945998444e-05,8.95038101461821e-05
2026-05-21,0.0001593604152196297,5.5848999114270224e-05,3.5198269984576736,8.192597401871853e-05,9.001171587144356e-05
2026-05-22,0.00016804045358233982,5.967167568368526e-05,4.124016824295644,8.156403534845154e-05,8.939767267655118e-05
2026-05-25,0.0001811573173919511,4.335258668886833e-05,5.896119579877785,8.117603587130725e-05,8.342274127636768e-05
2026-05-26,0.00019050863471501705,8.932377774426944e-05,8.517749544437525,9.04802402520098e-05,8.766587529375396e-05
2026-05-27,0.00017667253396262895,0.00012453880095784374,3.7774688162675685,9.823609162825625e-05,8.651903714085042e-05
2026-05-28,9.073609901663728e-05,0.00047991523502348177,5.3105406268717,0.00010868229387438223,0.00010066403068123709
2026-05-29,0.00011098796392831018,0.00010307186749723591,7.074661280902553,0.00010371394771335656,9.830328304073904e-05
2026-06-01,0.00014472934663362641,0.00010893690573692458,7.228991651928405,0.0001053859352906314,9.942956963294253e-05
2026-06-02,0.0001374371022527651,0.0001360803643595992,2.9341505498509384,0.00010906637346742722,9.855027952261892e-05
2026-06-03,0.00015170353564161043,5.535829719590328e-05,3.6581631590585793,0.00010991208918078664,0.00010619825108780792
2026-06-04,0.0002010927989068569,5.023306029352343e-05,2.524194505608877,0.00010023348667562737,9.351744597054857e-05
2026-06-05,0.00017802055652611944,0.0002043311920556004,7.813142247830279,0.00010206601595676626,0.00010356547411222718
2026-06-08,0.00013357605347234374,0.0002776438192635058,4.281446896800876,0.00010843372735929799,0.00011106412363460422
