market,n_common_valid,oos_start,oos_end,qlike_prg_tminus1_exp,qlike_prg_tminus1_lag,qlike_gjr,qlike_har,qlike_prg_canonical_diag,dm_t_exp_vs_gjr,dm_p_exp_vs_gjr,dm_t_exp_vs_har,dm_t_lag_vs_gjr,dm_t_lag_vs_har,dm_t_gjr_vs_har,winner
SPY,1823,2019-01-02,2026-04-02,0.858675074181862,0.868192223243056,0.854204525847525,1.4635223871445977,0.7569888945223017,0.3035926524755739,0.7614729130368856,-6.792744721193656,0.8581750276190129,-6.685695653713039,-6.882547025133349,GJR
QQQ,1981,2018-05-16,2026-04-02,0.8687722015359467,0.8806772177656864,0.8272560129406015,1.3680547524561146,0.7679551820747412,2.4637006785414304,0.013835550332981006,-7.427886393158358,2.774031001484531,-7.317079380125076,-8.535426554743044,GJR
GLD,1613,2019-10-31,2026-04-02,0.8985720980599681,0.9008878850877431,0.9001303172448863,1.5172840257333413,0.8342188410185247,-0.17239050059427533,0.863152179905117,-6.603596277098307,0.08254698069332288,-6.561577531904913,-6.564426316293166,PRG_tminus1_exp
EEM,1734,2019-05-10,2026-04-02,0.7818982917349425,0.7885864098547335,0.7883481812137041,1.2349774240174118,0.6573530214159495,-0.5653347279702056,0.5719192911269693,-5.6627617390492135,0.018276080743847987,-5.545917005096339,-5.826902645762532,PRG_tminus1_exp
0050.TW,1251,2021-01-08,2026-04-02,0.9731987754717462,0.9859844793711107,0.9687072104011141,3.189008067856377,0.7880350948437578,0.20847905959398577,0.8348888960832119,-4.242169443793816,0.742635837651969,-4.231930077515699,-4.220506008073241,GJR
TAIFEX,843,2022-07-14,2025-12-31,0.24411904732321416,0.24947686857189028,0.255000905772963,0.2847935569173425,0.12093172883376502,-0.4916235040962466,0.6231136550628977,-1.8235563654840061,-0.22908538036200313,-1.7154109874689567,-0.7046950029811643,PRG_tminus1_exp
