Date,Adj Close,Close,High,Low,Open,Volume
2009-01-02,20.467864990234375,32.869998931884766,32.869998931884766,32.869998931884766,32.869998931884766,0
2009-01-05,22.78428077697754,36.59000015258789,36.59000015258789,30.56999969482422,35.16999816894531,26338
2009-01-06,22.771821975708008,36.56999969482422,36.59000015258789,33.93000030517578,36.59000015258789,24377
2009-01-07,20.05689239501953,32.209999084472656,34.869998931884766,32.209999084472656,34.70000076293945,16672
2009-01-08,18.780378341674805,30.15999984741211,33.810001373291016,30.15999984741211,33.599998474121094,31357
2009-01-09,20.0631160736084,32.220001220703125,32.52000045776367,32.02000045776367,32.43000030517578,18391
2009-01-12,21.289819717407227,34.189998626708984,34.189998626708984,31.600000381469727,31.6299991607666,13977
2009-01-13,20.33710289001465,32.65999984741211,34.189998626708984,31.65999984741211,34.189998626708984,11554
2009-01-14,21.65097999572754,34.77000045776367,34.77000045776367,32.4900016784668,32.65999984741211,13520
2009-01-15,19.303434371948242,31.0,34.77000045776367,30.950000762939453,34.77000045776367,29872
2009-01-16,18.680744171142578,30.0,31.389999389648438,30.0,31.200000762939453,14165
2009-01-19,21.00338363647461,33.72999954223633,33.72999954223633,31.3799991607666,31.450000762939453,8872
2009-01-20,20.449186325073242,32.84000015258789,32.84000015258789,30.530000686645508,30.6299991607666,27774
2009-01-21,18.992090225219727,30.5,30.549999237060547,30.010000228881836,30.399999618530273,29100
2009-02-02,20.573726654052734,33.040000915527344,33.040000915527344,30.399999618530273,30.399999618530273,7841
2009-02-03,19.596097946166992,31.469999313354492,31.649999618530273,30.719999313354492,30.719999313354492,16223
2009-02-04,19.733091354370117,31.690000534057617,31.84000015258789,29.270000457763672,29.270000457763672,16252
2009-02-05,19.57119369506836,31.43000030517578,33.900001525878906,31.389999389648438,33.900001525878906,14257
2009-02-06,20.0506649017334,32.20000076293945,32.54999923706055,31.770000457763672,31.770000457763672,22990
2009-02-09,21.65097999572754,34.77000045776367,34.77000045776367,29.950000762939453,29.950000762939453,28135
2009-02-10,21.781749725341797,34.97999954223633,34.97999954223633,32.400001525878906,32.54999923706055,17374
2009-02-11,19.25984764099121,30.93000030517578,34.97999954223633,30.93000030517578,34.97999954223633,14060
2009-02-12,21.551347732543945,34.61000061035156,34.61000061035156,32.25,33.130001068115234,17087
2009-02-13,20.723173141479492,33.279998779296875,34.61000061035156,30.09000015258789,34.61000061035156,17924
2009-02-16,22.124229431152344,35.529998779296875,35.529998779296875,33.029998779296875,33.279998779296875,9781
2009-02-17,20.200109481811523,32.439998626708984,35.529998779296875,32.2400016784668,35.529998779296875,12662
2009-02-18,18.81773567199707,30.219999313354492,32.54999923706055,30.219999313354492,31.0,13810
2009-02-19,21.93119239807129,35.220001220703125,35.220001220703125,31.940000534057617,32.18000030517578,15551
2009-02-20,21.383224487304688,34.34000015258789,34.34000015258789,32.0,32.29999923706055,24878
2009-02-23,20.200109481811523,32.439998626708984,34.34000015258789,29.860000610351562,34.34000015258789,15467
2009-02-24,21.42681121826172,34.40999984741211,34.40999984741211,31.65999984741211,31.799999237060547,22044
2009-02-25,20.38691520690918,32.7400016784668,32.95000076293945,32.400001525878906,32.5,19672
2009-02-26,20.424278259277344,32.79999923706055,33.0,32.560001373291016,32.7400016784668,23652
2009-02-27,20.57994842529297,33.04999923706055,33.09000015258789,30.510000228881836,30.510000228881836,11089
2009-03-02,19.88253402709961,31.93000030517578,35.36000061035156,31.75,35.36000061035156,37820
2009-03-03,19.894990921020508,31.950000762939453,34.15999984741211,31.299999237060547,34.15999984741211,18194
2009-03-04,20.393146514892578,32.75,32.75,29.719999313354492,29.719999313354492,25616
2009-03-05,20.829029083251953,33.45000076293945,35.040000915527344,33.0,35.040000915527344,22365
2009-03-06,22.429344177246094,36.02000045776367,36.02000045776367,31.110000610351562,31.110000610351562,14037
2009-03-09,20.748079299926758,33.31999969482422,33.70000076293945,32.970001220703125,33.70000076293945,9851
2009-03-10,20.84770965576172,33.47999954223633,35.650001525878906,33.02000045776367,35.650001525878906,7245
2009-03-11,21.327184677124023,34.25,35.81999969482422,33.86000061035156,35.81999969482422,32167
2009-03-12,21.20264434814453,34.04999923706055,36.63999938964844,33.95000076293945,36.63999938964844,19076
2009-03-13,21.794198989868164,35.0,35.349998474121094,31.670000076293945,31.670000076293945,41024
2009-03-16,22.124229431152344,35.529998779296875,35.619998931884766,35.060001373291016,35.060001373291016,38765
2009-03-17,22.522747039794922,36.16999816894531,38.0099983215332,35.29999923706055,38.0099983215332,32108
2009-03-18,22.47916603088379,36.099998474121094,36.310001373291016,35.93000030517578,36.0,21639
2009-03-19,22.354623794555664,35.900001525878906,36.59000015258789,35.0,35.0,35387
2009-03-20,22.05573081970215,35.41999816894531,38.40999984741211,35.380001068115234,38.40999984741211,36163
2009-03-23,22.771821975708008,36.56999969482422,36.56999969482422,35.41999816894531,35.41999816894531,19379
2009-03-24,23.28866195678711,37.400001525878906,37.5,34.02000045776367,34.02000045776367,24953
2009-03-25,23.550186157226562,37.81999969482422,38.060001373291016,35.0,35.0,16178
2009-03-26,23.72454261779785,38.099998474121094,40.459999084472656,37.630001068115234,40.459999084472656,36731
2009-03-27,23.519060134887695,37.77000045776367,40.7599983215332,35.439998626708984,40.7599983215332,24824
2009-03-30,22.59747314453125,36.290000915527344,40.40999984741211,35.130001068115234,40.40999984741211,33667
2009-03-31,22.815414428710938,36.63999938964844,37.2400016784668,33.75,33.75,16970
2009-04-02,24.0234375,38.58000183105469,38.58000183105469,35.0,35.0,18580
2009-04-03,24.0358943939209,38.599998474121094,38.86000061035156,35.880001068115234,35.880001068115234,18259
2009-04-06,24.154203414916992,38.790000915527344,39.33000183105469,35.900001525878906,36.0,14735
2009-04-07,24.16042709350586,38.79999923706055,38.79999923706055,38.20000076293945,38.790000915527344,8691
