Date,SPY,QQQ,IWM
2003-01-02,57.82936576147032,20.62506684698217,28.057832726623854
2003-01-03,59.10952440767376,21.325228794082932,28.522584830725403
2003-01-06,59.547183149960446,21.257742290601957,28.684854364524586
2003-01-07,60.21990749234562,22.143475740350084,28.636917839542626
2003-01-08,59.4687636608515,21.797626665283595,28.474618440900525
2003-01-09,59.70392619510433,22.118172169404716,28.762322334304663
2003-01-10,59.95866161860634,22.118176927361038,28.66273400041741
2003-01-13,60.37664837108696,22.54839335729177,28.83607827260451
2003-01-14,60.35703644949136,22.64961499229043,28.961500132659694
2003-01-15,60.03050081840607,22.421859770338305,28.825019659275355
2003-01-16,59.73003724607769,22.143485329683113,28.90985913715447
2003-01-17,58.88094159211549,21.31678711329575,28.363966457460695
2003-01-21,58.097157070278236,21.105902115864613,28.06152476467787
2003-01-22,57.47668565319023,20.97936458461346,27.832850609646265
2003-01-23,57.44400837296949,21.18181162200787,27.87341931967263
2003-01-24,56.28144989763148,20.78534593249831,27.434492111206055
2003-01-27,55.190685417844584,20.55758672077364,26.973434294990753
2003-01-28,55.60216041805035,20.599761784334433,26.811152271972016
2003-01-29,55.367028699162674,20.53228427012558,26.73368903775141
2003-01-30,55.125357343017974,20.658810061235272,26.914437287560762
2003-01-31,54.962069371988434,20.25390470109111,26.796407692346833
2003-02-03,56.11813581622818,20.566025027788207,27.017712408153127
2003-02-04,55.060034982461296,20.09362434277342,26.722637290364222
2003-02-05,55.17761325959843,20.253901117878502,26.81115192020096
2003-02-06,54.635519038850404,20.127373689967207,26.656222982685808
2003-02-07,54.19136244029821,19.950225852429924,26.29108359878777
2003-02-10,53.982352126029646,19.924914509604875,26.147217452859852
2003-02-11,54.09992440041257,20.17798485690582,26.202571314092875
2003-02-12,53.61659796192916,20.059886317672525,26.06608317652309
2003-02-13,52.90469408350865,19.67184424824242,25.796841437302998
2003-02-14,53.440284497217064,19.924919816969265,26.00707610621073
2003-02-18,55.11882892627623,20.819082071133288,26.50133120469604
2003-02-19,55.046980748939106,20.844394886029733,26.30951365107518
2003-02-20,54.896778906598534,20.954051274676377,26.33534811313465
2003-02-21,54.51140281741435,20.67568311216642,26.243128296248653
2003-02-24,54.59633292326897,20.84439397331357,26.26157529952088
2003-02-25,53.70149992858987,20.312950498428588,25.948069090770215
2003-02-26,54.263224884681854,20.414181253441555,26.191489077665093
2003-02-27,54.31546871490049,20.473227552216606,26.29845761652463
2003-02-28,54.96861335953962,20.852827908131424,26.43493680406858
2003-03-03,54.681221965005236,20.7178568502518,26.283702951315547
2003-03-04,53.98237791120531,20.59976104477005,26.114037887110698
2003-03-05,53.79294294971597,20.51541007891928,26.032892074055553
