announce_date,period,guide_updated,note,stock
2021-11-30,202109,1,FY2021 initial guide ~$1.9bn (post-IPO),GFS
2022-02-08,202112,1,FY2022 guide ~$4.5bn major ramp,GFS
2022-05-10,202203,0,held,GFS
2022-08-09,202206,0,held,GFS
2022-11-08,202209,1,FY2022 tightened,GFS
2023-02-14,202212,1,FY2023 guide ~$3.0bn (CUT from $4.5bn),GFS
2023-05-09,202303,1,FY2023 further CUT (demand slow),GFS
2023-08-08,202306,0,held,GFS
2023-11-07,202309,0,held,GFS
2024-02-13,202312,1,FY2024 guide ~$0.7bn (sharp CUT),GFS
2024-05-07,202403,0,held,GFS
2024-08-06,202406,0,held,GFS
2024-11-05,202409,0,held,GFS
2025-02-11,202412,1,FY2025 guide ~$0.7bn,GFS
2025-05-06,202503,0,held,GFS
2025-08-05,202506,0,held,GFS
2025-11-12,202509,1,FY2025 reconfirm with slight tighten,GFS
