announce_date,period,guide_low_usd_bn,guide_high_usd_bn,guide_updated,guide_midpoint,guide_delta_usd_bn,guide_delta_pct,note
2014-02-25,201312,10.0,10.0,1,10.0,0.0,0.0,FY2014 guide initial ~10bn
2014-05-14,201403,,,0,10.0,0.0,0.0,held
2014-08-13,201406,,,0,10.0,0.0,0.0,held
2014-11-12,201409,,,0,10.0,0.0,0.0,held
2015-02-24,201412,11.5,12.5,1,12.0,2.0,20.0,FY2015 guide raised
2015-05-11,201503,,,0,12.0,0.0,0.0,held
2015-08-11,201506,,,0,12.0,0.0,0.0,held
2015-11-11,201509,8.0,8.2,1,8.1,-3.9000000000000004,-32.5,FY2015 CUT (smartphone slowdown)
2016-02-04,201512,9.0,10.0,1,9.5,1.4000000000000004,17.283950617283956,FY2016 guide
2016-05-11,201603,,,0,9.5,0.0,0.0,held
2016-08-04,201606,10.0,10.3,1,10.15,0.6500000000000004,6.842105263157898,FY2016 RAISED
2016-11-09,201609,,,0,10.15,0.0,0.0,held
2017-02-16,201612,10.0,10.0,1,10.0,-0.15000000000000036,-1.4778325123152742,FY2017 guide
2017-05-10,201703,,,0,10.0,0.0,0.0,held
2017-08-08,201706,10.5,10.9,1,10.7,0.6999999999999993,6.999999999999992,FY2017 RAISED mid-year
2017-11-14,201709,,,0,10.7,0.0,0.0,held
2018-02-21,201712,11.5,12.0,1,11.75,1.0500000000000007,9.81308411214954,FY2018 guide
2018-05-02,201803,,,0,11.75,0.0,0.0,held
2018-08-14,201806,,,0,11.75,0.0,0.0,held
2018-11-13,201809,10.5,10.5,1,10.5,-1.25,-10.638297872340425,FY2018 CUT year-end
2019-02-22,201812,10.0,11.0,1,10.5,0.0,0.0,FY2019 guide
2019-05-15,201903,,,0,10.5,0.0,0.0,held
2019-08-14,201906,10.5,11.0,1,10.75,0.25,2.380952380952381,FY2019 narrow tighten
2019-11-14,201909,14.0,15.0,1,14.5,3.75,34.883720930232556,FY2019 MAJOR RAISE (5nm ramp)
2020-02-27,201912,15.0,16.0,1,15.5,1.0,6.896551724137931,FY2020 guide
2020-05-14,202003,,,0,15.5,0.0,0.0,held
2020-08-14,202006,16.0,17.0,1,16.5,1.0,6.451612903225806,FY2020 RAISED
2020-11-13,202009,,,0,16.5,0.0,0.0,held
2021-02-26,202012,25.0,28.0,1,26.5,10.0,60.60606060606061,FY2021 MASSIVE RAISE ($100bn 3yr plan)
2021-05-14,202103,30.0,30.0,1,30.0,3.5,13.20754716981132,FY2021 REVISED upward
2021-08-13,202106,,,0,30.0,0.0,0.0,held
2021-11-12,202109,,,0,30.0,0.0,0.0,held
2022-02-25,202112,40.0,44.0,1,42.0,12.0,40.0,FY2022 guide RAISED sharply
2022-05-13,202203,,,0,42.0,0.0,0.0,held
2022-08-12,202206,,,0,42.0,0.0,0.0,held
2022-11-14,202209,36.0,36.0,1,36.0,-6.0,-14.285714285714285,FY2022 CUT (inventory correction)
2023-02-24,202212,32.0,36.0,1,34.0,-2.0,-5.555555555555555,FY2023 guide
2023-05-12,202303,32.0,32.0,1,32.0,-2.0,-5.88235294117647,FY2023 tighten to low end
2023-08-14,202306,,,0,32.0,0.0,0.0,held
2023-11-14,202309,32.0,32.0,1,32.0,0.0,0.0,FY2023 reconfirm
2024-02-29,202312,28.0,32.0,1,30.0,-2.0,-6.25,FY2024 guide
2024-05-15,202403,,,0,30.0,0.0,0.0,held
2024-08-14,202406,,,0,30.0,0.0,0.0,held
2024-11-14,202409,30.0,32.0,1,31.0,1.0,3.3333333333333335,FY2024 narrow to high end
2025-02-27,202412,38.0,42.0,1,40.0,9.0,29.03225806451613,FY2025 guide RAISED
2025-05-15,202503,,,0,40.0,0.0,0.0,held
2025-08-14,202506,,,0,40.0,0.0,0.0,held
2025-11-14,202509,42.0,42.0,1,42.0,2.0,5.0,FY2025 RAISED to 42bn
