date,rv2_true,garch_baseline,garch_plus_h,garch_plus_vix,garch_plus_h_vix
2020-01-02,8.664750948288352e-05,3.0508603045725247e-05,2.6739997912937376e-05,2.8942696019396725e-05,2.892168224572967e-05
2020-01-03,5.7775936758282795e-05,4.247122468631913e-05,3.4066220350944294e-05,3.6264545520983126e-05,3.6243051003602944e-05
2020-01-06,1.4499289978772908e-05,4.656568781019019e-05,3.7372433149889045e-05,3.941186594045366e-05,3.939081748538791e-05
2020-01-07,7.928379469237031e-06,4.2574137280130286e-05,3.575691918681171e-05,3.798316136821529e-05,3.796184246683411e-05
2020-01-08,2.8253310357459464e-05,3.859106221087404e-05,3.390193328346129e-05,3.608713244392651e-05,3.606522451858976e-05
2020-01-09,4.566737307182054e-05,3.895764321069773e-05,3.43019543142776e-05,3.6499340071501704e-05,3.6477112352907844e-05
2020-01-10,8.305082041917914e-06,4.2038215333171134e-05,3.645722982545646e-05,3.854204485250874e-05,3.8519550923316524e-05
2020-01-13,4.697466059039925e-05,3.8259586412868325e-05,3.4470991750768e-05,3.641075914076718e-05,3.638878550099102e-05
2020-01-14,2.328022975303949e-06,4.1738333847029325e-05,3.657079213480624e-05,3.84690111450541e-05,3.844767433367294e-05
2020-01-15,5.0954369761223385e-06,3.7074819962744456e-05,3.395587172310697e-05,3.5719218222445215e-05,3.5698393239507515e-05
2020-01-16,6.862429969314084e-05,3.4107909362834034e-05,3.1933552544479884e-05,3.3668740016121755e-05,3.3648508954642795e-05
2020-01-17,9.657780891868784e-06,4.2195422623337895e-05,3.660569749242585e-05,3.8283050181416666e-05,3.826320640734679e-05
2020-01-21,3.842068371469969e-06,3.859311608318059e-05,3.465857691932844e-05,3.629412719500956e-05,3.6274728090771835e-05
2020-01-22,1.4581769535622054e-08,3.501693678507732e-05,3.234357575947203e-05,3.399021518186017e-05,3.3971527708964583e-05
2020-01-23,1.313810671524966e-06,3.178096510561848e-05,2.996803389818452e-05,3.175740149837606e-05,3.1738945889235136e-05
2020-01-24,7.979596162363107e-05,2.962195642955675e-05,2.8127876764443582e-05,2.9998093495555505e-05,2.9979671368310374e-05
2020-01-27,0.00026112203233524415,4.071570691947649e-05,3.442341366811852e-05,3.636100102851656e-05,3.6342536466391755e-05
2020-01-28,0.00010867340556170063,7.811928019898088e-05,5.7907659999653196e-05,6.013014775847487e-05,6.011072215796368e-05
2020-01-29,6.828823857914473e-07,8.088058955231929e-05,6.285714025715731e-05,6.561881286098917e-05,6.559581569466151e-05
2020-01-30,1.049824386442177e-05,6.546238675941568e-05,5.6420544784560425e-05,5.9203649557229384e-05,5.917835023168341e-05
2020-01-31,0.00033579761444345606,5.576092249524756e-05,5.1977640173859826e-05,5.4748174870570754e-05,5.4720732321191086e-05
2020-02-03,5.477604286481768e-05,0.00010119228278590253,8.077034085107865e-05,8.336104627440036e-05,8.333220559670341e-05
2020-02-04,0.00022880480077415482,8.906671291530721e-05,7.709089602531125e-05,8.006339203741425e-05,8.003153780552859e-05
2020-02-05,0.00013183264086665363,0.00010829462953074149,9.128999000114019e-05,9.453767978781405e-05,9.450397220413177e-05
2020-02-06,1.1284269577256735e-05,0.00010670982388148301,9.378078607888383e-05,9.686646229290455e-05,9.683199127608085e-05
2020-02-07,2.8557373171399734e-05,8.608215476915224e-05,8.384735055160014e-05,8.666117812289902e-05,8.662657337108055e-05
2020-02-10,5.531782857584699e-05,7.377157568794551e-05,7.694713152701238e-05,7.968657108411755e-05,7.965244536156416e-05
2020-02-11,2.9982646700190605e-06,6.908147017140669e-05,7.371712836995381e-05,7.650781760239954e-05,7.647390774605711e-05
2020-02-12,4.1243440870547424e-05,5.719901091154942e-05,6.586321285243795e-05,6.851185153392164e-05,6.847805341119268e-05
2020-02-13,1.1396334710687022e-06,5.467698691735794e-05,6.289399392732915e-05,6.556000661373203e-05,6.552653004122313e-05
2020-02-14,2.562663080382038e-06,4.6354366682662014e-05,5.634660686418053e-05,5.883269805379692e-05,5.880037122947704e-05
2020-02-18,6.658081685519786e-06,4.049177953228546e-05,5.0844647484654735e-05,5.331597095280416e-05,5.32845882963615e-05
2020-02-19,2.2751386121810767e-05,3.686157479324022e-05,4.6611025005311743e-05,4.89684518255163e-05,4.893805888862334e-05
2020-02-20,1.694728972321031e-05,3.680309487826661e-05,4.46125259230324e-05,4.7048389910644876e-05,4.701819002034132e-05
