code,ticker,name,sector,n_obs,n_events,n_dropped_outliers,theta0,theta1,theta2,theta2_se,theta2_t,omega_g,alpha,gamma,beta,persistence,loglik,tau_at_event,tau_nonevent,tau_jump_pct,earnings_freq_per_year,data_start,data_end,marketCap,log_mktcap,beta_info,beta_rolling_0050
2330,2330.TW,TSMC,foundry,3911,60,0,8.666617411640635e-05,1.9020735121262981e-07,6.05283061585334e-05,7.401979314775231e-05,0.8177313605525985,0.050302639045416084,0.050302039800682624,0.050302039804156456,0.902421160806561,0.9778742205093218,10783.476199536455,0.00021811640581829783,0.00015997444192412458,36.344533035939456,3.753854059609455,2010-01-05,2025-12-30,51346396938240.0,31.569615883107918,1.251,1.1312499667485048
2303,2303.TW,UMC,foundry,3911,60,0,0.00017103036074520651,2.474102853981771e-07,0.0004312949123237969,0.00012098527806834365,3.564854494777139,0.04927736312610116,0.04927888942854485,0.049278347924153885,0.8942170923534223,0.9681351557440441,10194.655889113536,0.0006963723508173637,0.00026635736360168283,161.44287561681062,3.753854059609455,2010-01-05,2025-12-30,760324620288.0,27.357011310989794,1.011,0.904856100478001
6239,6239.TW,Powertech,foundry,3911,60,0,0.0001970388679911416,2.249987157724847e-07,-0.00016002571958370515,9.808106347761987e-06,-16.31565909970173,0.04919988087411444,0.04920146517185064,0.04920146518141253,0.893598919384514,0.9674011171470709,10072.63947073487,0.00013447923242619335,0.0002835447074197577,-52.57212393419455,3.753854059609455,2010-01-05,2025-12-30,161427144704.0,25.807319761441615,1.301,0.7238896603436128
2454,2454.TW,MediaTek,fabless,3911,59,0,0.00999999422789697,1.7544139719249506e-05,-0.0016094254716869773,0.00252077949591584,-0.6384634095503252,0.004760289568573304,0.02946977886263777,0.07335204264010678,0.779357869054123,0.8455036692368141,9424.236296963627,0.015143000327815596,0.016758436775044842,-9.639541377957215,3.691289825282631,2010-01-05,2025-12-30,2593679212544.0,28.584098529003697,1.152,1.0744893198098298
2379,2379.TW,Realtek,fabless,3911,60,0,0.009995369850747487,2.251420301562539e-05,-0.0023851532834206534,0.002447040724089082,-0.974709272281741,0.0010830938820144238,0.04004980710844282,0.0001,0.9193487083685816,0.9594485154770245,9502.974195214385,0.016317902900688398,0.018667747353283987,-12.58772367187737,3.753854059609455,2010-01-05,2025-12-30,269612777472.0,26.320252609045472,0.688,0.9535863564476776
3034,3034.TW,Novatek,fabless,3911,60,0,0.0002879023562769213,2.3035866789310406e-07,0.0007022742334676638,0.00018720825646115506,3.7512994712035197,0.04888696561960316,0.04888870554166529,0.04888844329172819,0.8910921852554832,0.9644251124430125,9599.704411562305,0.0010927205364745173,0.00037642601071464365,190.2882652556317,3.753854059609455,2010-01-05,2025-12-30,240057991168.0,26.204146360967275,0.686,0.890911894413611
3035,3035.TW,FarEastone Info,fabless,3911,60,0,0.00030147561359056805,3.9148040024900786e-07,0.0011988497805340906,0.00027324579862677076,4.387440855665678,0.06405594851056459,0.052654393962316484,0.04776603603914541,0.8902302690011697,0.966767680983059,8578.772874885302,0.0016521551438108196,0.0004522657071678713,265.30630503841746,3.753854059609455,2010-01-05,2025-12-30,38821998592.0,24.382252896927216,0.935,1.0057655659746612
3443,3443.TW,GlobalWafer,fabless,3911,60,0,0.00018430148917447105,6.105732003602325e-07,-9.625326995477357e-05,2.567526347462235e-05,-3.7488717515951153,0.050481271886546664,0.050480319116583024,0.050480319054266955,0.9038502534716288,0.9795707321153453,8524.01925896481,0.0003266334939937175,0.00041945377382990827,-22.128846043909974,3.753854059609455,2010-01-05,2025-12-30,373890678784.0,26.6472292889156,0.963,1.0593689803666937
2388,2388.TW,VIA Tech,fabless,3911,60,0,0.0011444809868237744,8.399528137569688e-07,-0.00010473547174162636,0.00023188842437282976,-0.4516632170186851,0.06507814424443904,0.08385314099777695,0.10111510296706748,0.7842681258421924,0.9186788183235031,8005.821168639162,0.0014019790202988217,0.0014674450859569045,-4.461227631928261,3.753854059609455,2010-01-05,2025-12-30,30901919744.0,24.15408414655781,0.695,0.8398354025471882
2881,2881.TW,Fubon FH,financials,3911,60,0,5.067658864871493e-05,1.8600729879640558e-07,-2.8873923443192122e-05,7.1666287627172294e-06,-4.028940858971543,0.05014436969565208,0.05014408383945395,0.05014408383937862,0.9011549806887217,0.976371106447865,11325.764556727394,9.442800214124241e-05,0.0001223151647174715,-22.79943181259984,3.753854059609455,2010-01-05,2025-12-30,1217239973888.0,27.8276070952844,0.675,0.7595485148862253
2882,2882.TW,Cathay FH,financials,3911,60,0,7.955657403314583e-05,9.343764141702643e-08,6.905722825982025e-05,3.22499876116211e-05,2.1413102259591525,0.10223235405469762,0.041334295587613167,0.07857346163885291,0.8672580937661069,0.9478791201731465,11201.143876770819,0.00018988853951606313,0.00011546833833456636,64.4507423029387,3.753854059609455,2010-01-05,2025-12-30,1050315390976.0,27.68011160735333,,0.7737613802329485
