start_date,end_date,peak_date,duration_days,core_days,decay_days,peak_news_z,mean_news_z,news_count_total,event_id,start_trade_date,feature_date,response_observed_through,green_response_days,brown_response_days,reaction_gap_green_minus_brown,reaction_gap_abs,slow_response_days,duration_score,duration_reaction_score
2017-03-15,2017-03-18,2017-03-16,4,1,2,1.5112517795353786,0.9270389898893168,29730.0,K1367_event_000,2017-03-15,2017-03-20,2017-03-20,1.0,0.0,1.0,1.0,1.0,2.158744056768155,4.31748811353631
2017-03-24,2017-03-30,2017-03-28,7,3,2,2.656300812162345,1.4570467091057206,56861.0,K1367_event_001,2017-03-24,2017-03-30,2017-03-30,4.0,2.0,2.0,2.0,4.0,2.6287476860138907,7.886243058041672
2017-04-22,2017-04-23,2017-04-22,2,1,1,2.5781518790740066,1.8192887324355143,11237.0,K1367_event_002,2017-04-24,2017-04-26,2017-04-26,3.0,3.0,0.0,0.0,3.0,1.4451858789480825,1.4451858789480825
2017-04-29,2017-04-30,2017-04-30,2,2,0,2.075337895133198,1.935092024969875,11746.0,K1367_event_003,2017-05-01,2017-05-03,2017-05-03,1.0,1.0,0.0,0.0,1.0,1.0986122886681098,1.0986122886681098
2017-05-24,2017-06-11,2017-06-02,19,12,9,6.181329683858195,2.241750122861131,215957.0,K1367_event_004,2017-05-24,2017-06-12,2017-05-31,1.0,0.0,1.0,1.0,1.0,4.147024820051014,8.294049640102028
2017-07-05,2017-07-09,2017-07-08,5,4,1,3.266100889850207,1.931092462288552,42033.0,K1367_event_005,2017-07-05,2017-07-10,2017-07-10,0.0,0.0,0.0,0.0,0.0,2.1383330595080277,2.1383330595080277
2017-07-12,2017-07-14,2017-07-13,3,1,1,1.541021823783764,1.1333868941821548,22857.0,K1367_event_006,2017-07-12,2017-07-14,2017-07-14,0.0,3.0,-3.0,3.0,3.0,1.7328679513998633,6.931471805599453
2017-12-10,2017-12-12,2017-12-12,3,1,0,2.01071988286418,1.2784845988719054,21892.0,K1367_event_007,2017-12-11,2017-12-13,2017-12-13,3.0,3.0,0.0,0.0,3.0,1.3862943611198906,1.3862943611198906
2018-06-05,2018-06-10,2018-06-09,6,3,1,2.9532048827403843,1.5884982635029106,32908.0,K1367_event_008,2018-06-05,2018-06-11,2018-06-11,0.0,2.0,-2.0,2.0,2.0,2.2924837393352857,6.877451218005858
2018-07-05,2018-07-06,2018-07-06,2,1,0,1.7866566090296654,1.2381265504740806,11236.0,K1367_event_009,2018-07-05,2018-07-09,2018-07-09,3.0,3.0,0.0,0.0,3.0,1.0986122886681098,1.0986122886681098
2018-07-31,2018-08-03,2018-08-02,4,2,1,1.9679695638745351,1.4637617156720129,22833.0,K1367_event_010,2018-07-31,2018-08-03,2018-08-03,3.0,1.0,2.0,2.0,3.0,1.956011502714073,5.868034508142219
2018-08-05,2018-08-09,2018-08-07,5,1,2,2.894460775789982,1.2992387001203163,25459.0,K1367_event_011,2018-08-06,2018-08-09,2018-08-09,4.0,3.0,1.0,1.0,4.0,2.34106561356211,4.68213122712422
2018-08-19,2018-08-26,2018-08-26,8,5,0,2.9282120334980624,1.7184305108336024,37079.0,K1367_event_012,2018-08-20,2018-08-27,2018-08-24,0.0,1.0,-1.0,1.0,1.0,2.1972245773362196,4.394449154672439
2018-09-07,2018-09-16,2018-09-11,10,9,5,2.9753157353038047,1.9286061687966463,53318.0,K1367_event_013,2018-09-07,2018-09-17,2018-09-13,0.0,3.0,-3.0,3.0,3.0,3.293775007412398,13.175100029649592
2018-09-23,2018-09-30,2018-09-25,8,4,5,2.5803400995249848,1.3413612928188834,38958.0,K1367_event_014,2018-09-24,2018-10-01,2018-09-28,1.0,0.0,1.0,1.0,1.0,3.0931043119502473,6.1862086239004945
2018-10-08,2018-11-01,2018-10-08,25,11,24,5.857539463716418,1.7694748692573554,155509.0,K1367_event_015,2018-10-08,2018-11-01,2018-10-12,5.0,4.0,1.0,1.0,5.0,4.867534450455582,9.735068900911164
2018-11-10,2018-11-19,2018-11-17,10,7,2,3.2441479127967443,1.9819402562184933,62914.0,K1367_event_016,2018-11-12,2018-11-19,2018-11-16,0.0,1.0,-1.0,1.0,1.0,2.9472014171324257,5.894402834264851
2018-11-22,2018-12-19,2018-12-02,28,17,17,3.7941181333343015,1.8490790750305643,199767.0,K1367_event_017,2018-11-23,2018-12-19,2018-11-29,2.0,0.0,2.0,2.0,2.0,4.812481708934556,14.43744512680367
2019-03-01,2019-03-03,2019-03-02,3,1,1,1.6099763748946214,1.0245919875682301,15148.0,K1367_event_018,2019-03-01,2019-03-05,2019-03-05,3.0,0.0,3.0,3.0,3.0,1.7328679513998633,6.931471805599453
2019-03-14,2019-03-17,2019-03-15,4,2,2,3.089684399957505,1.7226986032372873,29629.0,K1367_event_019,2019-03-14,2019-03-18,2019-03-18,3.0,3.0,0.0,0.0,3.0,2.158744056768155,2.158744056768155
