event_date,event_type,label,source_url,source_kind,trading_date,calendar_to_trading_lag_days
2023-11-15,residential,DOJ statement of interest in RealPage rental-software MDL,https://www.justice.gov/atr/statements-interest,DOJ case document index,2023-11-15,0
2024-03-01,residential,DOJ statement of interest in Duffy v. Yardi algorithmic rent case,https://www.justice.gov/atr/statements-interest,DOJ case document index,2024-03-01,0
2024-03-28,travel,FTC/DOJ statement of interest in hotel room algorithmic price-fixing case,https://www.ftc.gov/news-events/news/press-releases/2024/03/ftc-doj-file-statement-interest-hotel-room-algorithmic-price-fixing-case,FTC press release,2024-03-28,0
2024-08-23,residential,DOJ sues RealPage for algorithmic pricing scheme,https://www.justice.gov/archives/opa/pr/justice-department-sues-realpage-algorithmic-pricing-scheme-harms-millions-american-renters,DOJ press release,2024-08-23,0
2025-01-07,residential,DOJ amended complaint adds six large landlords; Cortland proposed decree,https://www.justice.gov/archives/opa/pr/justice-department-sues-six-large-landlords-algorithmic-pricing-scheme-harms-millions,DOJ press release,2025-01-07,0
2025-08-08,residential,DOJ proposed Greystar settlement,https://www.justice.gov/opa/pr/justice-department-reaches-proposed-settlement-greystar-largest-us-landlord-end-its,DOJ press release,2025-08-08,0
2025-11-24,residential,DOJ proposed RealPage settlement,https://www.justice.gov/opa/pr/justice-department-requires-realpage-end-sharing-competitively-sensitive-information-and,DOJ press release,2025-11-24,0
2025-12-23,residential,DOJ case docket posts LivCor proposed final judgment,https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc,DOJ case document index,2025-12-23,0
2026-03-02,residential,DOJ case docket posts Greystar final judgment,https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc,DOJ case document index,2026-03-02,0
